split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,lLbFCGEDUbo,146,19.699,M,SLOW,EAST,Non-Engineering,Purusharthas,tiny_ft,whisper_norm,gold,"the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving",the 1st time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,"the first time and therefore, because I find a lot of them have pleasureised therefore, I will not deduct or make any punishment for plagiarism. Then, what the feature tends to be arriving in as is arriving",the 1st time and therefore because i find a lot of them have pleasureised therefore i will not deduct or make any punishment for plagiarism then what the feature tends to be arriving in as is arriving,0.1429,0.1405,0.9062,1.0571
test,6og4v4zQxt0,322,22.899,M,FAST,SOUTH,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,tiny_ft,whisper_norm,gold,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere,"of category. But, the there the problem is about the parameters which are being monitored of a particular region. Whereas, when it comes down to the agriculture activities and agriculture or any other land based activities, we do not have enough monitoring stations or input parameters are not available uniformly everywhere.",of category but the there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land based activities we do not have enough monitoring stations or input parameters are not available uniformly everywhere,0.0385,0.0154,0.9762,0.9808
test,uUzDQA7qJPI,327,24.661,M,SLOW,SOUTH,Engineering,38 PLL(PHASE LOCKED LOOP),tiny_ft,whisper_norm,gold,"that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,",that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,"And it will be widening here assuming that ultimately let us say the DC should shift in such a manner that it should go from V C Q to some other value which is going to change the frequency to that value. So, that value of frequency let us say is this corresponding to V C",and it will be widening here assuming that ultimately let us say the dc should shift in such a manner that it should go from v c q to some other value which is going to change the frequency to that value so that value of frequency let us say is this corresponding to v c,0.2545,0.2271,0.9394,1.0182
test,x6937JZof3A,150,23.69,F,AVG,EAST,Non-Engineering,Space,tiny_ft,whisper_norm,gold,"extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and",extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,"extra and beyond the physical that is symbolic political, sentimental or emotional identity creating and metaphorical. Now, there are certain themes about space which which a Nire brings to us in his book or introduction to cultural studies through a through a theorist named Dorine Messing. And there",extra and beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which a nire brings to us in his book or introduction to cultural studies through a through a theorist named dorine messing and there,0.2,0.0877,0.875,1.0667
test,5IhMAUDmlaE,201,21.549,M,FAST,NORTH,Engineering,Piezoelectric Material -- II: Applications,tiny_ft,whisper_norm,gold,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields even more than we can say you know,"extreme accuracy and thus we can use this as the actuators in that. So, when you are talking about the ceramics, there are various layers are there in the ceramics and using these layers thinner than the 100 microns, which allow you see reaching then the higher electrical fields even more than we can say",extreme accuracy and thus we can use this as the actuators in that so when you are talking about the ceramics there are various layers are there in the ceramics and using these layers thinner than the 100 microns which allow you see reaching then the higher electrical fields even more than we can say,0.1167,0.0836,0.9286,0.9167
test,wWsl48VLfVY,308,25.561,M,FAST,SOUTH,Non-Engineering,38 Creativity and Managing Innovation Process -II,tiny_ft,whisper_norm,gold,"So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the",so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,So it is not enough good enough to throw up set of ideas but to understand it is total implication at the individual level group level as well as at the organizational level also you have to see historical what influences of where we have done similar things and been very successful but also look at the cost and the time implications within the,so it is not enough good enough to throw up set of ideas but to understand it is total implication at the individual level group level as well as at the organizational level also you have to see historical what influences of where we have done similar things and been very successful but also look at the cost and the time implications within the,0.0923,0.037,0.9348,0.9846
test,BvJXc1DQI-0,272,23.23,M,AVG,EAST,Non-Engineering,Special Techniques II,tiny_ft,whisper_norm,gold,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,"expansion of the numbers. So, let us see how we can work it out. So, this is I got an expression here. I can simply notice that if you pull out this a square from there, this will go to the numerator and will",expansion of the numbers so let us see how we can work it out so this is i got an expression here i can simply notice that if you pull out this a square from there this will go to the numerator and will,0.0833,0.0734,0.9474,0.9167
test,3_GaTA2VGrA,225,23.14,M,SLOW,SOUTH,Engineering,Fundamental Ideas,tiny_ft,whisper_norm,gold,"addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay since the entropy increases p 2 cannot be equal to p one p 2 has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,"addition. We can actually illustrate this much more clearly when we demonstrate the state is graphically. But since entropy increases P0 2 cannot be equal to P0 1, P0 2 has to be less than P0 1. So, heat addition even if you have heat addition in a reversible process, even a reversible",addition we can actually illustrate this much more clearly when we demonstrate the state is graphically but since entropy increases p 0 2 cannot be equal to p 0 one p 0 2 has to be less than p 0 one so heat addition even if you have heat addition in a reversible process even a reversible,0.3019,0.2413,0.9444,1.0755
test,Ew5hHweMUkA,49,19.471,M,AVG,SOUTH,Engineering,7 Soil Mechanics,tiny_ft,whisper_norm,gold,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",in the case of earth dam different gradations are required in the different zones so the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength,"in the kinsa of at the dam, a different gradations are required in the different zones. So, the selection of film material is important, where the gradation will come into the picture, because the for certain type of constructions, you are required to have a well graded materials to contribute to the strength. And road",in the kinsa of at the dam a different gradations are required in the different zones so the selection of film material is important where the gradation will come into the picture because the for certain type of constructions you are required to have a well graded materials to contribute to the strength and road,0.2041,0.099,0.8889,1.1224
test,wW1kjrnktDU,160,30.79,M,FAST,SOUTH,Non-Engineering,Risk Management-II,tiny_ft,whisper_norm,gold,"a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some aspect",a equipment if it is construction contract has been signed the project sponsor is not you know is completely given all the responsibility for the contractor now the project company in his own interest will have to ensure that some parts of the contract are you know monitor and they will have to approve some parts of the contract some execution of some aspect,"a equipment, EPC construction content has been signed, the project sponsor is completely given all the responsibility for the contract. The project company and his own interest will have to ensure that some parts of the contracts are monitored and they will have to approve some parts of the contribution of some aspects",a equipment epc construction content has been signed the project sponsor is completely given all the responsibility for the contract the project company and his own interest will have to ensure that some parts of the contracts are monitored and they will have to approve some parts of the contribution of some aspects,0.2969,0.1694,0.7442,0.8281
