split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,rYJ0cMP279I,23,M,FAST,EAST,23.14,Engineering,Four Dimensional Parabolic PDE,youtube,hf_raw,Normalised_Transcript,same the boundary condition at x prime remains the same the boundary condition at one becomes the problem we have standard problem we have solved we have solved del u del x prime plus beta u in this case it becomes minus beta u so let us see how these will affect our final solution so it does not affect much,same the boundary condition at x prime remains the same the boundary condition at one becomes the problem we have standard problem we have solved we have solved del u del x prime plus beta u in this case it becomes minus beta u so let us see how these will affect our final solution so it does not affect much,nan,nan,1.0
test,lLbFCGEDUbo,146,M,SLOW,EAST,19.699,Non-Engineering,Purusharthas,youtube,hf_raw,Normalised_Transcript,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,the one s t time because i find a lot of them have plagiarized therefore i will not deduct or make any punishment for plagiarism then what the teacher tends to be arriving it as is arriving,nan,nan,1.0
test,6og4v4zQxt0,322,M,FAST,SOUTH,22.899,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,youtube,hf_raw,Normalised_Transcript,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,nan,nan,1.0
test,uUzDQA7qJPI,327,M,SLOW,SOUTH,24.661,Engineering,38 PLL(PHASE LOCKED LOOP),youtube,hf_raw,Normalised_Transcript,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,that ultimately let us say the d c should shift in such a manner that it should go from v v c q to some other value which is going to change the frequency to that value so that value of frequency let it let us say is this corresponding to v c final so,nan,nan,1.0
test,x6937JZof3A,150,F,AVG,EAST,23.69,Non-Engineering,Space,youtube,hf_raw,Normalised_Transcript,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,extra or beyond the physical that is symbolic political sentimental or emotional identity creating and metaphorical now there are certain themes about space which which nayar brings to us in his book on introduction to cultural studies through through a theorist name doreen massey and,nan,nan,1.0
test,5IhMAUDmlaE,201,M,FAST,NORTH,21.549,Engineering,Piezoelectric Material -- II: Applications,youtube,hf_raw,Normalised_Transcript,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know","extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",nan,nan,1.0
test,wWsl48VLfVY,308,M,FAST,SOUTH,25.561,Non-Engineering,38 Creativity and Managing Innovation Process -II,youtube,hf_raw,Normalised_Transcript,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,so the so it is not enough good enough to throw up set of ideas but to understand its total implication at the individual level group level as as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the,nan,nan,1.0
test,BvJXc1DQI-0,272,M,AVG,EAST,23.23,Non-Engineering,Special Techniques II,youtube,hf_raw,Normalised_Transcript,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,nan,nan,1.0
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,youtube,hf_raw,Normalised_Transcript,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,nan,nan,1.0
test,Ew5hHweMUkA,49,M,AVG,SOUTH,19.471,Engineering,7 Soil Mechanics,youtube,hf_raw,Normalised_Transcript,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.","In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",nan,nan,1.0
test,ksh6OMRFroI,76,M,FAST,NORTH,22.93,Engineering,-Introduction To Problem Solving and Programming,youtube,hf_raw,Normalised_Transcript,we need to use the c compiler and the command for the c compiler is c c choose the arguments that i have given to the c c commands are one s t of all minus zero minus zero says that the equivalent machine language program which is generated for this,we need to use the c compiler and the command for the c compiler is c c choose the arguments that i have given to the c c commands are one s t of all minus zero minus zero says that the equivalent machine language program which is generated for this,nan,nan,1.0
test,8kE9WAN1JE0,165,M,FAST,NORTH,28.89,Non-Engineering,Introduction to Bond Analysis,youtube,hf_raw,Normalised_Transcript,payments which is a periodical n payment what you are going to receive which is given in the percent term so eighty minus one by eight percent means it is eighteen one hundred and twenty minus five percent then you are which will be maturing or this is your twenty minus two is mention here after this this is your twenty minus two that twenty minus two is basically nothing but it is the term to maturity if the bond issued,payments which is a periodical n payment what you are going to receive which is given in the percent term so eighty minus one by eight percent means it is eighteen one hundred and twenty minus five percent then you are which will be maturing or this is your twenty minus two is mention here after this this is your twenty minus two that twenty minus two is basically nothing but it is the term to maturity if the bond issued,nan,nan,1.0
test,XGTOLHxeHCg,274,M,SLOW,WEST,47.39,Non-Engineering,Unpolarised and polarised cross-sections,youtube,hf_raw,Normalised_Transcript,structure it has no angular dependence and therefore no angular momentum so all which is involved is a spin degree of freedom the space part has no appearance in this structure at all and so the cross section is completely isotropic the spin part is completely dictated by then the conservation of total angular momentum and so,structure it has no angular dependence and therefore no angular momentum so all which is involved is a spin degree of freedom the space part has no appearance in this structure at all and so the cross section is completely isotropic the spin part is completely dictated by then the conservation of total angular momentum and so,nan,nan,1.0
test,P2pL5VThrzQ,310,F,FAST,NORTH,23.83,Non-Engineering,Eigenvalues & Eigenvectors Part - 1,youtube,hf_raw,Normalised_Transcript,form or in an echelon form so this can be made zero by suitable liner transformation and this matrix reduces to this matrix and from this i can further apply a linear transformation and what i have is five minus,form or in an echelon form so this can be made zero by suitable liner transformation and this matrix reduces to this matrix and from this i can further apply a linear transformation and what i have is five minus,nan,nan,1.0
test,kgcUVZARftQ,100,M,AVG,NORTH,22.27,Engineering,Real-Time Task Scheduling on Multiprocessors and Distributed Systems,youtube,hf_raw,Normalised_Transcript,yeah e i by p i execution time over which period so after p i the next instance of the task will occur so for during every p i we need e i for to execute this task or in other words it will keep the processor b g for e i by p i fraction of time right,yeah e i by p i execution time over which period so after p i the next instance of the task will occur so for during every p i we need e i for to execute this task or in other words it will keep the processor b g for e i by p i fraction of time right,nan,nan,1.0
test,A5xQevmjE98,217,M,AVG,SOUTH,25.71,Engineering,Gas Composition and Smoke,youtube,hf_raw,Normalised_Transcript,"amount of material to be collected so that you can do an accurate measurement of the mass, we require a large amount of time. For example, in typical cases it may be about 24 hrs. You collect the material for about 24 hrs, and then to start with you have weighed the filter element, and after enough material","amount of material to be collected so that you can do an accurate measurement of the mass, we require a large amount of time. For example, in typical cases it may be about 24 hrs. You collect the material for about 24 hrs, and then to start with you have weighed the filter element, and after enough material",nan,nan,1.0
test,fWJJHhL4tT0,188,M,AVG,NORTH,28.531,Non-Engineering,Countably additive set functions on intervals,youtube,hf_raw,Normalised_Transcript,"is what we have to show. Here is a small observation: to show this, it is enough to show that mu of A is bigger than or equal to sigma i equal to 1 to n mu of A i for every n. If you can show for every n that mu of A is bigger than or equal to this, then it also","is what we have to show. Here is a small observation: to show this, it is enough to show that mu of A is bigger than or equal to sigma i equal to 1 to n mu of A i for every n. If you can show for every n that mu of A is bigger than or equal to this, then it also",nan,nan,1.0
test,Ifq1Fc5WB9Q,27,M,FAST,NORTH,16.75,Engineering,Lecture-16,youtube,hf_raw,Normalised_Transcript,or calculations graphically but it is more regress so we start with h x y diagram which is based on ponchon savarit method to determine the number of stages at distillation column,or calculations graphically but it is more regress so we start with h x y diagram which is based on ponchon savarit method to determine the number of stages at distillation column,nan,nan,1.0
test,vggipesVGRU,267,M,SLOW,NORTH,79.47,Non-Engineering,Biasing a transistor unit 2 contd.,youtube,hf_raw,Normalised_Transcript,but in this scheme a resistance r e is connected so the circuit becomes these are the currents the i b will flow here i c and this is i e now if this resistance is removed and if directly emitter is connected then we come back to what is called fixed bias this is the self bias because inclusion of this resistance now this will be the part,but in this scheme a resistance r e is connected so the circuit becomes these are the currents the i b will flow here i c and this is i e now if this resistance is removed and if directly emitter is connected then we come back to what is called fixed bias this is the self bias because inclusion of this resistance now this will be the part,nan,nan,1.0
test,ExG0ToMUsEM,96,F,SLOW,SOUTH,26.3,Engineering,EQUIVALENCE BETWEEN FSA AND TYPE 3 GRAMMARS,youtube,hf_raw,Normalised_Transcript,go to s so a b the last two rules from b after getting a a can terminate so there will be an arc with label a there will be an arc with label b note that this is a non,go to s so a b the last two rules from b after getting a a can terminate so there will be an arc with label a there will be an arc with label b note that this is a non,nan,nan,1.0
