ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.4254,0.0183,223
gS5iH0QkPHg,25.59,0.5886,0.023,325
D7Zu1-9kSUg,17.211,0.3814,0.0222,228
rNdMsEHElc4,27.01,0.5782,0.0214,335
aD_BO4DwxlU,21.94,0.4441,0.0202,260
_A5wRmd2rwI,23.04,0.5268,0.0229,364
fGR_qtyRP_I,33.05,0.5717,0.0173,350
5hscXtk6usE,30.291,0.5315,0.0175,361
J_lm2iJ0l0k,27.43,5.0672,0.1847,351
kPnr_57oii4,29.74,0.3725,0.0125,84
hOoGiaUkKpc,25.28,0.4553,0.018,353
XbUgxPtJuUg,19.66,0.4042,0.0206,234
GOUowwtdcPU,21.16,0.5115,0.0242,345
H1cq5p2nryw,23.09,0.5417,0.0235,265
6lqsHV_2yJc,19.76,0.3573,0.0181,194
f2kikEusCEM,23.459,0.449,0.0191,308
uTwm3Zv1HfA,25.431,0.41,0.0161,196
xacD9zJCqZ4,26.68,0.5264,0.0197,348
h47JDhpdYe0,24.081,0.3766,0.0156,149
vNNLvowQqoU,23.769,0.4367,0.0184,229
thF6wrlwdTQ,20.33,0.3139,0.0154,127
whCu4Xl3m98,14.58,1.3855,0.095,124
P5nwZQe4QYI,19.92,0.5639,0.0283,379
JH9x87yjoEk,26.319,0.5561,0.0211,343
4ZydYE-0994,24.601,0.458,0.0186,354
w_ZPOjcxD8U,33.82,0.5399,0.016,272
1JGSQQRu4fg,12.321,0.3356,0.0272,174
F2NqTIej98Q,28.819,0.5688,0.0197,313
pGu3HxJQF7I,24.49,0.4315,0.0176,263
0zceBXshBzA,22.88,0.4664,0.0204,315
6704d9DDwLo,24.379,0.4492,0.0184,266
VLv1adcoiWo,25.249,3.9768,0.1575,335
dgyPeFemyL8,23.23,0.4608,0.0198,278
IcN9rLzhV3U,26.53,0.4081,0.0154,236
0AuMdY3IyJ8,27.74,0.4222,0.0152,210
pGT6iJ_z5Vs,26.35,0.4281,0.0162,218
Ct2RYsd7blI,24.67,0.4284,0.0174,264
too4A5mo1Pk,22.25,0.4884,0.022,340
jnQFMdMSRAE,25.319,0.4586,0.0181,246
Z4WvQ152QP8,21.67,0.591,0.0273,379
fwRFaZnr2WU,24.49,0.4963,0.0203,346
C1XMxZEjP8I,22.65,0.4074,0.018,213
FXEgxrRFVMQ,17.31,0.2958,0.0171,149
4LgvOdyaJ04,23.82,0.5916,0.0248,366
kVr9gGPuThY,20.959,0.3043,0.0145,178
d7gzALqU95Y,28.34,0.5326,0.0188,360
trHd9k3WKWg,33.63,0.5165,0.0154,323
zz3cEoeWrUo,20.53,0.4763,0.0232,268
DzF13C0g40A,24.42,0.3887,0.0159,185
jcds3fbVLg0,27.45,0.3404,0.0124,161
djzzZHbUc80,25.36,0.532,0.021,324
gxges_uq5lc,23.58,0.4199,0.0178,267
PcQlvbmHDVY,28.38,0.5167,0.0182,314
aGM0r3QsYYU,35.669,0.5683,0.0159,396
p-JPAGGOvjU,22.07,0.3739,0.0169,209
Y03fkk2zdOE,23.7,0.3909,0.0165,258
pLPQGrvV4_g,29.071,0.5235,0.018,370
lmr4kETnwi0,22.05,0.4851,0.022,339
7r7rLJqhBBw,19.851,0.4788,0.0241,344
JVdBgP5SD14,29.74,0.5745,0.0193,352
rL47ZBWKRd0,19.65,0.5567,0.0283,360
4vl_r79DBKU,24.459,0.517,0.0211,276
UfS8-eLsxRA,24.41,0.5364,0.022,353
qXZ11_ZbxOs,26.8,0.5613,0.0209,304
EayOCWaiRkw,27.8,0.3596,0.0129,206
2LyY4t0Gfvs,34.231,0.5062,0.0148,345
Byf8i1KkBiY,20.381,0.3531,0.0173,196
hric4h80PDc,22.6,0.7072,0.0313,295
zVkYmU_CUTs,16.759,0.4076,0.0243,274
LORmHAC_vPo,29.63,0.3535,0.0119,146
DPy4x6ffCrw,18.87,0.4321,0.0229,312
OhERfauZmg0,27.86,0.505,0.0181,307
6aec4K8H9lE,36.23,0.6013,0.0166,310
Rm-APM83TKc,21.98,0.5117,0.0233,289
_Bds8lC3Pog,25.27,0.6187,0.0245,359
o3mpbZ_FRd0,5.34,0.1816,0.034,42
4WM8zLqbEsE,22.081,0.4093,0.0185,281
9xvvXx96_CI,26.29,0.4171,0.0159,280
Ok57xBmSU-o,25.721,0.4137,0.0161,255
x-Gn-sxbIVU,23.6,0.5331,0.0226,346
eF5IzBMbQrc,21.29,0.2974,0.014,146
994ZNi7rSXo,23.59,0.3916,0.0166,266
irudCaBrij0,22.46,0.4233,0.0188,254
DWsJ_XUm23s,18.631,0.4823,0.0259,264
G0cJFabIo7c,21.23,0.6243,0.0294,275
0JJxZ-OSEek,24.23,0.5747,0.0237,372
_h6CSuwWqYg,18.89,0.4771,0.0253,322
8v1gUk4Mp2E,29.539,0.9018,0.0305,352
3GANGKHWwL4,22.43,0.4275,0.0191,269
VmnzH3GZiKw,20.709,0.5276,0.0255,352
YbxyPM62bmM,22.57,0.3261,0.0144,163
bkzKVsIEjxk,38.81,1.4821,0.0382,394
BEkK73VEjes,29.7,0.5411,0.0182,320
BFBPD4Og4Ts,23.88,0.4549,0.019,302
pu2OzGhv1HI,29.3,0.4962,0.0169,343
ZIHXB0bF7jI,24.0,0.5176,0.0216,356
drt3AtQPQmE,26.901,0.5062,0.0188,312
_HSRZMTQCF4,27.99,0.4277,0.0153,171
_45M-dO99-M,31.5,0.5042,0.016,323
Vpoi5W6a3lo,17.64,0.4725,0.0268,306
gQ3q2G4bWz4,22.42,0.3484,0.0155,224
aCvceLLrE0k,29.62,0.4985,0.0168,271
KYbmJo4gN8c,16.239,0.4489,0.0276,267
M4qSgILzluk,23.92,0.4745,0.0198,248
ID_gk0aSo0Y,23.95,0.4818,0.0201,291
h6PayciBR2U,23.159,0.4214,0.0182,283
qij9U1yUXdk,27.689,0.4944,0.0179,265
tg4fRsBUkt8,28.931,0.5251,0.0181,344
2O7hALzoIBw,37.64,0.509,0.0135,301
5uybKFkufN4,20.42,0.5795,0.0284,365
TSU2VE38qUI,20.4,0.5881,0.0288,345
jtMZfLViZu8,37.02,0.6498,0.0176,368
2eMzsfgLgsE,25.179,0.501,0.0199,324
L5dDpM_qFw8,24.2,0.4615,0.0191,309
WUCMavXbJo4,23.3,0.4543,0.0195,349
K9O2HfajDrY,16.21,0.3342,0.0206,166
CCs22FNcCfU,16.229,0.4042,0.0249,274
xYs72hkKM1M,27.17,0.4852,0.0179,298
pPOXG7XRKTw,16.829,0.4008,0.0238,256
3iplfAfGzzI,37.9,0.4516,0.0119,243
7so_WOmSgGo,25.499,0.3884,0.0152,232
E6bPBhZsMUI,24.98,0.524,0.021,313
yqx3UQ5_bIE,19.72,0.4406,0.0223,242
4KAQJhDy1Dk,18.53,0.4535,0.0245,295
nwcOtus_7eo,13.909,0.2474,0.0178,78
waKLGmYW6E8,28.481,0.4095,0.0144,265
q4E9yaulqyc,25.43,0.5661,0.0223,301
ZR-OJM3NETw,19.18,0.381,0.0199,213
I71o7J0ZZq0,17.08,0.3943,0.0231,217
l8kIWLWfbZ8,15.83,0.2898,0.0183,129
jqFJ9csUH8g,28.41,1.6958,0.0597,362
8NxgVHsiezY,38.819,0.5991,0.0154,338
3rvPfIT3Wro,22.65,0.5355,0.0236,346
RjZw8KxBmXI,21.8,0.3062,0.014,186
691g3ilakqY,34.54,0.4671,0.0135,249
mMQxPjw5r0U,47.81,0.6755,0.0141,290
h6F6G4ZZuiA,28.85,0.5195,0.018,284
SUiTcHV2paQ,32.09,0.6001,0.0187,342
