split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny,transcript_raw,gold,will there be snow in amsterda,will there be snow in amsterda,"So, they are not going to hear the bell now here, I already have a story.",so they are not going to hear the bell now here i already have a story,2.6667,1.7,0.0,2.6667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please don t forget to subscribe to my channel,1.5,0.7692,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13236-G13236S2364,AESRC2020-INDIAN-ACCENT-G13236,3.439,INDIAN,tiny,transcript_raw,gold,who writes seshulatha kosuru music,who writes seshulatha kosuru music,Hooray it's take humour to conceal music.,hooray it s take humour to conceal music,1.4,0.7059,0.2,1.6
test,AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,AESRC2020-INDIAN-ACCENT-G03086,5.122,INDIAN,tiny,transcript_raw,gold,remove shows similar to chakravartin ashoka samrat,remove shows similar to chakravartin ashoka samrat,Remove shoes similar to chakra worth in a shock sun rot,remove shoes similar to chakra worth in a shock sun rot,1.1429,0.26,0.4286,1.5714
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny,transcript_raw,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,Shiva vedhana,shiva vedhana,1.0,0.8,0.0,0.3333
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,tiny,transcript_raw,gold,uninstall choices,uninstall choices,An installed choices.,an installed choices,1.0,0.2353,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny,transcript_raw,gold,decrease speed,decrease speed,The crease speed.,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,"favourite, car oil",favourite car oil,1.0,0.4545,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,tiny,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1 9 0 4 8 6 9 1 6 3,1 9 0 4 8 6 9 1 6 3,1.0,0.8085,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,tiny,transcript_raw,gold,five fifty four am,five fifty four am,5 54m.,5 54m,1.0,0.8889,0.0,0.5
