split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,V-kLaH4139o,125,36.741,M,SLOW,EAST,Engineering,Time Signal and System(Contd...),small_hf,hf_clean,alt,next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to zero n is equal to zero one n is equal to one n is equal to two again zero one so this will give me a series one zero one,next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to zero n is equal to zero one n is equal to one n is equal to two again zero one so this will give me a series one zero one,"question is, could it have been 1 to the power n and minus 1 to the power n? Let us see, half of this, what does it give me? 1, then if I put n is equal to 0, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, n is equal to 0, 1, n is equal to 1, n is equal to 2, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again",question is could it have been one to the power n and minus one to the power n let us see half of this what does it give me one then if i put n is equal to zero n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero one n is equal to zero n is equal to zero one n is equal to one n is equal to two again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again zero again,8.3333,9.4568,0.8571,9.1449
test,rbE6EuQLZbY,189,49.48,M,AVG,SOUTH,Non-Engineering,Removable Singularities,small_hf,hf_clean,alt,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,"So, I will first define a removable singularity, f function f is said to be, is said to have a removable singularity at a point a, if f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic in B prime A R for some R positive and if there is a function, there is an analytic function,",so i will first define a removable singularity f function f is said to be is said to have a removable singularity at a point a if f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic in b prime a r for some r positive and if there is a function there is an analytic function,5.0938,5.3125,0.65,5.5625
test,JmyxDMTpQ4o,302,33.389,M,SLOW,WEST,Engineering,Vector Quantization,small_hf,hf_clean,alt,vectors given by c one zero equal to one plus epsilon c one start and c two zero equal to one minus epsilon c one start for our discussion we will read this quantities as c i zero c i star or c n plus i zero now we have two initial code vectors in this code book therefore a size of the code book has increased to two so n is equal to two now,vectors given by c one zero equal to one plus epsilon c one start and c two zero equal to one minus epsilon c one start for our discussion we will read this quantities as c i zero c i star or c n plus i zero now we have two initial code vectors in this code book therefore a size of the code book has increased to two so n is equal to two now,"given by c 1 0 equal to 1 plus epsilon c 1 star and c 2 0 equal to 1 minus epsilon c 1 star. For our discussion, we will read this quantities as c i 0 c i star or c n plus i 0. Now, we have two initial code vectors in this code book. Therefore, the size of the code book has increased to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So,",given by c one zero equal to one plus epsilon c one star and c two zero equal to one minus epsilon c one star for our discussion we will read this quantities as c i zero c i star or c n plus i zero now we have two initial code vectors in this code book therefore the size of the code book has increased to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so n is equal to two so,4.0921,3.1667,0.9524,5.0132
test,ifQZgKgZoOQ,125,53.801,M,SLOW,EAST,Engineering,30 Tutorial (Contd.),small_hf,hf_clean,alt,minus two minus one minus two minus one then one two three up to n minus two and that will give me plus n into see i get minus one minus two n minus two so factorial n divided by factorial n minus two into factorial two a three and what is this you can identify this as nc two a three similarly will be factorial n divided by minus three minus two minus one then one two three up to n minus three so i,minus two minus one minus two minus one then one two three up to n minus two and that will give me plus n into see i get minus one minus two n minus two so factorial n divided by factorial n minus two into factorial two a three and what is this you can identify this as nc two a three similarly will be factorial n divided by minus three minus two minus one then one two three up to n minus three so i,"minus 1, minus 2, minus 1, then 1, 2, 3 up to n minus 2 and that will give me plus n into, see I get minus 1, minus 2, n minus 2. So, factorial n divided by minus 1, minus 2, minus 1, minus 2, minus 1, minus 2, minus 1, minus 2, minus 1, minus 1, minus 1, minus 2, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 2, so factorial n divided by factorial n minus 2 into factorial 2, a 3 and what is this? You can identify this as n c 2, a 3 similarly will be factorial N divided by minus 3, minus 2, minus 1.",minus one minus two minus one then one two three up to n minus two and that will give me plus n into see i get minus one minus two n minus two so factorial n divided by minus one minus two minus one minus two minus one minus two minus one minus two minus one minus one minus one minus two minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus two so factorial n divided by factorial n minus two into factorial two a three and what is this you can identify this as n c two a three similarly will be factorial n divided by minus three minus two minus one,3.3023,3.4439,0.9697,3.9884
test,RbuSM2lRW_o,187,33.69,F,AVG,WEST,Non-Engineering,Tutorial 2,small_hf,hf_clean,alt,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two and then we determine,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two and then we determine,"x square, then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1, f x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a",x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two a three a four a five a six a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a seven a,3.087,2.8509,0.9737,3.6304
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,small_hf,hf_clean,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625,1.4057,0.9412,2.5417
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),small_hf,hf_clean,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute. Okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute. So I'd say on average two people arrive at the bus stop K is that zero right so I'll put I'll substitute K with zero,rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put ill substitute k with zero,1.2083,0.7862,0.1176,1.25
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,small_hf,hf_clean,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"by, so it is h square by, so it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. And divided by 2, yes.",by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two and divided by two yes,1.2,1.0769,0.6471,1.55
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),small_hf,hf_clean,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer. And it is a labor intensive sludge process as far as sludge removal is concerned, because we are pumping the liquid sludge to the sludge trying birds, once the sludge is tried, how can we remove it? We have to remove the sludge from the sludge trying bird manually. So, it is a labor intensive process.",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge trying birds once the sludge is tried how can we remove it we have to remove the sludge from the sludge trying bird manually so it is a labor intensive process,0.9821,0.7091,0.2286,1.1071
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,small_hf,hf_clean,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B n plus in the solution. So, R n minus B n plus resin means activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",by what is the concentration of b n plus in the solution so r n minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b n plus in the solution,0.9574,0.7082,0.1667,0.9362
