split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976895873_f50_chunk_0.wav,,0.577375,Male,45-60,Malayalam,tiny,transcript_raw,gold,Cat,cat,"o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o-o- wisdom- Antiklao-o- probioti-o-o-e sarm-po-biom, stupid's son of a new stylist is strong, pals of the 39, right? Right? fluid br upper soul, frapp-e centered,",o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o wisdom antiklao o probioti o o e sarm po biom stupid s son of a new stylist is strong pals of the 39 right right fluid br upper soul frapp e centered,109.0,100.3333,0.0,109.0
test,281474976899496_f175_chunk_0.wav,,0.7301875,Female,30-45,Tamil,tiny,transcript_raw,gold,Forward,forward,"Follow our news delayed trying to tell you something, you would like to go online and run after things they heard in their Café fields. Nope, but I can't fully tell you anything about this. So if you wouldn't be able to talk to offices one in the morning there would be more meetings just seen through it, and there would be just two working posters",follow our news delayed trying to tell you something you would like to go online and run after things they heard in their café fields nope but i can t fully tell you anything about this so if you wouldn t be able to talk to offices one in the morning there would be more meetings just seen through it and there would be just two working posters,68.0,48.1429,0.0,68.0
test,281474976888614_f1702_chunk_5.wav,,0.7536875,Male,45-60,Kannada,tiny,transcript_raw,gold,Rawalpindi,rawalpindi,moment and half left 10 presidente będer. Where can electricity be electricity? They are so. How are they? How are you? Should never be one. How are they going? Are we in waste. What kind of fireplace are we smoking? Or maybe if we got home yes? What? Are we in waste? Are they holding inside? Or it only needs. Is it? Would it be.,moment and half left 10 presidente będer where can electricity be electricity they are so how are they how are you should never be one how are they going are we in waste what kind of fireplace are we smoking or maybe if we got home yes what are we in waste are they holding inside or it only needs is it would it be,65.0,30.5,0.0,65.0
test,281474976902157_f633_chunk_0.wav,,0.3258125,Female,45-60,Urdu,tiny,transcript_raw,gold,Five,five,"Vom inexplicable of located in the area has chilies. Why? Lonely pastwheeling pond of lime. Gotstock. Obviously many of them. The level of lime the same, moisture of these dang土 areas is that they give a skin? They can use nothing less than dense capers than them in the garden. Now, live called can available it for a more large. You were saying,",vom inexplicable of located in the area has chilies why lonely pastwheeling pond of lime gotstock obviously many of them the level of lime the same moisture of these dang土 areas is that they give a skin they can use nothing less than dense capers than them in the garden now live called can available it for a more large you were saying,63.0,83.0,0.0,63.0
test,281474976887174_f3263_chunk_5.wav,,1.92,Female,18-30,Malayalam,tiny,transcript_raw,gold,Parthasarathy Temple.,parthasarathy temple,"The width of Bernardo's water 1966-2064 is for the Beida stra semide you can see the whey from drain water Handsworth is a free idea of waterism, a fin motion the water assembly is in the mesh and it's safe to have water motion to use bestyle now of loving water for the co-banding Mailinthee sheet between two tanks and two sections of drilling",the width of bernardo s water 1966 2064 is for the beida stra semide you can see the whey from drain water handsworth is a free idea of waterism a fin motion the water assembly is in the mesh and it s safe to have water motion to use bestyle now of loving water for the co banding mailinthee sheet between two tanks and two sections of drilling,34.0,16.3,0.0,34.0
test,281474976895315_f2485_chunk_0.wav,,0.597625,Male,30-45,Kashmiri,tiny,transcript_raw,gold,Visual,visual,"Dr. minimize 132 on Kh channel, and then 3000 people in Kh channel will be completed in it will be a begins",dr minimize 132 on kh channel and then 3000 people in kh channel will be completed in it will be a begins,22.0,17.0,0.0,22.0
test,281474976892193_f1802_chunk_3.wav,,0.88675,Male,30-45,Maithili,tiny,transcript_raw,gold,51,51,γ śṛf e v d v c r r l Upider Universe R ту kaltheou q thigh,γ śṛf e v d v c r r l upider universe r ту kaltheou q thigh,17.0,29.5,0.0,17.0
test,281474976897366_f447_chunk_0.wav,,0.5263125,Male,18-30,Odia,tiny,transcript_raw,gold,Forward,forward,is definitely the medium of nervousness in there. But if you want to be missile-harovative and,is definitely the medium of nervousness in there but if you want to be missile harovative and,17.0,12.2857,0.0,17.0
test,281474976898606_f2972_chunk_0.wav,,0.3689375,Male,60+,Bengali,tiny,transcript_raw,gold,Dog,dog,the dog disappears. The dog jumps all the way down the clutch and also goes towards the,the dog disappears the dog jumps all the way down the clutch and also goes towards the,16.0,27.6667,1.0,17.0
test,281474976900602_f2216_chunk_12.wav,,1.050125,Male,30-45,Urdu,tiny,transcript_raw,gold,etc,etc,that is a drill deformation that is left at the tying of tubesps or th ر,that is a drill deformation that is left at the tying of tubesps or th ر,16.0,23.3333,0.0,16.0
