ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.6298,0.1327,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.6065,0.1107,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.5576,0.1567,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.7731,0.118,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.5742,0.1618,32
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.6483,0.1538,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.7432,0.1452,63
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.6506,0.2452,29
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.6312,0.1403,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.6961,0.1769,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.8313,0.1308,65
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.6744,0.1256,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.7381,0.1557,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.5596,0.1398,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.6379,0.1369,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.8563,0.1303,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.6365,0.1407,45
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.8477,0.1813,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.6293,0.1442,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.6621,0.0933,61
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.7035,0.1296,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.5813,0.153,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.4987,0.1676,25
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.5799,0.2504,27
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.7081,0.1339,53
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.7883,0.1246,57
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.7449,0.1488,66
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.8981,0.1268,64
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.5037,0.1701,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.8782,0.1642,71
