split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976884635_f3269_chunk_0.wav,,8.7595,Female,18-30,Kannada,parakeet,whisper_norm,gold,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,our district hasana was the land of the great hoysala dynasty who ruled over this region from 11th to 14th century ce,"Our district Hassana was the land of the great Hoysala dynasty, who ruled over this region from eleventh to fourteenth century CE.",our district hassana was the land of the great hoysala dynasty who ruled over this region from 11th to 14th century ce,0.0455,0.0085,0.9524,1.0
test,281474976885801_f2235_chunk_24.wav,,3.1000625,Female,30-45,Kannada,parakeet,whisper_norm,gold,There is a gradual shift in the mentality,there is a gradual shift in the mentality,Uh there is a gradual shift in the mentality.,there is a gradual shift in the mentality,0.0,0.0,1.0,1.0
test,281474976925705_f2479_chunk_0.wav,,0.4500625,Female,18-30,Dogri,parakeet,whisper_norm,gold,Wow,wow,Vol.,vol,1.0,0.6667,0.0,1.0
test,281474976901104_f2909_chunk_0.wav,,2.721125,Female,45-60,Maithili,parakeet,whisper_norm,gold,Nipah virus belongs to  the,nipah virus belongs to the,Nipah virus belongs to the,nipah virus belongs to the,0.0,0.0,1.0,1.0
test,281474976888137_f2862_chunk_0.wav,,3.6943125,Male,30-45,Maithili,parakeet,whisper_norm,gold,How much money is left in my Arunachal Pradesh Rural Bank account?,how much money is left in my arunachal pradesh rural bank account,How much money is left in my Arunachal Pradesh Rural Bank account?,how much money is left in my arunachal pradesh rural bank account,0.0,0.0,1.0,1.0
test,281474976897257_f2902_chunk_0.wav,,8.5104375,Female,30-45,Bengali,parakeet,whisper_norm,gold,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,govinda has received 12 filmfare award nominations and 4 zee cine awards,Govinda has received twelve Filmfare Award nominations and four Z Cine Awards.,govinda has received 12 filmfare award nominations and 4 z cine awards,0.0833,0.0278,0.9167,1.0
test,281474976897459_f2145_chunk_1.wav,,1.7331875,Male,45-60,Bodo,parakeet,whisper_norm,gold,There are many big rivers,there are many big rivers,There are many big rivers.,there are many big rivers,0.0,0.0,1.0,1.0
test,281474976893913_f2002_chunk_19.wav,,3.9504375,Male,30-45,Bodo,parakeet,whisper_norm,gold,where it is joined by other branches to form the Brahmaputra,where it is joined by other branches to form the brahmaputra,where it is joined by other branches to form the Brahmaputra.,where it is joined by other branches to form the brahmaputra,0.0,0.0,1.0,1.0
test,281474976887171_f3278_chunk_0.wav,,7.96,Female,18-30,Malayalam,parakeet,whisper_norm,gold,There have been many attempts recently to make sure that the people maintain their,there have been many attempts recently to make sure that the people maintain their,There have been many attempts recently to make sure that the people maintain their.,there have been many attempts recently to make sure that the people maintain their,0.0,0.0,1.0,1.0
test,281474976889893_f2012_chunk_0.wav,,3.949,Female,18-30,Dogri,parakeet,whisper_norm,gold,"Jammu, Samba, Kathua, Rajouri, Poonch",jammu samba kathua rajouri poonch,"Jamu, Samba, Katuwa, Rajori, Punch.",jamu samba katuwa rajori punch,0.8,0.1818,0.2,1.0
test,281474976888630_f3289_chunk_6.wav,,5.48,Male,45-60,Kannada,parakeet,whisper_norm,gold,"Among the poets, I remember William Wordsworth, T.S.",among the poets i remember william wordsworth t s,"Among the poets I remember uh William Wordsworth, T. S. Elias,",among the poets i remember william wordsworth t s elias,0.1111,0.1224,1.0,1.1111
test,281474976901801_f1956_chunk_0.wav,,6.1086875,Female,30-45,Assamese,parakeet,whisper_norm,gold,What are the main social welfare and development programs and initiatives in your district?,what are the main social welfare and development programs and initiatives in your district,What are the main social welfare and development programs and initiatives in your district?,what are the main social welfare and development programs and initiatives in your district,0.0,0.0,1.0,1.0
test,281474976884131_f3182_chunk_7.wav,,2.5345625,Female,18-30,Marathi,parakeet,whisper_norm,gold,normal competitions what we have.,normal competitions what we have,the normal competitions what we have.,the normal competitions what we have,0.2,0.125,1.0,1.2
test,281474976893178_f1746_chunk_2.wav,,3.865125,Female,60+,Odia,parakeet,whisper_norm,gold,what is an usual word and what is unusual words and phrases,what is an usual word and what is unusual words and phrases,What is an usual word and what is unusual words and phrases?,what is an usual word and what is unusual words and phrases,0.0,0.0,1.0,1.0
test,281474976888910_f3173_chunk_1.wav,,11.12,Male,18-30,Nepali,parakeet,whisper_norm,gold,see this track as my professionalism but I used to manage some time in writing as my,see this track as my professionalism but i used to manage some time in writing as my,see at this track as my professionalism but I used to manage some time in writing as my,see at this track as my professionalism but i used to manage some time in writing as my,0.0588,0.0357,1.0,1.0588
test,281474976891399_f2256_chunk_0.wav,,1.4345,Male,30-45,Malayalam,parakeet,whisper_norm,gold,Can you speak 5 numbers,can you speak 5 numbers,Can you speak five numbers?,can you speak 5 numbers,0.0,0.0,1.0,1.0
test,281474976888891_f3059_chunk_0.wav,,3.8423125,Male,18-30,Nepali,parakeet,whisper_norm,gold,Will I be able to pay using UPI apps on Hotstar website?,will i be able to pay using upi apps on hotstar website,Will I be able to pay using UPI apps on Hot Star website?,will i be able to pay using upi apps on hot star website,0.1667,0.0182,0.9167,1.0833
test,281474976894763_f2870_chunk_0.wav,,0.9681875,Female,30-45,Nepali,parakeet,whisper_norm,gold,Backward,backward,Backward.,backward,0.0,0.0,1.0,1.0
test,281474976891379_f346_chunk_0.wav,,1.8966875,Male,30-45,Malayalam,parakeet,whisper_norm,gold,define the word absolute,define the word absolute,Define the word absolute.,define the word absolute,0.0,0.0,1.0,1.0
test,281474976883853_f3233_chunk_0.wav,,7.9886875,Male,45-60,Nepali,parakeet,whisper_norm,gold,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,meghalaya is one of the less developed or underdeveloped states in northeastern india,Meghalaya is one of the least developed or underdeveloped states in northeastern India.,meghalaya is one of the least developed or underdeveloped states in northeastern india,0.0769,0.0235,0.9231,1.0
test,281474976888952_f1897_chunk_1.wav,,12.1041875,Female,18-30,Konkani,parakeet,whisper_norm,gold,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",literally feel how the people live in villages how difficult their lives are what all circumstances they go through and i could sympathize with them,"I could literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathise with them.",i could literally feel how the people live in villages how difficult their lives are what all circumstances they go through and i could sympathize with them,0.08,0.0541,1.0,1.08
test,281474976893301_f2100_chunk_1.wav,,13.5411875,Female,45-60,Hindi,parakeet,whisper_norm,gold,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,it is something which gives you warmth and the flavors are very different from the kind of food we as north indians eat,It is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,it is something which gives you warmth and the flavors are very different from the kind of food we as north indians eat,0.0,0.0,1.0,1.0
test,281474976900640_f2173_chunk_4.wav,,25.48975,Male,30-45,Urdu,parakeet,whisper_norm,gold,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,it is not only restricted to school books the school goers are asked by their rss appointed teachers to attend the rss shakhas from a young age thus enabling the sangh parivar to indoctrinate young impressionable minds,"It is not only restricted to school books, the schoolgoers are asked by their RSS appointed teachers to attend the RSS Shakhas from a young age, thus enabling the Sangha Parivar to indoctrinate young impressionable minds.",it is not only restricted to school books the schoolgoers are asked by their rss appointed teachers to attend the rss shakhas from a young age thus enabling the sangha parivar to indoctrinate young impressionable minds,0.0811,0.0092,0.9333,0.973
test,281474976898128_f2237_chunk_0.wav,,14.1029375,Female,18-30,Odia,parakeet,whisper_norm,gold,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",so as in our state the government is launching a lot of programs and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier,"So as in our state, the government is launching a lot of programmes and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier",so as in our state the government is launching a lot of programs and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier,0.0,0.0,1.0,1.0
test,281474976884181_f1862_chunk_1.wav,,12.1811875,Male,60+,Punjabi,parakeet,whisper_norm,gold,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world,on each and every subject and he deftly deals with handles all the uh good part of uh the happenings around the world.,on each and every subject and he deftly deals with handles all the good part of the happenings around the world,0.0476,0.0348,0.9444,1.0
test,281474976888157_f3255_chunk_7.wav,,4.48,Male,30-45,Maithili,parakeet,whisper_norm,gold,So these are some of the features of Mithila cooking.,so these are some of the features of mithila cooking,So these are some of the features of Mithla cooking.,so these are some of the features of mithla cooking,0.1,0.0192,0.8889,1.0
test,281474976887664_f1766_chunk_0.wav,,14.646375,Male,60+,Konkani,parakeet,whisper_norm,gold,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience,English breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.,english breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience,0.0333,0.0049,0.963,1.0
test,281474976893764_f1557_chunk_0.wav,,0.5244375,Male,30-45,Punjabi,parakeet,whisper_norm,gold,Play,play,Yeah.,yeah,1.0,0.75,0.0,1.0
test,281474976900326_f424_chunk_0.wav,,0.679625,Male,45-60,Kashmiri,parakeet,whisper_norm,gold,Visual,visual,Visual.,visual,0.0,0.0,1.0,1.0
test,281474976886877_f3160_chunk_4.wav,,8.0826875,Female,18-30,Tamil,parakeet,whisper_norm,gold,"And also, people speaking English have different accents in different regions.",and also people speaking english have different accents in different regions,And also people speaking English have different accents in different regions.,and also people speaking english have different accents in different regions,0.0,0.0,1.0,1.0
test,281474976893787_f3214_chunk_1.wav,,7.0,Male,30-45,Punjabi,parakeet,whisper_norm,gold,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",education health care poverty reduction women is empowerment,"District, Education, Health, Care, Poverty, Reduction, Women's Empowerment.",district education health care poverty reduction women is empowerment,0.125,0.15,1.0,1.125
test,281474976893075_f2114_chunk_7.wav,,1.484875,Male,60+,Marathi,parakeet,whisper_norm,gold,source language,source language,Source language.,source language,0.0,0.0,1.0,1.0
test,281474976896704_f1716_chunk_3.wav,,1.0956875,Female,45-60,Telugu,parakeet,whisper_norm,gold,"trains,",trains,trains,trains,0.0,0.0,1.0,1.0
test,281474976895627_f1138_chunk_0.wav,,0.395,Male,30-45,Assamese,parakeet,whisper_norm,gold,Cat,cat,'Kay.,kay,1.0,0.6667,0.0,1.0
test,281474976894265_f3140_chunk_2.wav,,5.0868125,Female,30-45,Kashmiri,parakeet,whisper_norm,gold,"Through poetry, I can put my thoughts on a display more creatively.",through poetry i can put my thoughts on a display more creatively,Through poetry I can put my thoughts on a display more creatively.,through poetry i can put my thoughts on a display more creatively,0.0,0.0,1.0,1.0
test,281474976883948_f1921_chunk_6.wav,,1.5471875,Female,18-30,Malayalam,parakeet,whisper_norm,gold,The main food of,the main food of,The main foot of,the main foot of,0.25,0.0625,0.75,1.0
test,281474976888909_f3258_chunk_4.wav,,10.13425,Male,18-30,Nepali,parakeet,whisper_norm,gold,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,"who is physically challenged or disordered in real life, but with the guts and a great contribution in the literature.",who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,0.0,0.0,1.0,1.0
test,281474976885520_f1686_chunk_2.wav,,3.9085,Male,18-30,Kannada,parakeet,whisper_norm,gold,our local traditions and beliefs by giving an opportunity,our local traditions and beliefs by giving an opportunity,our local traditions and beliefs by giving an opportunity,our local traditions and beliefs by giving an opportunity,0.0,0.0,1.0,1.0
test,281474976903872_f1626_chunk_0.wav,,7.0956875,Female,45-60,Nepali,parakeet,whisper_norm,gold,Are there any vaccination centres available in South Goa district for age group 18+ years,are there any vaccination centers available in south goa district for age group 18 years,Are there any vaccination centers available in South Goa district for age group eighteen plus years?,are there any vaccination centers available in south goa district for age group 18 plus years,0.0667,0.0568,1.0,1.0667
test,281474976899454_f1985_chunk_1.wav,,9.5431875,Female,30-45,Marathi,parakeet,whisper_norm,gold,hang on the rock. I find it useful and best because it helps me that we climb faster.,hang on the rock i find it useful and best because it helps me that we climb faster,hang on the uh rock and I find it useful and best because it helped me help me climb faster.,hang on the rock and i find it useful and best because it helped me help me climb faster,0.2222,0.1325,0.8235,1.0556
