dataset,model,model_display,batch_size,status,rtfx_audio_s_per_s,utterances_per_s,completion_latency_p95_s,gpu_util_mean_pct,device_memory_peak_mib,corpus_wer_pct,wer_delta_pp_vs_batch1,empty_hypotheses,quality_valid,gate_reject_reason,sensitivity_valid,is_selected
aesrc,tiny,Whisper Tiny,1,ok,37.229,8.213,0.1397,14.84,641.0,12.7821,0.0,0,True,,True,False
aesrc,tiny,Whisper Tiny,2,ok,45.929,10.132,0.2169,11.32,643.0,12.82,0.0379,0,True,,True,False
aesrc,tiny,Whisper Tiny,4,ok,53.896,11.89,0.3536,7.8,695.0,12.839,0.0569,0,True,,True,False
aesrc,tiny,Whisper Tiny,8,ok,59.774,13.186,0.6271,5.11,817.0,12.839,0.0569,0,True,,True,False
aesrc,tiny,Whisper Tiny,16,ok,63.102,13.92,1.1817,3.19,1059.0,12.8011,0.019,0,True,,True,False
aesrc,tiny,Whisper Tiny,32,ok,64.834,14.302,2.2736,2.35,1539.0,12.8011,0.019,0,True,,True,False
aesrc,tiny,Whisper Tiny,64,ok,65.935,14.545,4.4292,1.99,2491.0,12.7821,0.0,0,True,,True,False
aesrc,tiny,Whisper Tiny,128,ok,66.755,14.726,8.7626,1.96,4385.0,12.82,0.0379,0,True,,True,True
aesrc,base,Whisper Base,1,ok,31.044,6.848,0.1699,16.58,717.0,9.7098,0.0,0,True,,True,False
aesrc,base,Whisper Base,2,ok,39.907,8.804,0.2497,13.0,731.0,9.7288,0.019,0,True,,True,False
aesrc,base,Whisper Base,4,ok,50.274,11.091,0.3825,9.7,799.0,9.7288,0.019,0,True,,True,False
aesrc,base,Whisper Base,8,ok,56.937,12.56,0.6628,6.39,961.0,9.7288,0.019,0,True,,True,False
aesrc,base,Whisper Base,16,ok,61.104,13.48,1.2132,4.7,1279.0,9.7478,0.038,0,True,,True,False
aesrc,base,Whisper Base,32,ok,63.48,14.004,2.3236,4.09,1915.0,9.7478,0.038,0,True,,True,False
aesrc,base,Whisper Base,64,ok,64.568,14.244,4.5771,3.53,3171.0,9.7098,0.0,0,True,,True,False
aesrc,base,Whisper Base,128,ok,65.526,14.455,8.9239,3.17,5671.0,9.7098,0.0,0,True,,True,True
aesrc,small,Whisper Small,1,ok,23.685,5.225,0.2317,21.82,1087.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,2,ok,32.968,7.273,0.3179,19.72,1169.0,6.5997,0.0,0,True,,True,False
aesrc,small,Whisper Small,4,ok,43.369,9.567,0.4584,15.87,1293.0,6.5997,0.0,0,True,,True,False
