split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karuta mitu,favorite karuta mitu,1.5,0.2273,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,where's your base snow in amsterdam,where s your base snow in amsterdam,0.8333,0.4333,0.3333,1.1667
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock na feet like such a looser are loser,i better rock na feet like such a looser are loser,0.6923,0.2778,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G13176-G13176S2365,AESRC2020-INDIAN-ACCENT-G13176,5.07,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,does handicrafts emporium cater for vegans,does handicrafts emporium cater for vegans,does handy craft's emporium cater for wagons,does handy craft s emporium cater for wagons,0.6667,0.1429,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G23324-G23324S2354,AESRC2020-INDIAN-ACCENT-G23324,6.337,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,is there a warranty on gillette cartridges venus blades,is there a warranty on gillette cartridges venus blades,is there a baranpies on zillat kati days vena's blades,is there a baranpies on zillat kati days vena s blades,0.6667,0.3273,0.5556,1.2222
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehmat the darya ilahi,play rehmat the darya ilahi,0.6,0.1852,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,what's kiwi kayam enterprise's contact number,what s kiwi kayam enterprise s contact number,0.5714,0.1333,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we live,send the song to every day we live,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of lioness,or what is the plot of lioness,0.5,0.28,0.8,1.1667
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopalan songs,create a playlist with only t n shesha gopalan songs,0.5,0.0612,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did gaiatri a year become famous,when did gaiatri a year become famous,0.5,0.1143,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G22609-G22609S2354,AESRC2020-INDIAN-ACCENT-G22609,2.62,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,how far is a light year,how far is a light year,how far is alightier,how far is alightier,0.5,0.1739,0.5,0.6667
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benny dict silverman orchestra and choral,play songs by benny dict silverman orchestra and choral,0.5,0.1132,0.625,1.125
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,where is vanakamal hotel,where is vanakamal hotel,where is one kamal hotel,where is one kamal hotel,0.5,0.1667,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft_seed43,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jumbo bada pao center have take away,does best jumbo bada pao center have take away,0.5,0.0667,0.625,1.125
