split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,small,transcript_clean,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by, so it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes. So, it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes.",x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,2.05,1.9011,0.6471,2.7
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,small,transcript_clean,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625,1.4057,0.9412,2.5417
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),small,transcript_clean,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much zero fifty two twenty two thousand and fifty nine so eight pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g eight mu,"In short time, S is much much much less than h. So short time means S is much much less than h. So the right hand side is approximately pi r square h rho g. So 8 pi mu S ds dt is equal to pi r square h rho g. So S ds dt is equal to r square h rho g by 8 mu. You can see that the right hand side is pi r square h rho g by 8 mu. So the right hand side is",in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s ds dt is equal to pi r square h rho g so s ds dt is equal to r square h rho g by eight mu you can see that the right hand side is pi r square h rho g by eight mu so the right hand side is,1.4634,1.3558,0.68,2.1951
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),small,transcript_clean,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute. Okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute. So I'd say on average two people arrive at the bus stop. K is that zero right so I'll put I'll substitute K with zero.,rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put ill substitute k with zero,1.2083,0.7862,0.1176,1.25
test,rzqgipIaUwc,180,18.21,M,SLOW,NORTH,Non-Engineering,Calculus of Variations and Integral Equations,small,transcript_clean,gold,"square it will be 1 by 4 k 1 x, s plus lambda q it will be 1 by 4 k 2 x, s and then lambda",square it will be one by four k one x s plus lambda q it will be one by four k two x s and then lambda,square it will be 1 by 4 k 1 x comma s plus lambda cube it will be 1 by 4 k 2 x comma s and then lambda square it will be 1 by 4 k 2 x comma s plus lambda cube it will be 1 by 4 k 2 x comma,square it will be one by four k one x comma s plus lambda cube it will be one by four k two x comma s and then lambda square it will be one by four k two x comma s plus lambda cube it will be one by four k two x comma,1.037,1.1373,0.9375,2.0
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,small,transcript_clean,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processors as you need, which means it is valid for a single processor to machine of even millions of processors. Yes. Right. Right. So one is the amount of resources, how much memory I have, how much local versus auto",i wont say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processors as you need which means it is valid for a single processor to machine of even millions of processors yes right right so one is the amount of resources how much memory i have how much local versus auto,1.0286,0.9326,0.8333,1.8286
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),small,transcript_clean,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer. And it is a labor intensive sludge process as far as sludge removal is concerned, because we are pumping the liquid sludge to the sludge drying bed, once the sludge is tried, how can we remove it? We have to remove the sludge from the sludge drying bed manually. So, it is a labor intensive process.",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying bed once the sludge is tried how can we remove it we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process,0.9821,0.697,0.2286,1.1071
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,small,transcript_clean,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B n plus in the solution. So, R n minus B n plus resin means activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",by what is the concentration of b n plus in the solution so r n minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b n plus in the solution,0.9574,0.7082,0.1667,0.9362
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,small,transcript_clean,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"problem generally we work on shared memory model, but people are working nowadays on class connections. Now, the next problem is that we have to tell me how I can do it.",problem generally we work on shared memory model but people are working nowadays on class connections now the next problem is that we have to tell me how i can do it,0.9268,0.7586,0.25,0.7805
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,small,transcript_clean,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,This will continue in the next class.,this will continue in the next class,0.9111,0.8696,0.1053,0.1556
