split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,parakeet_ctc,whisper_norm,gold,..,.,this can be written as,this can be written as,5.0,22.0,0.0,5.0
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,parakeet_ctc,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet_ctc,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem forty five ok let us do that,considered in problem 45 ok let us do that,1.25,0.75,1.0,2.25
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),parakeet_ctc,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,ate could be something like well two people arrive per minute okay so that's two and i want to ask the question what is the probability zero people will arrive over the next minute so i' say on average two people arrive at the bus stop k is that zero right so i put i'll just substitute k with zero,ate could be something like well 2 people arrive per minute okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i say on average 2 people arrive at the bus stop k is that 0 right so i put i will just substitute k with 0,1.2292,0.769,0.1176,1.2917
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),parakeet_ctc,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s ds dt is equal to pi r square h rho g so s d s dt is equal to r square h rho g by h mu,in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s ds dt is equal to pi r square h rho g so s d s dt is equal to r square h rho g by h mu,1.1143,1.2931,0.8095,1.9143
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet_ctc,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),parakeet_ctc,whisper_norm,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,1.0179,0.7091,0.2571,1.1429
test,sCXbZp08jMA,49,24.12,M,FAST,SOUTH,Engineering,6 Soil Mechanics,parakeet_ctc,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,j is given by z is equal to n at depth z is given by n dash into w by v where ws is equal to w by v so unit weight of the suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma w in plus n dash w by v into g s minus one divided by g s so from this,j is given by z is equal to n at depth z is given by n dash into w by v where ws is equal to w by v so unit weight of the suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma w in plus n dash w by v into g s -one divided by g s so from this,0.9737,0.6782,0.9259,1.8684
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,parakeet_ctc,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,i would not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even millions of process yes right right so one is the amount of resources how much memory i have how much local  or shared,i would not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even 1000000s of process yes right right so one is the amount of resources how much memory i have how much local or shared,0.9714,0.9101,0.9,1.8286
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,parakeet_ctc,whisper_norm,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,by what is the concentration of b and plus in the solution so rn minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b and plus in thel,by what is the concentration of b and plus in the solution so rn minus b n plus resin means activity of b n plus in the resin and b n +one s means activity of b and plus in thel,0.9574,0.7082,0.1667,0.8723
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,parakeet_ctc,whisper_norm,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n +one column is nothing but the b has been moved to n +one that is you have a matrix and then you have b vector instead of putting b here i have put b here,multiayor numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,multiayor numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,0.9487,0.8735,0.2593,0.8974
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,parakeet_ctc,whisper_norm,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,ility this will continue in the next,ility this will continue in the next,0.9111,0.8814,0.1053,0.1556
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,parakeet_ctc,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,this is a practical three to eight decoder actually i can give you the ic number if you want to it is seven four one three eight does not matter do not have to remember numbers i do not remember numbers i will always book up book up in fact i am not even sure if it is one two eight or one three eight i think it is one three eight if somebody has a book you can have a quick look at it anyway now,this is a practical 3 to 8 decoder actually i can give you the ic number if you want to it is 74138 does not matter do not have to remember numbers i do not remember numbers i will always book up book up in fact i am not even sure if it is 128 or 138 i think it is 138 if somebody has a book you can have a quick look at it anyway now,0.8125,0.8293,0.8857,1.6042
test,whCu4Xl3m98,203,14.58,M,FAST,EAST,Engineering,Fluid Kinematics,parakeet_ctc,whisper_norm,gold,"y. So, you can write similarly that dy/ dt is = by, so dy/y is = b dt, again you integrate",y so you can write similarly that dy dt is by so dy y is b dt again you integrate,y so you can write similarly that d y d t is equal to b y so d y by y is equal to b d t again you integrate with,y so you can write similarly that d y d t is equal to b y so d y by y is equal to b d t again you integrate with,0.8,0.3827,0.8571,1.55
test,6CwSfoOR7-U,50,15.7,M,SLOW,EAST,Engineering,25,parakeet_ctc,whisper_norm,gold,"Therefore, if you look at the sway moments, they turn out to be equal toů.",therefore if you look at the sway moments they turn out to be equal tou,so this therefore if you look at the sway moments if you look at the sway moments they turn out to be equal to m,so this therefore if you look at the sway moments if you look at the sway moments they turn out to be equal to m,0.7333,0.5915,0.9333,1.6667
test,l8kIWLWfbZ8,195,15.83,M,FAST,SOUTH,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,parakeet_ctc,whisper_norm,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,in fact it is not v p zero it is v p zero cylindrical it is equal to q and d magnitude twice epsilon r epsilon zero,in fact it is not v p 0 it is v p 0 cylindrical it is equal to q and d magnitude twice epsilon r epsilon 0,0.7222,0.2907,0.7692,1.5
