split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,base,transcript_raw,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n minus 1 minus 2 j so f is 3 into 4 minus 2 into 5 which,"f which we have seen, c times n minus 1 minus 2 j. Sorry, this is I made a mistake here, j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n minus 1 minus 2 j sorry this is i made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.625,1.4884,0.9412,2.5417
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),base,transcript_raw,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"rate could be something like, well, two people arrive per minute. Okay, so that's two. And I want to ask the question, what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put, I'll just substitute K with zero.",rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so i d say on average two people arrive at the bus stop k is that zero right so i ll put i ll just substitute k with zero,1.2917,0.8,0.1176,1.3333
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),base,transcript_raw,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 00 52 22 059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time s is much much less than h. So, short time means s is much much less than h. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.1944,1.2542,0.6818,1.9167
test,RZQTTfU9TNA,284,M,FAST,SOUTH,29.08,Engineering,Encoders and Decoders,base,transcript_raw,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"is a practical 380 quarter actually I can give you the IC number if you want to it is 7, 4, 1, 3, 8. It does not matter, do not have to remember numbers, I do not remember numbers, I will always book out, book out, in fact I am not even sure with 1, 2, 8 or 1, 3, 8, I think it is not 3, 8. Somebody has a book you can have a quick look at it anyway.",is a practical 380 quarter actually i can give you the ic number if you want to it is 7 4 1 3 8 it does not matter do not have to remember numbers i do not remember numbers i will always book out book out in fact i am not even sure with 1 2 8 or 1 3 8 i think it is not 3 8 somebody has a book you can have a quick look at it anyway,1.1042,0.922,0.7429,1.6875
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,base,transcript_raw,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by so it is h square by. So, it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,base,transcript_raw,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,base,transcript_raw,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n plus 1 column is nothing but the b has been moved to n plus 1 that is you have a matrix and then you have b vector instead of putting b here i have put b here,something in every new monitor methods problem generally we walk on shared memory model. The people are working nowadays on platform issues. So the next problem is that we have to tell me how I can do it.,something in every new monitor methods problem generally we walk on shared memory model the people are working nowadays on platform issues so the next problem is that we have to tell me how i can do it,0.9756,0.8882,0.2143,0.9268
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,base,transcript_raw,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. So, as many number of processors as you need, which means it is valid for a single processor to machine of even million. Yes. Right. Right. So, one is the amount of resources. How much memory I have, how much local version or shared.",i won t say assumption but it is an abstraction we ll talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even million yes right right so one is the amount of resources how much memory i have how much local version or shared,0.9714,0.7978,0.8333,1.8
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),base,transcript_raw,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying birds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bird manually. So, it is a labor intensive process and",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying birds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bird manually so it is a labor intensive process and,0.9643,0.7061,0.2571,1.125
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,base,transcript_raw,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of b n plus in the solution. So, R n minus b n plus resin means active activity of b n plus in the resin and b n plus 1 s means activity of b n plus",by what is the concentration of b n plus in the solution so r n minus b n plus resin means active activity of b n plus in the resin and b n plus 1 s means activity of b n plus,0.9574,0.7117,0.1667,0.8936
