split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,aNOkZZjUKoM,270,51.49,M,SLOW,EAST,Non-Engineering,The JWKB Approximation,tiny_ft,hf_raw,alt,we choose f of x such that plus minus i k prime f minus two i k f prime is equal to zero so therefore plus minus this cancels out so if i take this term on the right hand side so i will get k two k d f by d x this term is equal to minus two k d f by d x will become minus k prime times f so i rewrite this if i divide this so i,we choose f of x such that plus minus i k prime f minus two i k f prime is equal to zero so therefore plus minus this cancels out so if i take this term on the right hand side so i will get k two k d f by d x this term is equal to minus two k d f by d x will become minus k prime times f so i rewrite this if i divide this so i,"tools, we choose f of x such that plus minus i k prime f plus minus 2 i k f prime is equal to 0. So, therefore, plus minus this cancels out. So, if I take this term on the right hand side. So, I will get k 2 k d f by d x, this is this term is equal to minus 2 k d f by d x will become minus k prime times f. So, this term is equal to minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus by d x will become minus k prime times f. So, I read",tools we choose f of x such that plus minus i k prime f plus minus 2 i k f prime is equal to 0 so therefore plus minus this cancels out so if i take this term on the right hand side so i will get k 2 k d f by d x this is this term is equal to minus 2 k d f by d x will become minus k prime times f so this term is equal to minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus by d x will become minus k prime times f so i read,4.7349,4.7584,0.8947,5.6024
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,tiny_ft,hf_raw,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen c times n minus 1 minus 2 j. Sorry, this is I made a mistake here, j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",f which we have seen c times n minus 1 minus 2 j sorry this is i made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.8333,1.2642,0.7059,2.5417
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,tiny_ft,hf_raw,alt,considered in problem forty minus five,considered in problem forty minus five,can see that in problem what if I let us do that.,can see that in problem what if i let us do that,1.6667,0.7368,0.3333,2.0
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),tiny_ft,hf_raw,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people that i have permanent okay so that is too and i want to ask the question what is the probability zero people will arrive over the next minute so i would say on average two people arrive at the bus stop k is that zero right so i will put it is a substitute k with zero,rate could be something like well two people that i have permanent okay so that is too and i want to ask the question what is the probability zero people will arrive over the next minute so i would say on average two people arrive at the bus stop k is that zero right so i will put it is a substitute k with zero,1.2917,0.8172,0.1176,1.3542
test,V-kLaH4139o,125,36.741,M,SLOW,EAST,Engineering,Time Signal and System(Contd...),tiny_ft,hf_raw,alt,next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to zero n is equal to zero one n is equal to one n is equal to two again zero one so this will give me a series one zero one,next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to zero n is equal to zero one n is equal to one n is equal to two again zero one so this will give me a series one zero one,"to the power n and minus 1 to the power n. Let us see. How far this? What does it give me? 1. Then if I put n is equal to 0, n is equal to 0, 1, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, 1, n is equal to 1, n is equal to 2, again 0 again",to the power n and minus 1 to the power n let us see how far this what does it give me 1 then if i put n is equal to 0 n is equal to 0 1 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 1 n is equal to 1 n is equal to 2 again 0 again,1.2609,0.8597,0.6,1.6957
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,tiny_ft,hf_raw,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by so it is h square by so it was 3 factorial and that multiplied by 2. So, that it becomes 3. And divided by 2 yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.2,0.9121,0.5294,1.4
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),tiny_ft,hf_raw,alt,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,"in short time s is much much less than h. So, short time means s is much much less than h. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square H rho g. So, S d S d t is equal to r square H rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.0233,0.6989,0.56,1.6047
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,tiny_ft,hf_raw,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B and plus in the solution. So, r and minus B and plus, resin means activity of B and plus in the resin and B and plus 1, yes means activity of B and plus in the",by what is the concentration of b and plus in the solution so r and minus b and plus resin means activity of b and plus in the resin and b and plus 1 yes means activity of b and plus in the,0.9574,0.7153,0.1667,0.9149
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,tiny_ft,hf_raw,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,in everybody to master problem generally we want to share memory model. The people are working nowadays on per commercial. Now the next problem is that we have to tell me how I can do it.,in everybody to master problem generally we want to share memory model the people are working nowadays on per commercial now the next problem is that we have to tell me how i can do it,0.9512,0.7874,0.2143,0.878
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),tiny_ft,hf_raw,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,much higher compared to the somewhat and it is a labor intensive process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying buds manually so it is a labor intensive process and,much higher compared to the somewhat and it is a labor intensive process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying buds manually so it is a labor intensive process and,0.9464,0.697,0.2571,1.1071
