ID,n_models,n_arch,recall_mean,recall_std,ratio_mean,ratio_std,wer_mean,ref_words,category
AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,9,4,0.1111111111111111,0.22047927592204922,1.5,0.25000000000000006,1.3888888888888888,2,short_ref
AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,9,4,0.37035555555555555,0.1924549045303283,0.9876555555555555,0.1410187320102467,0.7037333333333333,9,content_mismatch
AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,6,4,0.055549999999999995,0.13606915521160554,0.8889,0.6206567618257293,1.1666833333333333,3,short_ref
AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,6,3,0.5,0.24494897427831783,1.3,0.24494897427831777,0.7999999999999999,5,genuine_error
AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,6,3,0.20000000000000004,0.1264911064067352,0.7333333333333334,0.2732520204255893,0.7999999999999999,5,content_mismatch
AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,5,4,0.375,0.12499999999999999,1.1,0.10458250331675945,0.775,8,content_mismatch
AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,5,1,0.5,0.0,1.23334,0.09125057808036063,0.73334,6,genuine_error
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,5,2,0.6,0.0,1.1333600000000001,0.07455050636984305,0.6333599999999999,6,genuine_error
AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,4,2,0.5,0.0,1.5,0.0,1.0,2,short_ref
AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,4,2,0.3125,0.23935677693908453,1.1875,0.375,0.9375,8,content_mismatch
AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,4,3,0.42855,0.2857,1.2857,0.42055033785109086,0.89285,7,genuine_error
AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,4,1,0.45835,0.31550958252748307,1.16665,0.23570226275253844,0.75,6,genuine_error
AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,4,2,0.41664999999999996,0.09624428987391064,1.125,0.15955958134815973,0.70835,6,genuine_error
AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,4,2,0.375,0.25,1.0,0.0,0.625,2,short_ref
AESRC2020-INDIAN-ACCENT-G23372-G23372S2354,4,4,0.5,0.0,0.8889,0.15711912677965084,0.583375,9,genuine_error
AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,4,1,0.59375,0.062499999999999986,1.0,0.09071277014107033,0.583375,9,genuine_error
AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,4,3,0.5714,0.0,1.1429,0.0,0.5714,7,genuine_error
AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,4,2,0.75,0.0,1.25,0.0,0.5,8,genuine_error
AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,3,1,0.2916666666666667,0.07216878364870322,1.125,0.125,0.875,8,content_mismatch
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,3,2,0.47619999999999996,0.08244561844027859,1.2857,0.2857,0.8095333333333334,7,genuine_error
AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,3,2,0.3333,0.0,1.0370333333333333,0.06414361490696739,0.7778,9,content_mismatch
AESRC2020-INDIAN-ACCENT-G90144-G90144S3370,3,3,0.6667,0.0,1.3333,0.0,0.6667,3,short_ref
AESRC2020-INDIAN-ACCENT-G12093-G12093S2365,3,2,0.6666666666666666,0.1154700538379252,1.3333333333333333,0.11547005383792512,0.6666666666666666,5,genuine_error
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,3,1,0.5238,0.08244561844027858,1.1428666666666667,0.28575000145815116,0.6666333333333333,7,genuine_error
AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,3,3,0.6190333333333333,0.08250335346719756,1.2381,0.08244561844027858,0.6190333333333333,7,genuine_error
AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,2,2,0.08335,0.11787470042379747,1.6667,1.4142135623730951,1.75,6,content_mismatch
AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,2,1,0.7143,0.0,1.7000000000000002,0.14142135623730956,1.05,10,genuine_error
AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,2,1,0.3889,0.2357494008475949,1.25,0.07071067811865482,0.95,10,content_mismatch
AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,2,2,0.33335,0.4714280910170712,0.8332999999999999,0.7071067811865476,0.83335,6,content_mismatch
AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,2,1,0.66665,0.4714280910170713,1.5,0.23574940084759505,0.83335,3,short_ref
AESRC2020-INDIAN-ACCENT-G03453-G03453S2355,2,2,0.4375,0.08838834764831845,1.1111,0.3142382535593017,0.6667000000000001,9,genuine_error
AESRC2020-INDIAN-ACCENT-G53371-G53371S2354,2,2,0.4444,0.0,1.0,0.3142382535593017,0.6667000000000001,9,genuine_error
AESRC2020-INDIAN-ACCENT-G11445-G11445S2354,2,1,0.4286,0.0,0.9286000000000001,0.3030659664165543,0.64285,7,genuine_error
AESRC2020-INDIAN-ACCENT-G32681-G32681S2354,2,2,0.4286,0.0,1.07145,0.10104555903155765,0.64285,7,genuine_error
AESRC2020-INDIAN-ACCENT-G03089-G03089S2365,2,1,0.5,0.1767766952966369,1.0625,0.08838834764831845,0.625,8,genuine_error
AESRC2020-INDIAN-ACCENT-G53668-G53668S2365,2,2,0.4,0.0,1.0,0.0,0.6,5,genuine_error
AESRC2020-INDIAN-ACCENT-G23248-G23248S2366,2,2,0.5,0.10097484835343902,1.07145,0.10104555903155765,0.5714,7,genuine_error
AESRC2020-INDIAN-ACCENT-G02725-G02725S2354,2,2,0.6,0.0,1.0909,0.0,0.5455,11,genuine_error
AESRC2020-INDIAN-ACCENT-G02320-G02320S2355,2,1,0.5,0.0,0.8333,0.0,0.5,6,genuine_error
AESRC2020-INDIAN-ACCENT-G03218-G03218S2365,2,1,0.6667,0.0,1.1667,0.0,0.5,6,genuine_error
AESRC2020-INDIAN-ACCENT-G03884-G03884S3378,2,1,0.5,0.0,0.75,0.0,0.5,4,genuine_error
AESRC2020-INDIAN-ACCENT-G13236-G13236S2364,1,1,0.2,,1.6,,1.4,5,content_mismatch
AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,1,1,0.5,,1.5,,1.0,2,short_ref
AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,1,1,0.25,,1.0,,1.0,4,content_mismatch
AESRC2020-INDIAN-ACCENT-G03161-G03161S2365,1,1,0.25,,1.25,,1.0,8,content_mismatch
AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,1,1,0.5,,1.5,,1.0,2,short_ref
AESRC2020-INDIAN-ACCENT-G91301-G91301S2352,1,1,0.3333,,1.3333,,1.0,6,content_mismatch
AESRC2020-INDIAN-ACCENT-G90527-G90527S2355,1,1,0.4,,1.3,,0.9,10,genuine_error
AESRC2020-INDIAN-ACCENT-G03144-G03144S2366,1,1,0.5,,1.3333,,0.8333,6,genuine_error
AESRC2020-INDIAN-ACCENT-G03233-G03233S2365,1,1,0.6667,,1.5,,0.8333,12,genuine_error
AESRC2020-INDIAN-ACCENT-G22662-G22662S2354,1,1,0.4,,1.0909,,0.8182,11,genuine_error
AESRC2020-INDIAN-ACCENT-G03370-G03370S3370,1,1,0.4,,1.2,,0.8,5,genuine_error
AESRC2020-INDIAN-ACCENT-G23773-G23773S2372,1,1,0.2,,1.0,,0.8,5,content_mismatch
AESRC2020-INDIAN-ACCENT-G23952-G23952S2373,1,1,0.4,,1.2,,0.8,5,genuine_error
AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,1,1,0.5,,1.25,,0.75,4,genuine_error
AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,1,1,0.25,,0.75,,0.75,4,content_mismatch
AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,1,1,0.75,,1.5,,0.75,4,genuine_error
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,1,1,0.2857,,0.8571,,0.7143,7,content_mismatch
AESRC2020-INDIAN-ACCENT-G12416-G12416S2355,1,1,0.5,,1.2,,0.7,10,genuine_error
AESRC2020-INDIAN-ACCENT-G02684-G02684S3370,1,1,0.6667,,1.3333,,0.6667,3,short_ref
AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,1,1,0.6667,,1.3333,,0.6667,6,genuine_error
AESRC2020-INDIAN-ACCENT-G53025-G53025S2364,1,1,0.5,,1.1667,,0.6667,6,genuine_error
AESRC2020-INDIAN-ACCENT-G91743-G91743S1199,1,1,0.5833,,0.9286,,0.6429,14,genuine_error
AESRC2020-INDIAN-ACCENT-G12644-G12644S2354,1,1,0.5,,1.0,,0.625,8,genuine_error
AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,1,1,0.5,,1.125,,0.625,8,genuine_error
AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,1,1,0.5833,,0.8462,,0.6154,13,genuine_error
AESRC2020-INDIAN-ACCENT-G23739-G23739S2373,1,1,0.4286,,0.7143,,0.5714,7,genuine_error
AESRC2020-INDIAN-ACCENT-G43652-G43652S2365,1,1,0.7143,,1.2857,,0.5714,7,genuine_error
AESRC2020-INDIAN-ACCENT-G72678-G72678S2355,1,1,0.4286,,0.8571,,0.5714,7,genuine_error
AESRC2020-INDIAN-ACCENT-G23324-G23324S2354,1,1,0.4444,,0.8889,,0.5556,9,genuine_error
AESRC2020-INDIAN-ACCENT-G90236-G90236S2354,1,1,0.5556,,1.1111,,0.5556,9,genuine_error
AESRC2020-INDIAN-ACCENT-G12803-G12803S2353,1,1,0.4545,,0.6364,,0.5455,11,genuine_error
AESRC2020-INDIAN-ACCENT-G02502-G02502S2355,1,1,0.6667,,1.1667,,0.5,6,genuine_error
AESRC2020-INDIAN-ACCENT-G02703-G02703S3370,1,1,0.75,,1.25,,0.5,4,genuine_error
AESRC2020-INDIAN-ACCENT-G13240-G13240S2366,1,1,0.75,,1.25,,0.5,8,genuine_error
AESRC2020-INDIAN-ACCENT-G13667-G13667S2366,1,1,0.75,,1.25,,0.5,8,genuine_error
AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,1,1,0.75,,1.25,,0.5,4,genuine_error
