ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,1.5146,0.0652,222
gS5iH0QkPHg,25.59,2.4374,0.0952,322
D7Zu1-9kSUg,17.211,1.3706,0.0796,234
rNdMsEHElc4,27.01,2.5437,0.0942,367
aD_BO4DwxlU,21.94,1.6988,0.0774,268
_A5wRmd2rwI,23.04,2.089,0.0907,372
fGR_qtyRP_I,33.05,2.3713,0.0717,368
5hscXtk6usE,30.291,2.2231,0.0734,379
J_lm2iJ0l0k,27.43,2.2714,0.0828,360
kPnr_57oii4,29.74,0.7657,0.0257,96
hOoGiaUkKpc,25.28,1.7442,0.069,355
XbUgxPtJuUg,19.66,1.667,0.0848,239
GOUowwtdcPU,21.16,2.1248,0.1004,343
H1cq5p2nryw,23.09,2.4,0.1039,292
6lqsHV_2yJc,19.76,1.021,0.0517,167
f2kikEusCEM,23.459,1.7178,0.0732,309
uTwm3Zv1HfA,25.431,1.7255,0.0678,200
xacD9zJCqZ4,26.68,2.021,0.0757,351
h47JDhpdYe0,24.081,1.2427,0.0516,150
vNNLvowQqoU,23.769,1.8657,0.0785,268
thF6wrlwdTQ,20.33,0.6313,0.0311,123
whCu4Xl3m98,14.58,0.9342,0.0641,111
P5nwZQe4QYI,19.92,2.4161,0.1213,386
JH9x87yjoEk,26.319,2.4655,0.0937,349
4ZydYE-0994,24.601,1.7523,0.0712,363
w_ZPOjcxD8U,33.82,2.161,0.0639,301
1JGSQQRu4fg,12.321,1.2236,0.0993,196
F2NqTIej98Q,28.819,2.1214,0.0736,324
pGu3HxJQF7I,24.49,1.2851,0.0525,253
0zceBXshBzA,22.88,1.9236,0.0841,326
6704d9DDwLo,24.379,1.902,0.078,302
VLv1adcoiWo,25.249,2.7357,0.1083,366
dgyPeFemyL8,23.23,1.8343,0.079,287
IcN9rLzhV3U,26.53,1.5842,0.0597,250
0AuMdY3IyJ8,27.74,1.4355,0.0517,207
pGT6iJ_z5Vs,26.35,1.8794,0.0713,244
Ct2RYsd7blI,24.67,1.5652,0.0634,273
too4A5mo1Pk,22.25,1.8633,0.0837,344
jnQFMdMSRAE,25.319,1.7165,0.0678,256
Z4WvQ152QP8,21.67,2.3901,0.1103,385
fwRFaZnr2WU,24.49,2.1228,0.0867,363
C1XMxZEjP8I,22.65,1.3768,0.0608,208
FXEgxrRFVMQ,17.31,1.1103,0.0641,158
4LgvOdyaJ04,23.82,2.1139,0.0887,364
kVr9gGPuThY,20.959,1.0455,0.0499,194
d7gzALqU95Y,28.34,1.9849,0.07,359
trHd9k3WKWg,33.63,1.9157,0.057,329
zz3cEoeWrUo,20.53,1.7173,0.0837,281
DzF13C0g40A,24.42,1.1596,0.0475,184
jcds3fbVLg0,27.45,1.1979,0.0436,170
djzzZHbUc80,25.36,2.2751,0.0897,335
gxges_uq5lc,23.58,1.6653,0.0706,267
PcQlvbmHDVY,28.38,1.566,0.0552,275
aGM0r3QsYYU,35.669,1.8901,0.053,365
p-JPAGGOvjU,22.07,1.2344,0.0559,214
Y03fkk2zdOE,23.7,1.3984,0.059,260
pLPQGrvV4_g,29.071,2.0872,0.0718,371
lmr4kETnwi0,22.05,2.1926,0.0994,351
7r7rLJqhBBw,19.851,1.9712,0.0993,342
JVdBgP5SD14,29.74,2.2083,0.0743,354
rL47ZBWKRd0,19.65,2.4417,0.1243,372
4vl_r79DBKU,24.459,1.7573,0.0718,301
UfS8-eLsxRA,24.41,2.2525,0.0923,347
qXZ11_ZbxOs,26.8,2.6179,0.0977,368
EayOCWaiRkw,27.8,1.1742,0.0422,207
2LyY4t0Gfvs,34.231,2.2362,0.0653,359
Byf8i1KkBiY,20.381,1.2626,0.062,199
hric4h80PDc,22.6,2.2246,0.0984,333
zVkYmU_CUTs,16.759,1.4355,0.0857,280
LORmHAC_vPo,29.63,1.0589,0.0357,145
DPy4x6ffCrw,18.87,1.6128,0.0855,313
OhERfauZmg0,27.86,2.0818,0.0747,298
6aec4K8H9lE,36.23,2.403,0.0663,339
Rm-APM83TKc,21.98,2.0635,0.0939,294
_Bds8lC3Pog,25.27,2.6635,0.1054,367
o3mpbZ_FRd0,5.34,0.4247,0.0795,47
4WM8zLqbEsE,22.081,1.5028,0.0681,277
9xvvXx96_CI,26.29,1.5663,0.0596,285
Ok57xBmSU-o,25.721,1.5436,0.06,257
x-Gn-sxbIVU,23.6,2.3439,0.0993,358
eF5IzBMbQrc,21.29,1.1402,0.0536,171
994ZNi7rSXo,23.59,1.5609,0.0662,276
irudCaBrij0,22.46,1.6563,0.0737,261
DWsJ_XUm23s,18.631,2.0503,0.11,312
G0cJFabIo7c,21.23,1.8206,0.0858,284
0JJxZ-OSEek,24.23,2.3991,0.099,372
_h6CSuwWqYg,18.89,2.0714,0.1097,331
8v1gUk4Mp2E,29.539,2.1612,0.0732,357
3GANGKHWwL4,22.43,1.8671,0.0832,266
VmnzH3GZiKw,20.709,2.1375,0.1032,365
YbxyPM62bmM,22.57,1.1642,0.0516,159
bkzKVsIEjxk,38.81,2.7758,0.0715,391
BEkK73VEjes,29.7,2.076,0.0699,326
BFBPD4Og4Ts,23.88,1.7869,0.0748,299
pu2OzGhv1HI,29.3,2.0982,0.0716,346
ZIHXB0bF7jI,24.0,2.2405,0.0934,363
drt3AtQPQmE,26.901,2.1108,0.0785,321
_HSRZMTQCF4,27.99,1.4106,0.0504,206
_45M-dO99-M,31.5,1.9891,0.0631,322
Vpoi5W6a3lo,17.64,2.1402,0.1213,310
gQ3q2G4bWz4,22.42,1.1966,0.0534,216
aCvceLLrE0k,29.62,1.8395,0.0621,278
KYbmJo4gN8c,16.239,1.6841,0.1037,270
M4qSgILzluk,23.92,2.2763,0.0952,257
ID_gk0aSo0Y,23.95,1.6164,0.0675,300
h6PayciBR2U,23.159,1.7695,0.0764,301
qij9U1yUXdk,27.689,1.465,0.0529,277
tg4fRsBUkt8,28.931,2.0238,0.07,359
2O7hALzoIBw,37.64,2.0998,0.0558,309
5uybKFkufN4,20.42,2.4591,0.1204,366
TSU2VE38qUI,20.4,2.0352,0.0998,348
jtMZfLViZu8,37.02,2.4423,0.066,367
2eMzsfgLgsE,25.179,1.691,0.0672,310
L5dDpM_qFw8,24.2,1.9276,0.0797,326
WUCMavXbJo4,23.3,1.8903,0.0811,351
K9O2HfajDrY,16.21,1.0998,0.0678,171
CCs22FNcCfU,16.229,1.7398,0.1072,275
xYs72hkKM1M,27.17,2.0477,0.0754,300
pPOXG7XRKTw,16.829,2.0338,0.1208,294
3iplfAfGzzI,37.9,1.8037,0.0476,304
7so_WOmSgGo,25.499,1.5385,0.0603,251
E6bPBhZsMUI,24.98,2.0849,0.0835,317
yqx3UQ5_bIE,19.72,1.7231,0.0874,248
4KAQJhDy1Dk,18.53,1.7524,0.0946,292
nwcOtus_7eo,13.909,0.8795,0.0632,83
waKLGmYW6E8,28.481,1.3159,0.0462,264
q4E9yaulqyc,25.43,2.0212,0.0795,309
ZR-OJM3NETw,19.18,1.3805,0.072,209
I71o7J0ZZq0,17.08,1.5819,0.0926,237
l8kIWLWfbZ8,15.83,0.9336,0.059,114
jqFJ9csUH8g,28.41,2.8065,0.0988,366
8NxgVHsiezY,38.819,2.4264,0.0625,342
3rvPfIT3Wro,22.65,2.2028,0.0973,349
RjZw8KxBmXI,21.8,1.0304,0.0473,203
691g3ilakqY,34.54,1.6731,0.0484,266
mMQxPjw5r0U,47.81,2.6654,0.0558,293
h6F6G4ZZuiA,28.85,1.7337,0.0601,286
SUiTcHV2paQ,32.09,2.4167,0.0753,350
Dsi7x-A89Mw,27.379,1.872,0.0684,330
3pDVU2ptuXc,22.96,2.7026,0.1177,378
yuE86XeGhEA,23.92,1.4347,0.06,216
M6ku5oRrpVQ,18.03,1.5252,0.0846,236
7-E1_n1OKY8,24.63,1.706,0.0693,270
1hadPYzPb8A,22.71,0.5998,0.0264,93
7nJvMid1nQ0,13.91,1.1879,0.0854,197
s8fWxRWXzyA,21.049,2.1833,0.1037,358
XorYn_oYRv0,25.47,2.4203,0.095,343
RjZJjneJ5fk,23.11,2.0713,0.0896,342
ZcTTkCWnQNg,28.5,1.8883,0.0663,258
gCfnDn6AzBE,17.03,1.6307,0.0958,270
PU_viTA3Fco,34.279,1.9879,0.058,323
ZkTa-yNNaNE,25.21,2.2124,0.0878,349
en84VHnVyCU,21.859,1.7473,0.0799,268
z3MFZezdkz4,23.92,1.3139,0.0549,259
WL93rGYf7s0,26.02,1.8518,0.0712,385
IfVWwZipn-k,22.97,2.3303,0.1015,375
zk1lXf7Ceiw,1.0,0.1773,0.1773,18
dYvgdN3YRAM,28.74,1.0362,0.0361,175
jqhQx9U9kok,24.44,1.46,0.0597,224
qfiAIzh2pJQ,16.15,1.2971,0.0803,191
f9JJo49xzj8,21.53,1.4682,0.0682,231
DSdVV8TQUR0,22.041,1.3295,0.0603,236
LclyvV5awb0,26.421,2.0785,0.0787,361
lnD212vbPSk,26.769,2.3204,0.0867,351
4UFmjCPnhsQ,21.61,1.3026,0.0603,202
Lmi6BPLres4,24.16,2.1154,0.0876,331
P5hzwY7_Uzc,20.49,2.5211,0.123,378
fMJl01wbmWE,27.32,3.1244,0.1144,421
foW2vtPWEU8,31.81,1.7761,0.0558,313
tmNsUXD4SXs,25.74,1.2516,0.0486,195
OayFGB9Mrw8,38.08,2.4537,0.0644,322
aGvMubj8NXk,17.03,1.4555,0.0855,234
vkjWQzyTjHU,23.111,1.2705,0.055,210
h0hZcIex-Z8,27.74,1.0668,0.0385,162
ozUsYH3cwVs,19.82,1.9415,0.098,278
_vnEfLfXxIs,26.25,2.0859,0.0795,364
JmyxDMTpQ4o,33.389,2.1143,0.0633,332
cx5b0kyu-jU,33.31,2.2688,0.0681,344
4qWsaupbZY0,24.059,2.1849,0.0908,373
ZLmqtF2FtkU,21.85,1.8236,0.0835,245
ZZUYzTsBk-0,24.86,1.1993,0.0482,185
6I6gTPIZeOk,24.38,2.4133,0.099,365
oSQofaxaWck,26.31,1.3794,0.0524,243
wb3wDTrr9dM,29.081,1.8432,0.0634,304
Mm9puwlIm5g,24.53,2.7954,0.114,388
phd9TqHW03Q,25.65,2.2919,0.0894,357
tPcTenIPQm4,23.38,2.5917,0.1109,407
cTJ45VdTtEU,25.269,1.822,0.0721,262
Sg7Q_dC_fWU,22.58,1.7865,0.0791,325
B7Z2U2PsmhY,22.65,2.0572,0.0908,372
_KdWxyWHsqk,20.82,1.9163,0.092,349
ExG0ToMUsEM,26.3,1.4608,0.0555,179
vggipesVGRU,79.47,2.2453,0.0283,334
XGTOLHxeHCg,47.39,1.7913,0.0378,320
ksh6OMRFroI,22.93,1.5675,0.0684,227
_rucNS_YpzQ,16.13,1.9372,0.1201,349
p1ZHzSEsCPc,26.411,2.9145,0.1104,334
CFfekXgxHPk,25.86,1.7457,0.0675,258
WHWEHwcSI8E,18.87,1.6268,0.0862,303
f-lP08Fiz-s,26.17,2.3931,0.0914,375
