model,display,transcript_raw,transcript_clean,hf_raw,hf_clean,whisper_norm,CER_primary
tiny,Whisper Tiny,19.79,19.43,22.2,20.07,19.01,12.51
base,Whisper Base,17.91,17.53,20.24,18.07,17.03,11.35
small,Whisper Small,16.44,16.05,19.2,16.96,15.8,10.83
medium,Whisper Medium,15.11,14.76,18.01,15.76,14.48,10.14
large,Whisper Large-v3,16.31,15.93,19.14,16.94,15.76,11.2
large_v3_turbo,Whisper large-v3-turbo,,,,,,
parakeet,Parakeet-TDT-0.6B-v2,15.97,15.6,18.54,16.4,15.17,10.21
parakeet_ctc,Parakeet-CTC-1.1B,,,,,,
qwen3,Qwen3-ASR-1.7B,18.15,16.66,17.99,17.61,15.4,10.45
medium_hf,Whisper Medium (HF),14.75,14.42,17.72,15.51,14.23,10.06
medium_ft,Whisper Medium (FT),14.71,14.61,17.7,15.7,14.31,10.25
tiny_hf,Whisper Tiny (HF),22.49,22.1,24.86,22.67,21.72,13.95
tiny_ft,Whisper Tiny (FT),19.54,19.14,21.82,19.63,18.45,12.45
small_hf,Whisper Small (HF),17.78,17.38,20.53,18.27,16.93,12.06
small_ft,Whisper Small (FT),16.39,16.21,19.17,17.2,15.64,10.87
