split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,base,hf_clean,Normalised_Transcript,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,"f which we have seen, c times n minus 1 minus 2 j. Sorry, this is I made a mistake here, j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),base,hf_clean,Normalised_Transcript,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"rate could be something like, well, two people arrive per minute. Okay, so that's two. And I want to ask the question, what is the probability zero people will arrive over the next minute? So I'd say, on average, two people arrive at the bus stop. K is that zero, right? So I'll put, I'll just substitute K with zero.",rate could be something like well two people arrive per minute okay so that is two and i want to ask the question what is the probability zero people will arrive over the next minute so i would say on average two people arrive at the bus stop k is that zero right so i will put i will just substitute k with zero,1.2708
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,base,hf_clean,Normalised_Transcript,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by so it is h square by. So, it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes.",x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,1.1
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),base,hf_clean,Normalised_Transcript,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,"in short time s is much much less than h. So, short time means s is much much less than h. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square h rho g. So, s d s d t is equal to r square h rho g by 8 mu",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by eight mu,0.9767
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,base,hf_clean,Normalised_Transcript,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,something in every new monitor methods problem generally we walk on shared memory model. The people are working nowadays on platform issues. So the next problem is that we have to tell me how I can do it.,something in every new monitor methods problem generally we walk on shared memory model the people are working nowadays on platform issues so the next problem is that we have to tell me how i can do it,0.9756
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),base,hf_clean,Normalised_Transcript,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying birds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bird manually. So, it is a labor intensive process and",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying birds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bird manually so it is a labor intensive process and,0.9643
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,base,hf_clean,Normalised_Transcript,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of b n plus in the solution. So, R n minus b n plus resin means active activity of b n plus in the resin and b n plus 1 s means activity of b n plus",by what is the concentration of b n plus in the solution so r n minus b n plus resin means active activity of b n plus in the resin and b n plus one s means activity of b n plus,0.9574
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,base,hf_clean,Normalised_Transcript,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. So, as many number of processors as you need, which means it is valid for a single processor to machine of even million. Yes. Right. Right. So, one is the amount of resources. How much memory I have, how much local version or shared.",i will not say assumption but it is an abstraction well talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even million yes right right so one is the amount of resources how much memory i have how much local version or shared,0.9143
test,whuItiXjk5s,277,M,SLOW,SOUTH,64.92,Engineering,Error Budgeting for Thermo Couple Amplifier,base,hf_clean,Normalised_Transcript,can make the output goes to zero so this kind of adjustment has to be done by assuming i bias current plus equal to i bias current minus we can make error due to bias current to zero by selecting the resistor values now for example if i have a gain twenty minus five then i can select this r f and i call this is r,can make the output goes to zero so this kind of adjustment has to be done by assuming i bias current plus equal to i bias current minus we can make error due to bias current to zero by selecting the resistor values now for example if i have a gain twenty minus five then i can select this r f and i call this is r,"can make the output code to 0. So, this kind of adjustment has to be done. So, by assuming by assuming as assuming I plus I by as current plus equal to I by as current minus we can we I plus I by as current plus equal to I by as current minus we can we can make error due to error due to by as current to 0 and to 0 by adjust by setting there is a value register values. Now, for example, if I want to have a",can make the output code to zero so this kind of adjustment has to be done so by assuming by assuming as assuming i plus i by as current plus equal to i by as current minus we can we i plus i by as current plus equal to i by as current minus we can we can make error due to error due to by as current to zero and to zero by adjust by setting there is a value register values now for example if i want to have a,0.9104
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,base,hf_clean,Normalised_Transcript,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,stability. This will continue in the next.,stability this will continue in the next,0.9091
