split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,lLbFCGEDUbo,146,M,SLOW,EAST,19.699,Non-Engineering,Purusharthas,youtube_aligned,transcript_raw,Transcript,"the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving","the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving","well, this is perhaps a younger lot of a class, and they are doing the project for the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving","well, this is perhaps a younger lot of a class, and they are doing the project for the first time. Because, I find a lot of them have plagiarised, therefore I will not deduct, or make any punishment, for plagiarism. Then, what the teacher tends to be arriving it as, is arriving",0.4857
test,6og4v4zQxt0,322,M,FAST,SOUTH,22.899,Non-Engineering,Soil and Water Assessment Tools (SWAT) Model,youtube_aligned,transcript_raw,Transcript,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,are make developed for in keeping the reservoir construction of a reservoir and how much storage facility with to be given and of that kind of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,are make developed for in keeping the reservoir construction of a reservoir and how much storage facility with to be given and of that kind of category but they there the problem is about the parameters which are being monitored of a particular region whereas when it comes down to the agriculture activities and agriculture or any other land-based activities we do not have enough monitoring stations or the input parameters are not available uniformly everywhere.,0.4902
test,uUzDQA7qJPI,327,M,SLOW,SOUTH,24.661,Engineering,38 PLL(PHASE LOCKED LOOP),youtube_aligned,transcript_raw,Transcript,"that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,","that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,","which is within the capture range, at that instant of time, the waveform is going to look like this and it will be widening here, assuming that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,","which is within the capture range, at that instant of time, the waveform is going to look like this and it will be widening here, assuming that ultimately, let us say the D C should shift in such a manner that it should go from V...V C Q to some other value, which is going to change the frequency to that value. So that value of frequency let it...let us say, is this corresponding to V c final. So,",0.4906
test,x6937JZof3A,150,F,AVG,EAST,23.69,Non-Engineering,Space,youtube_aligned,transcript_raw,Transcript,"extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and","extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and","other sites for instance, in the last lecture when you looked at the body for instance, space to be seen as something extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and","other sites for instance, in the last lecture when you looked at the body for instance, space to be seen as something extra or beyond the physical, that is symbolic, political, sentimental or emotional, identity creating and metaphorical. Now, there are certain themes about space which, which Nayar brings to us in his book on introduction to cultural studies through, through a theorist name Doreen Massey and",0.4889
test,5IhMAUDmlaE,201,M,FAST,NORTH,21.549,Engineering,Piezoelectric Material -- II: Applications,youtube_aligned,transcript_raw,Transcript,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know","extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know","the crystal. And this width can be changed with the better we can say you know like in the better than the micro meter precision, making piezo crystal most important tool for positioning object with the extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more","the crystal. And this width can be changed with the better we can say you know like in the better than the micro meter precision, making piezo crystal most important tool for positioning object with the extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more",0.7
test,wWsl48VLfVY,308,M,FAST,SOUTH,25.561,Non-Engineering,38 Creativity and Managing Innovation Process -II,youtube_aligned,transcript_raw,Transcript,"So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the","So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and be very successful but also look at the cost and the time implications within the","about then you have to see then it could be then used to the managing the work. So the implementing solution into a problem is always becomes a kind of a management issue. So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within","about then you have to see then it could be then used to the managing the work. So the implementing solution into a problem is always becomes a kind of a management issue. So the so it is not enough, good enough to throw up set of ideas but to understand its total implication at the individual level, group level as well as at the organizational level also you have to see historically what influences of where we have done similar things and been very successful but also look at the cost and the time implications within",0.5385
test,BvJXc1DQI-0,272,M,AVG,EAST,23.23,Non-Engineering,Special Techniques II,youtube_aligned,transcript_raw,Transcript,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with","expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with","much greater than anything else in the problem r capital R etcetera. So, these quantities that I have got there we do a binomial expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with","much greater than anything else in the problem r capital R etcetera. So, these quantities that I have got there we do a binomial expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with",0.5
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,youtube_aligned,transcript_raw,Transcript,"addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process","addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process","a loss of stagnation pressure. So, in this case also, P02 will be < P01 because of the increase in entropy due to the heat addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process","a loss of stagnation pressure. So, in this case also, P02 will be < P01 because of the increase in entropy due to the heat addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",0.5
test,Ew5hHweMUkA,49,M,AVG,SOUTH,19.471,Engineering,7 Soil Mechanics,youtube_aligned,transcript_raw,Transcript,"In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.","In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.","Geotechnology and construction is the selection of fill material. So we wanted to select a fill material for constructing embankment or constructing earth dams. In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.","Geotechnology and construction is the selection of fill material. So we wanted to select a fill material for constructing embankment or constructing earth dams. In the case of earth dam, different gradations are required in the different zones. So the selection of fill material is important where the gradation will come into the picture because for certain type of constructions we are required to have well graded materials to contribute to the strength.",0.4898
test,wW1kjrnktDU,160,M,FAST,SOUTH,30.79,Non-Engineering,Risk Management-II,youtube_aligned,transcript_raw,Transcript,"a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some aspect","a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some aspect","will be the performance criteria for the project. The second aspect of the scope is, the detail design for the project is the responsibility of the contractor. So, it is not that once a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some","will be the performance criteria for the project. The second aspect of the scope is, the detail design for the project is the responsibility of the contractor. So, it is not that once a equipment if it is construction contract has been signed, the project sponsor is not you know is completely given all the responsibility for the contractor. Now, the project company in his own interest will have to ensure that some parts of the contract are, you know monitor and they will have to approve some parts of the contract some execution of some",0.5312
