model_a,model_b,diff_pp,ci_lo_pp,ci_hi_pp,p_value,p_holm,significant_holm_0.05
tiny,base,3.57,3.02,4.11,0.0002,0.0072,yes
tiny,small,6.25,5.64,6.86,0.0002,0.0072,yes
tiny,medium,7.79,7.19,8.42,0.0002,0.0072,yes
tiny,large,8.43,7.79,9.07,0.0002,0.0072,yes
tiny,large_v3_turbo,7.65,7.06,8.24,0.0002,0.0072,yes
tiny,parakeet,7.28,6.66,7.92,0.0002,0.0072,yes
tiny,parakeet_ctc,6.07,5.45,6.72,0.0002,0.0072,yes
tiny,qwen3,8.32,7.68,8.95,0.0002,0.0072,yes
base,small,2.68,2.23,3.14,0.0002,0.0072,yes
base,medium,4.23,3.76,4.69,0.0002,0.0072,yes
base,large,4.86,4.36,5.35,0.0002,0.0072,yes
base,large_v3_turbo,4.09,3.62,4.54,0.0002,0.0072,yes
base,parakeet,3.71,3.24,4.21,0.0002,0.0072,yes
base,parakeet_ctc,2.51,2.02,3.01,0.0002,0.0072,yes
base,qwen3,4.75,4.25,5.25,0.0002,0.0072,yes
small,medium,1.54,1.16,1.93,0.0002,0.0072,yes
small,large,2.18,1.78,2.59,0.0002,0.0072,yes
small,large_v3_turbo,1.4,1.05,1.76,0.0002,0.0072,yes
small,parakeet,1.03,0.58,1.5,0.0002,0.0072,yes
small,parakeet_ctc,-0.18,-0.62,0.28,0.439,1.0,no
small,qwen3,2.07,1.63,2.51,0.0002,0.0072,yes
medium,large,0.63,0.32,0.95,0.0002,0.0072,yes
medium,large_v3_turbo,-0.14,-0.46,0.18,0.3888,1.0,no
medium,parakeet,-0.51,-0.91,-0.13,0.0102,0.0612,no
medium,parakeet_ctc,-1.72,-2.14,-1.3,0.0002,0.0072,yes
medium,qwen3,0.52,0.13,0.91,0.011,0.0612,no
large,large_v3_turbo,-0.77,-1.1,-0.45,0.0002,0.0072,yes
large,parakeet,-1.15,-1.51,-0.78,0.0002,0.0072,yes
large,parakeet_ctc,-2.35,-2.75,-1.95,0.0002,0.0072,yes
large,qwen3,-0.11,-0.47,0.25,0.5689,1.0,no
large_v3_turbo,parakeet,-0.37,-0.74,0.02,0.0616,0.2464,no
large_v3_turbo,parakeet_ctc,-1.58,-1.96,-1.19,0.0002,0.0072,yes
large_v3_turbo,qwen3,0.67,0.31,1.02,0.001,0.0072,yes
parakeet,parakeet_ctc,-1.21,-1.54,-0.88,0.0002,0.0072,yes
parakeet,qwen3,1.04,0.67,1.4,0.0002,0.0072,yes
parakeet_ctc,qwen3,2.24,1.89,2.61,0.0002,0.0072,yes
