ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.4511,0.0194,224
gS5iH0QkPHg,25.59,0.5278,0.0206,288
D7Zu1-9kSUg,17.211,0.9743,0.0566,366
rNdMsEHElc4,27.01,0.594,0.022,342
aD_BO4DwxlU,21.94,0.4967,0.0226,261
_A5wRmd2rwI,23.04,0.48,0.0208,355
fGR_qtyRP_I,33.05,0.6436,0.0195,377
5hscXtk6usE,30.291,2.4051,0.0794,363
J_lm2iJ0l0k,27.43,0.9005,0.0328,403
kPnr_57oii4,29.74,0.3477,0.0117,77
hOoGiaUkKpc,25.28,0.4501,0.0178,352
XbUgxPtJuUg,19.66,0.4181,0.0213,234
GOUowwtdcPU,21.16,0.8544,0.0404,383
H1cq5p2nryw,23.09,0.4903,0.0212,242
6lqsHV_2yJc,19.76,0.3149,0.0159,172
f2kikEusCEM,23.459,0.4962,0.0212,325
uTwm3Zv1HfA,25.431,0.4402,0.0173,196
xacD9zJCqZ4,26.68,0.5053,0.0189,350
h47JDhpdYe0,24.081,0.4101,0.017,157
vNNLvowQqoU,23.769,0.4585,0.0193,234
thF6wrlwdTQ,20.33,0.3062,0.0151,125
whCu4Xl3m98,14.58,0.3202,0.022,110
P5nwZQe4QYI,19.92,0.5263,0.0264,377
JH9x87yjoEk,26.319,0.5742,0.0218,342
4ZydYE-0994,24.601,0.4527,0.0184,361
w_ZPOjcxD8U,33.82,0.5804,0.0172,290
1JGSQQRu4fg,12.321,0.3734,0.0303,195
F2NqTIej98Q,28.819,0.5584,0.0194,311
pGu3HxJQF7I,24.49,0.3863,0.0158,255
0zceBXshBzA,22.88,0.4465,0.0195,316
6704d9DDwLo,24.379,0.4258,0.0175,266
VLv1adcoiWo,25.249,0.6728,0.0266,366
dgyPeFemyL8,23.23,1.1013,0.0474,641
IcN9rLzhV3U,26.53,0.4551,0.0172,238
0AuMdY3IyJ8,27.74,0.4489,0.0162,205
pGT6iJ_z5Vs,26.35,0.4688,0.0178,231
Ct2RYsd7blI,24.67,0.4147,0.0168,271
too4A5mo1Pk,22.25,0.4765,0.0214,357
jnQFMdMSRAE,25.319,0.7404,0.0292,249
Z4WvQ152QP8,21.67,0.7443,0.0343,467
fwRFaZnr2WU,24.49,0.4994,0.0204,358
C1XMxZEjP8I,22.65,0.4537,0.02,218
FXEgxrRFVMQ,17.31,0.3385,0.0196,156
4LgvOdyaJ04,23.82,0.5314,0.0223,360
kVr9gGPuThY,20.959,0.333,0.0159,187
d7gzALqU95Y,28.34,0.5324,0.0188,361
trHd9k3WKWg,33.63,0.5353,0.0159,330
zz3cEoeWrUo,20.53,0.4806,0.0234,243
DzF13C0g40A,24.42,0.3382,0.0138,174
jcds3fbVLg0,27.45,0.3354,0.0122,165
djzzZHbUc80,25.36,0.5214,0.0206,318
gxges_uq5lc,23.58,0.4047,0.0172,263
PcQlvbmHDVY,28.38,0.4279,0.0151,267
aGM0r3QsYYU,35.669,0.5226,0.0147,378
p-JPAGGOvjU,22.07,0.3898,0.0177,198
Y03fkk2zdOE,23.7,0.4352,0.0184,259
pLPQGrvV4_g,29.071,0.5637,0.0194,368
lmr4kETnwi0,22.05,0.8295,0.0376,334
7r7rLJqhBBw,19.851,0.7904,0.0398,363
JVdBgP5SD14,29.74,0.5481,0.0184,345
rL47ZBWKRd0,19.65,0.6075,0.0309,370
4vl_r79DBKU,24.459,0.4833,0.0198,310
UfS8-eLsxRA,24.41,0.4999,0.0205,342
qXZ11_ZbxOs,26.8,0.7025,0.0262,268
EayOCWaiRkw,27.8,0.3079,0.0111,179
2LyY4t0Gfvs,34.231,0.5328,0.0156,353
Byf8i1KkBiY,20.381,0.3816,0.0187,182
hric4h80PDc,22.6,0.5203,0.023,312
zVkYmU_CUTs,16.759,0.3897,0.0233,272
LORmHAC_vPo,29.63,0.3526,0.0119,121
DPy4x6ffCrw,18.87,0.4263,0.0226,295
OhERfauZmg0,27.86,0.5586,0.02,315
6aec4K8H9lE,36.23,0.6033,0.0167,315
Rm-APM83TKc,21.98,0.5078,0.0231,299
_Bds8lC3Pog,25.27,0.5998,0.0237,356
o3mpbZ_FRd0,5.34,0.193,0.0361,43
4WM8zLqbEsE,22.081,0.4631,0.021,281
9xvvXx96_CI,26.29,0.3997,0.0152,270
Ok57xBmSU-o,25.721,0.3923,0.0153,234
x-Gn-sxbIVU,23.6,0.5166,0.0219,347
eF5IzBMbQrc,21.29,0.3549,0.0167,164
994ZNi7rSXo,23.59,0.3992,0.0169,268
irudCaBrij0,22.46,0.969,0.0431,276
DWsJ_XUm23s,18.631,0.471,0.0253,270
G0cJFabIo7c,21.23,0.4463,0.021,273
0JJxZ-OSEek,24.23,0.5382,0.0222,375
_h6CSuwWqYg,18.89,0.543,0.0287,324
8v1gUk4Mp2E,29.539,0.6835,0.0231,361
3GANGKHWwL4,22.43,0.4684,0.0209,254
VmnzH3GZiKw,20.709,0.5167,0.025,357
YbxyPM62bmM,22.57,0.3097,0.0137,131
bkzKVsIEjxk,38.81,0.7477,0.0193,369
BEkK73VEjes,29.7,0.5016,0.0169,303
BFBPD4Og4Ts,23.88,0.461,0.0193,302
pu2OzGhv1HI,29.3,0.5004,0.0171,339
ZIHXB0bF7jI,24.0,1.7243,0.0718,809
drt3AtQPQmE,26.901,0.5277,0.0196,309
_HSRZMTQCF4,27.99,0.4423,0.0158,180
_45M-dO99-M,31.5,0.5502,0.0175,325
Vpoi5W6a3lo,17.64,0.4513,0.0256,298
gQ3q2G4bWz4,22.42,0.3186,0.0142,209
aCvceLLrE0k,29.62,0.5093,0.0172,275
KYbmJo4gN8c,16.239,0.4809,0.0296,268
