split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,tiny_aesrc_ft,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did one thousand thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand hundred thousand zero hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred,when did one thousand thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand zero hundred thousand hundred thousand zero hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred thousand hundred,49.1111,75.5957,0.2222,49.3333
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,tiny_aesrc_ft,transcript_raw,gold,adjust direction to,adjust direction to,add just a reaction to,add just a reaction to,1.3333,0.2632,0.3333,1.6667
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_aesrc_ft,transcript_raw,gold,will there be snow in amsterda,will there be snow in amsterda,will your best no ill have stared at her,will your best no ill have stared at her,1.3333,0.7333,0.1667,1.5
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_aesrc_ft,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dodge based jambu bada pao sientar have take away,dodge based jambu bada pao sientar have take away,1.0,0.3111,0.125,1.125
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_aesrc_ft,transcript_raw,gold,decrease speed,decrease speed,the crease speed,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G93639-G93639S2366,AESRC2020-INDIAN-ACCENT-G93639,4.465,INDIAN,tiny_aesrc_ft,transcript_raw,gold,find gorni kramer music collaborations,find gorni kramer music collaborations,fine gournye kremal muryi kodopurations,fine gournye kremal muryi kodopurations,1.0,0.4211,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_aesrc_ft,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karutamutu,favorite karutamutu,1.0,0.1364,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,tiny_aesrc_ft,transcript_raw,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by bennie dick silver man or destroy and core,play songs by bennie dick silver man or destroy and core,0.875,0.2453,0.5,1.375
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_aesrc_ft,transcript_raw,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,keep the next secret in the sink song,keep the next secret in the sink song,0.8333,0.4286,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,tiny_aesrc_ft,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,play wema dada ria ilahi,play wema dada ria ilahi,0.8,0.2963,0.2,1.0
