dataset,model,model_display,batch_size,status,rtfx_audio_s_per_s,utterances_per_s,completion_latency_p95_s,gpu_util_mean_pct,device_memory_peak_mib,corpus_wer_pct,wer_delta_pp_vs_batch1,empty_hypotheses,quality_valid,gate_reject_reason,sensitivity_valid,is_selected
tie,tiny,Whisper Tiny,1,ok,77.093,3.322,0.3848,25.8,645.0,20.2284,0.0,0,True,,True,False
tie,tiny,Whisper Tiny,2,ok,111.254,4.795,0.4833,24.44,649.0,20.2134,-0.015,0,True,,True,False
tie,tiny,Whisper Tiny,4,ok,157.212,6.775,0.6523,19.79,703.0,20.1833,-0.0451,0,True,,True,False
tie,tiny,Whisper Tiny,8,ok,204.429,8.81,0.945,15.37,825.0,20.2209,-0.0075,0,True,,True,False
tie,tiny,Whisper Tiny,16,ok,243.661,10.501,2.739,11.18,1067.0,20.2021,-0.0263,0,True,,True,False
tie,tiny,Whisper Tiny,32,ok,267.288,11.519,4.0016,8.21,1545.0,20.2134,-0.015,0,True,,True,False
tie,tiny,Whisper Tiny,64,ok,283.931,12.237,6.3308,6.99,2493.0,20.2246,-0.0038,0,True,,True,False
tie,tiny,Whisper Tiny,128,ok,291.156,12.548,11.061,7.78,4387.0,20.2096,-0.0188,0,True,,True,True
tie,base,Whisper Base,1,ok,64.408,2.776,0.472,27.94,723.0,17.1331,0.0,0,True,,True,False
tie,base,Whisper Base,2,ok,95.532,4.117,0.5778,26.31,743.0,17.1444,0.0113,0,True,,True,False
tie,base,Whisper Base,4,ok,138.957,5.989,0.7457,22.24,811.0,17.1519,0.0188,0,True,,True,False
tie,base,Whisper Base,8,ok,187.05,8.061,1.0734,15.94,973.0,17.1556,0.0225,0,True,,True,False
tie,base,Whisper Base,16,ok,231.945,9.996,1.6461,12.57,1289.0,17.1481,0.015,0,True,,True,False
tie,base,Whisper Base,32,ok,260.352,11.221,4.5594,10.36,1919.0,17.1556,0.0225,0,True,,True,False
tie,base,Whisper Base,64,ok,280.926,12.107,6.9073,9.7,3173.0,17.1368,0.0037,0,True,,True,False
tie,base,Whisper Base,128,ok,289.366,12.471,11.9203,10.1,5673.0,17.1669,0.0338,0,True,,True,True
tie,small,Whisper Small,1,ok,41.504,1.789,0.7511,28.8,1091.0,13.403,0.0,0,True,,True,False
tie,small,Whisper Small,2,ok,64.76,2.791,0.8871,30.06,1177.0,13.448,0.045,0,True,,True,False
tie,small,Whisper Small,4,ok,101.545,4.376,1.0528,27.65,1311.0,13.418,0.015,0,True,,True,False
tie,small,Whisper Small,8,ok,147.383,6.352,1.4348,22.45,1571.0,13.4405,0.0375,0,True,,True,False
tie,small,Whisper Small,16,ok,198.664,8.562,2.073,17.98,2259.0,13.4105,0.0075,0,True,,True,False
tie,small,Whisper Small,32,ok,232.943,10.039,3.4458,15.99,3627.0,13.3954,-0.0076,0,True,,True,False
tie,small,Whisper Small,64,ok,263.466,11.355,5.9068,14.39,6345.0,13.4067,0.0037,0,True,,True,False
tie,small,Whisper Small,128,ok,279.1,12.029,10.8749,13.84,11763.0,13.4405,0.0375,0,True,,True,True
tie,medium,Whisper Medium,1,ok,24.251,1.045,1.2893,31.04,2177.0,12.5315,0.0,0,True,,True,False
tie,medium,Whisper Medium,2,ok,39.364,1.696,1.4666,34.28,2371.0,12.5127,-0.0188,0,True,,True,False
tie,medium,Whisper Medium,4,ok,65.121,2.807,1.6632,30.84,2795.0,12.5052,-0.0263,0,True,,True,False
tie,medium,Whisper Medium,8,ok,102.729,4.427,1.9892,29.27,3901.0,12.5315,0.0,0,True,,True,False
tie,medium,Whisper Medium,16,ok,148.742,6.41,2.7669,30.4,6015.0,12.5089,-0.0226,0,True,,True,False
tie,medium,Whisper Medium,32,ok,186.814,8.051,4.2176,28.54,10079.0,12.5014,-0.0301,0,True,,True,False
tie,medium,Whisper Medium,64,ok,222.406,9.585,7.0445,28.91,18195.0,12.5202,-0.0113,0,True,,True,False
tie,medium,Whisper Medium,128,ok,235.633,10.155,12.9078,28.62,34419.0,12.5202,-0.0113,0,True,,True,True
tie,large,Whisper Large-v3,1,ok,18.902,0.815,1.669,35.07,4047.0,12.986,0.0,0,True,,True,False
tie,large,Whisper Large-v3,2,ok,31.233,1.346,1.8525,35.26,4411.0,12.9897,0.0037,0,True,,True,False
tie,large,Whisper Large-v3,4,ok,52.509,2.263,2.0714,34.22,4993.0,13.016,0.03,0,True,,True,False
tie,large,Whisper Large-v3,8,ok,76.446,3.295,2.6878,32.79,6773.0,12.9672,-0.0188,0,True,,True,False
tie,large,Whisper Large-v3,16,ok,118.224,5.095,3.4954,36.68,10321.0,12.9672,-0.0188,0,True,,True,False
tie,large,Whisper Large-v3,32,ok,156.535,6.746,5.1198,40.47,17311.0,12.9747,-0.0113,0,True,,True,False
