split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,,INDIAN,parakeet_ctc,transcript_raw,gold,skip chitrahaar,skip chitrahaar,cip chitrahar,cip chitrahar,1.0,0.2,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,,INDIAN,parakeet_ctc,transcript_raw,gold,uninstall choices,uninstall choices,and installed choices,and installed choices,1.0,0.2941,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,,INDIAN,parakeet_ctc,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karutamoto,favorite karutamoto,1.0,0.2273,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,,INDIAN,parakeet_ctc,transcript_raw,gold,skip apni mitti,skip apni mitti,escape eonymity,escape eonymity,1.0,0.6667,0.0,0.6667
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,,INDIAN,parakeet_ctc,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,play ramada daryia ilahi,play ramada daryia ilahi,0.8,0.1852,0.2,0.8
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,,INDIAN,parakeet_ctc,transcript_raw,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,skip the next to wind that sing song,skip the next to wind that sing song,0.6667,0.2857,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,,INDIAN,parakeet_ctc,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did vandalla assume this eurohan first debate,when did vandalla assume this eurohan first debate,0.6667,0.383,0.3333,0.8889
test,AESRC2020-INDIAN-ACCENT-G90144-G90144S3370,AESRC2020-INDIAN-ACCENT-G90144,,INDIAN,parakeet_ctc,transcript_raw,gold,stop cleaning anymore,stop cleaning anymore,stop cleaning any more,stop cleaning any more,0.6667,0.0476,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,,INDIAN,parakeet_ctc,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dutch best jumbo baraa center have take away,dutch best jumbo baraa center have take away,0.625,0.2222,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,,INDIAN,parakeet_ctc,transcript_raw,gold,lay the prince ascetic next,lay the prince ascetic next,play the prince as ketics next,play the prince as ketics next,0.6,0.1481,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G12093-G12093S2365,AESRC2020-INDIAN-ACCENT-G12093,,INDIAN,parakeet_ctc,transcript_raw,gold,what is zaika darbar speciality,what is zaika darbar speciality,what is zycaar bar's speciality,what is zycaar bar s speciality,0.6,0.2581,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G53668-G53668S2365,AESRC2020-INDIAN-ACCENT-G53668,,INDIAN,parakeet_ctc,transcript_raw,gold,switch to malgudi subha songs,switch to malgudi subha songs,switch to marigori shubha song,switch to marigori shubha song,0.6,0.2069,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,,INDIAN,parakeet_ctc,transcript_raw,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does shri gatrip hold an ally,how many branches does shri gatrip hold an ally,0.5714,0.2391,0.7143,1.2857
test,AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,AESRC2020-INDIAN-ACCENT-G03086,,INDIAN,parakeet_ctc,transcript_raw,gold,remove shows similar to chakravartin ashoka samrat,remove shows similar to chakravartin ashoka samrat,remove shos similar to chakrawatin ashosam rat,remove shos similar to chakrawatin ashosam rat,0.5714,0.14,0.4286,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,,INDIAN,parakeet_ctc,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,singnds the song to every day we lead,singnds the song to every day we lead,0.5714,0.2941,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2354,AESRC2020-INDIAN-ACCENT-G32681,,INDIAN,parakeet_ctc,transcript_raw,gold,is there free wifi at vishnu hotel,is there free wifi at vishnu hotel,is there free wii with no water,is there free wii with no water,0.5714,0.3235,0.4286,1.0
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2365,AESRC2020-INDIAN-ACCENT-G43652,,INDIAN,parakeet_ctc,transcript_raw,gold,what is friends fast food restaurant speciality,what is friends fast food restaurant speciality,what is fn's fast food restaurant a specialty,what is fn s fast food restaurant a specialty,0.5714,0.1489,0.7143,1.2857
test,AESRC2020-INDIAN-ACCENT-G23324-G23324S2354,AESRC2020-INDIAN-ACCENT-G23324,,INDIAN,parakeet_ctc,transcript_raw,gold,is there a warranty on gillette cartridges venus blades,is there a warranty on gillette cartridges venus blades,is there a baranty onxillate cartidase venous blades,is there a baranty onxillate cartidase venous blades,0.5556,0.2,0.4444,0.8889
test,AESRC2020-INDIAN-ACCENT-G23372-G23372S2354,AESRC2020-INDIAN-ACCENT-G23372,,INDIAN,parakeet_ctc,transcript_raw,gold,restart this episode of yahan main ghar ghar kheli,restart this episode of yahan main ghar ghar kheli,restart this episode of yhamed gherher kelly,restart this episode of yhamed gherher kelly,0.5556,0.26,0.5,0.7778
test,AESRC2020-INDIAN-ACCENT-G53371-G53371S2354,AESRC2020-INDIAN-ACCENT-G53371,,INDIAN,parakeet_ctc,transcript_raw,gold,restart this episode of rukawat ke liye khed hai,restart this episode of rukawat ke liye khed hai,restart this episode of recovered killer heye,restart this episode of recovered killer heye,0.5556,0.3958,0.4444,0.7778
