split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,VVTFxiwiWB8,319,M,SLOW,EAST,61.059,Engineering,Pollution Modelling-Surface Water(Contd...),medium_ft,transcript_raw,gold,"This is say biochemical oxygen demand, biochemical, biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living waste or living organisms. So, we can see this you know waste or living organism, we can observe that in this biochemical oxygen, biological oxygen demand would include",this is say biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that in this biochemical oxygen biological oxygen demand would include,"is biochemical oxygen demand, biochemical, biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living, waste or living organisms. So, we can see this you know waste or living organism, we can observe that you know this biochemical oxygen, biological oxygen demand would include this",is biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that you know this biochemical oxygen biological oxygen demand would include this,6.1897,6.8567,0.9615,7.1207
test,RbuSM2lRW_o,187,F,AVG,WEST,33.69,Non-Engineering,Tutorial 2,medium_ft,transcript_raw,gold,functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square now when we take these 3 functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a 1 a 2 and then we determine,functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square now when we take these 3 functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a 1 a 2 and then we determine,"of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1, f x is equal to x and f x is equal to x square, we will get three functions f x is equal to 1, f x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 8, a 9, a 10, a 11, a 12, a 13, a 14, a 15, a 16, a 16, a 16, a 17, a 17, a 18, a 18, a 19, a 19, a 20, a 20, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a 21, a",of the form a 0 plus a 1 x plus a 2 x square now when we take these three functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get three functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get three equations in three unknowns a 0 a 1 a 2 a 3 a 4 a 5 a 6 a 7 a 8 a 9 a 10 a 11 a 12 a 13 a 14 a 15 a 16 a 16 a 16 a 17 a 17 a 18 a 18 a 19 a 19 a 20 a 20 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a 21 a,3.413,2.1309,0.7105,3.75
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,medium_ft,transcript_raw,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n minus 1 minus 2 j so f is 3 into 4 minus 2 into 5 which,f which we have seen c times n minus 1 minus 2j sorry this is I made a mistake here j2 is 1 but j2 is 2j2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n minus 1 minus 2j sorry this is i made a mistake here j2 is 1 but j2 is 2j2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.4167,1.4302,0.9412,2.3333
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium_ft,transcript_raw,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by, so it is h square by. So, it was 3 factorial and that multiplied by 2. So, that it becomes 3. And divided by 2. And divided by 2, yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 and divided by 2 yes,1.25,1.1325,0.6471,1.6
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),medium_ft,transcript_raw,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"rate could be something like, well 2 people arrive per minute. So, that is 2 and I want to ask the question, what is the probability 0 people will arrive over the next minute. So, I would say on average 2 people arrive at the bus stop k is that 0. So, I will put I will substitute k with",rate could be something like well 2 people arrive per minute so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 so i will put i will substitute k with,1.1875,0.769,0.1176,1.25
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,medium_ft,transcript_raw,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),medium_ft,transcript_raw,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,much higher compared to the somewhat and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bed manually. So it is a labor intensive process.,much higher compared to the somewhat and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process,0.9643,0.697,0.2857,1.1071
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,medium_ft,transcript_raw,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won’t say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, as many number of processors as you need, which means it is valid for single processor to machine of even millions of processors. Yes, right. So, one is the amount of resources, how much memory I have, how much local versus odd shared",i won t say assumption but it is an abstraction we will talk about how it affects our analysis sir as many number of processors as you need which means it is valid for single processor to machine of even millions of processors yes right so one is the amount of resources how much memory i have how much local versus odd shared,0.9429,0.8427,0.8667,1.8
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,medium_ft,transcript_raw,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n plus 1 column is nothing but the b has been moved to n plus 1 that is you have a matrix and then you have b vector instead of putting b here i have put b here,"you have a numerical methods problem generally we work on shared memory model. But people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",you have a numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,0.9268,0.8588,0.3214,0.9024
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,medium_ft,transcript_raw,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of Bn+ in the solution. So, rn minus Bn+ resin means activity of Bn+ in the resin and Bn+1 s means activity of Bn+ in the",by what is the concentration of bn in the solution so rn minus bn resin means activity of bn in the resin and bn 1 s means activity of bn in the,0.9149,0.7117,0.1667,0.6809
