ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.2022,0.0697,31
281474976888909_f3258_chunk_7.wav,7.414,0.236,0.0318,55
281474976894795_f2258_chunk_11.wav,12.681,0.3323,0.0262,113
281474976899564_f2428_chunk_0.wav,0.263,0.1713,0.6504,4
281474976885777_f1381_chunk_0.wav,2.889,0.1999,0.0692,41
281474976893835_f569_chunk_0.wav,0.862,0.1459,0.1693,8
281474976895412_f1595_chunk_0.wav,0.312,0.1453,0.4662,2
281474976901586_f1451_chunk_0.wav,0.678,0.1582,0.2335,4
281474976892134_f1122_chunk_0.wav,3.074,0.1884,0.0613,42
281474976902183_f1898_chunk_0.wav,3.165,0.2167,0.0684,47
281474976889207_f2377_chunk_2.wav,4.053,0.1834,0.0452,12
281474976887817_f1763_chunk_0.wav,8.107,0.2925,0.0361,126
281474976895868_f659_chunk_0.wav,0.576,0.2032,0.353,2
281474976901152_f2107_chunk_3.wav,0.75,0.2141,0.2852,3
281474976906745_f2447_chunk_1.wav,3.633,0.2273,0.0626,50
281474976888218_f2769_chunk_0.wav,6.191,0.2384,0.0385,57
281474976884079_f2150_chunk_1.wav,8.867,0.326,0.0368,118
281474976897522_f1981_chunk_9.wav,1.3,0.1983,0.1525,10
281474976888160_f3202_chunk_5.wav,4.783,0.2609,0.0545,70
281474976894896_f456_chunk_0.wav,4.31,0.2919,0.0677,74
281474976893750_f2373_chunk_0.wav,6.392,0.2638,0.0413,76
281474976893843_f2130_chunk_4.wav,10.617,0.2985,0.0281,102
281474976893153_f2820_chunk_0.wav,2.839,0.24,0.0845,46
281474976893017_f2672_chunk_0.wav,5.479,0.2446,0.0446,83
281474976894273_f3279_chunk_17.wav,8.455,0.2785,0.0329,110
281474976897290_f1204_chunk_0.wav,0.645,0.1554,0.241,5
281474976897454_f1975_chunk_4.wav,7.72,0.2156,0.0279,74
281474976900333_f1733_chunk_4.wav,0.71,0.1633,0.2301,10
281474976887025_f36_chunk_0.wav,3.393,0.2039,0.0601,38
281474976901454_f524_chunk_0.wav,0.801,0.1819,0.2271,3
281474976895208_f2923_chunk_0.wav,7.571,0.2985,0.0394,108
281474976884627_f3339_chunk_2.wav,2.811,0.2466,0.0877,43
281474976889221_f3229_chunk_0.wav,5.4,0.2837,0.0525,90
281474976901164_f2275_chunk_6.wav,1.103,0.1943,0.1761,10
281474976899764_f2324_chunk_0.wav,0.205,0.2049,1.0007,10
281474976903187_f2699_chunk_1.wav,2.356,0.1923,0.0817,32
281474976885801_f2235_chunk_21.wav,4.75,0.2349,0.0495,56
281474976884085_f3239_chunk_23.wav,5.48,0.234,0.0427,62
281474976901153_f1889_chunk_7.wav,2.522,0.2081,0.0825,37
281474976893848_f3250_chunk_9.wav,9.65,0.2571,0.0266,98
281474976893172_f2123_chunk_3.wav,6.109,0.2854,0.0467,109
281474976885800_f1683_chunk_9.wav,5.519,0.2512,0.0455,104
281474976884044_f1919_chunk_1.wav,3.714,0.1775,0.0478,19
281474976887807_f3177_chunk_0.wav,5.056,0.2474,0.0489,52
281474976894795_f2258_chunk_22.wav,14.101,0.4042,0.0287,139
281474976892193_f1802_chunk_0.wav,0.608,0.191,0.3141,3
281474976898621_f2032_chunk_0.wav,1.785,0.2115,0.1185,28
281474976894268_f1720_chunk_0.wav,1.26,0.2165,0.1718,27
281474976896999_f1689_chunk_1.wav,2.336,0.2305,0.0987,39
281474976886817_f1675_chunk_1.wav,0.62,0.1745,0.2813,9
281474976892333_f3244_chunk_6.wav,4.26,0.2311,0.0542,36
281474976884637_f2218_chunk_6.wav,4.96,0.2548,0.0514,50
281474976899581_f1864_chunk_5.wav,2.436,0.2169,0.089,21
281474976899757_f1404_chunk_0.wav,8.84,0.31,0.0351,72
281474976893846_f3264_chunk_3.wav,13.0,0.3163,0.0243,103
281474976900339_f2186_chunk_1.wav,7.66,0.2699,0.0352,130
281474976893734_f2994_chunk_0.wav,1.732,0.2006,0.1158,31
281474976887640_f478_chunk_0.wav,3.769,0.2425,0.0643,50
281474976884126_f3274_chunk_5.wav,7.408,0.2602,0.0351,74
281474976934186_f3139_chunk_1.wav,6.02,0.228,0.0379,54
281474976893724_f3273_chunk_4.wav,7.036,0.2583,0.0367,100
281474976884131_f3182_chunk_6.wav,10.645,0.2426,0.0228,86
281474976885510_f2092_chunk_3.wav,0.663,0.1924,0.2903,6
281474976893915_f2228_chunk_11.wav,5.365,0.2409,0.0449,81
281474976899939_f968_chunk_0.wav,0.159,0.2081,1.3107,4
281474976884229_f2757_chunk_0.wav,8.398,0.254,0.0302,118
281474976894795_f2258_chunk_10.wav,9.13,0.3622,0.0397,114
281474976884478_f2191_chunk_13.wav,2.04,0.2191,0.1074,31
281474976890741_f3144_chunk_0.wav,5.229,0.2515,0.0481,34
281474976888961_f1990_chunk_0.wav,17.474,0.4066,0.0233,218
281474976896668_f987_chunk_0.wav,13.922,0.2694,0.0194,70
281474976883938_f1692_chunk_3.wav,0.772,0.1733,0.2245,9
281474976887081_f2283_chunk_5.wav,0.635,0.1632,0.2569,5
281474976903907_f3262_chunk_4.wav,8.997,0.2691,0.0299,78
281474976888919_f3231_chunk_13.wav,10.92,0.2839,0.026,89
281474976885801_f2235_chunk_31.wav,3.833,0.2111,0.0551,32
281474976897079_f2874_chunk_0.wav,1.505,0.1995,0.1326,18
281474976900647_f780_chunk_0.wav,0.776,0.1582,0.204,7
281474976896669_f986_chunk_0.wav,0.459,0.1522,0.3315,5
281474976899969_f3240_chunk_0.wav,7.826,0.2529,0.0323,98
281474976888156_f2040_chunk_8.wav,1.406,0.164,0.1167,7
281474976883875_f917_chunk_0.wav,1.915,0.1876,0.0979,34
281474976897862_f2802_chunk_1.wav,6.502,0.2107,0.0324,31
281474976886889_f844_chunk_0.wav,6.238,0.2481,0.0398,77
281474976898096_f1469_chunk_0.wav,0.511,0.1665,0.3259,4
281474976888231_f1490_chunk_0.wav,3.776,0.1982,0.0525,39
281474976902188_f2127_chunk_3.wav,1.333,0.1755,0.1317,18
281474976895294_f717_chunk_0.wav,4.078,0.2173,0.0533,56
281474976888909_f3258_chunk_23.wav,10.803,0.2535,0.0235,77
281474976884085_f3239_chunk_34.wav,4.88,0.2181,0.0447,68
281474976894794_f3270_chunk_8.wav,6.859,0.2291,0.0334,65
281474976887171_f3278_chunk_8.wav,9.48,0.2296,0.0242,80
281474976898109_f1467_chunk_0.wav,0.566,0.1686,0.298,8
281474976887080_f3201_chunk_1.wav,6.12,0.293,0.0479,82
281474976894271_f3141_chunk_13.wav,1.34,0.2749,0.2052,20
281474976887082_f3312_chunk_0.wav,6.168,0.2625,0.0425,89
281474976884470_f3243_chunk_8.wav,3.16,0.2289,0.0725,38
281474976899792_f1793_chunk_4.wav,1.589,0.2527,0.159,16
281474976896155_f453_chunk_0.wav,3.969,0.2468,0.0622,39
281474976893848_f3250_chunk_3.wav,9.45,0.3344,0.0354,97
281474976886870_f3336_chunk_0.wav,5.56,0.3305,0.0594,87
281474976893174_f1860_chunk_2.wav,1.69,0.2052,0.1214,29
281474976884085_f3239_chunk_3.wav,2.147,0.207,0.0964,29
281474976925450_f2431_chunk_0.wav,1.862,0.2254,0.1211,24
281474976887150_f2645_chunk_0.wav,3.185,0.2215,0.0695,51
281474976887660_f3286_chunk_1.wav,7.636,0.2795,0.0366,83
