split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976909238_f2866_chunk_1.wav,,4.55175,Female,45-60,Punjabi,parakeet_ctc,transcript_raw,gold,377138354339 ?,377138354339,three double seven one three eight three five four three three nine,three double seven one three eight three five four three three nine,12.0,5.5833,0.0,12.0
test,281474976887155_f2742_chunk_3.wav,,4.4100625,Female,18-30,Malayalam,parakeet_ctc,transcript_raw,gold,846916497384,846916497384,eight four six nine one six four nine seven three eight four,eight four six nine one six four nine seven three eight four,12.0,5.0,0.0,12.0
test,281474976889207_f2377_chunk_2.wav,,4.053375,Female,30-45,Urdu,parakeet_ctc,transcript_raw,gold,227136543962,227136543962,two two seven one three six five four three nine six two,two two seven one three six five four three nine six two,12.0,4.6667,0.0,12.0
test,281474976887069_f2936_chunk_1.wav,,6.1138125,Female,30-45,Gujarati,parakeet_ctc,transcript_raw,gold,76486997868,76486997868,seven six four eight six nine nine seven eight six eight,seven six four eight six nine nine seven eight six eight,11.0,5.0909,0.0,11.0
test,281474976909239_f2867_chunk_1.wav,,5.020625,Female,45-60,Punjabi,parakeet_ctc,transcript_raw,gold,83354714040,83354714040,eight double three five four seven one four zero four zero,eight double three five four seven one four zero four zero,11.0,5.2727,0.0,11.0
test,281474976893088_f2717_chunk_1.wav,,4.2948125,Male,60+,Marathi,parakeet_ctc,transcript_raw,gold,81043575275,81043575275,eight one zero four three five seven five two seven five,eight one zero four three five seven five two seven five,11.0,5.0909,0.0,11.0
test,281474976887155_f2742_chunk_1.wav,,5.0353125,Female,18-30,Malayalam,parakeet_ctc,transcript_raw,gold,85740051518,85740051518,eight five seven four zero zero five one five one eight,eight five seven four zero zero five one five one eight,11.0,5.0,0.0,11.0
test,281474976901124_f2798_chunk_1.wav,,4.21175,Female,45-60,Maithili,parakeet_ctc,transcript_raw,gold,96131179914,96131179914,nine six one three one one seven nine nine one four,nine six one three one one seven nine nine one four,11.0,4.6364,0.0,11.0
test,281474976888938_f2386_chunk_2.wav,,7.4673125,Female,18-30,Konkani,parakeet_ctc,transcript_raw,gold,76899233753@upi,76899233753 upi,seven six eight nine nine two three three seven five three at the rate of u p i,seven six eight nine nine two three three seven five three at the rate of u p i,9.0,5.0,0.0,9.0
test,281474976896986_f1672_chunk_4.wav,,1.951875,Male,30-45,Bengali,parakeet_ctc,transcript_raw,gold,9522,9522,nine thousand five hundred and twenty two,nine thousand five hundred and twenty two,7.0,10.25,0.0,7.0
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,parakeet_ctc,transcript_raw,gold,@upi,upi,at the rate of u p i,at the rate of u p i,7.0,5.6667,0.0,7.0
test,281474976894934_f1676_chunk_0.wav,,2.524625,Female,30-45,Malayalam,parakeet_ctc,transcript_raw,gold,7123,7123,seven thousand one hundred and twenty three,seven thousand one hundred and twenty three,7.0,10.75,0.0,7.0
test,281474976884349_f1690_chunk_0.wav,,0.85275,Female,18-30,Tamil,parakeet_ctc,transcript_raw,gold,Tiruvannamalai,tiruvannamalai,did it run on the late,did it run on the late,6.0,1.1429,0.0,6.0
test,281474976895424_f1808_chunk_4.wav,,2.206875,Male,18-30,Konkani,parakeet_ctc,transcript_raw,gold,9515,9515,nine thousand five hundred and fifteen,nine thousand five hundred and fifteen,6.0,9.5,0.0,6.0
test,281474976885094_f2098_chunk_2.wav,,1.9365,Male,18-30,Assamese,parakeet_ctc,transcript_raw,gold,9523,9523,nine thousand five hundred twenty three,nine thousand five hundred twenty three,6.0,9.75,0.0,6.0
test,281474976895424_f1808_chunk_3.wav,,2.0451875,Male,18-30,Konkani,parakeet_ctc,transcript_raw,gold,1210,1210,one thousand two hundred and ten,one thousand two hundred and ten,6.0,8.0,0.0,6.0
test,281474976888943_f2387_chunk_1.wav,,3.040875,Female,18-30,Konkani,parakeet_ctc,transcript_raw,gold,673694,673694,six seven three six nine four,six seven three six nine four,6.0,4.8333,0.0,6.0
test,281474976895570_f1741_chunk_3.wav,,3.241125,Female,18-30,Malayalam,parakeet_ctc,transcript_raw,gold,9995,9995,nine thousand nine hundred ninety five,nine thousand nine hundred ninety five,6.0,9.5,0.0,6.0
test,281474976896986_f1672_chunk_3.wav,,1.7604375,Male,30-45,Bengali,parakeet_ctc,transcript_raw,gold,2627,2627,two thousand six hundred twenty seven,two thousand six hundred twenty seven,6.0,9.25,0.0,6.0
test,281474976899336_f3108_chunk_1.wav,,3.6993125,Female,30-45,Marathi,parakeet_ctc,transcript_raw,gold,999,999,nine hundred and ninety nine,nine hundred and ninety nine,5.0,9.3333,0.0,5.0
