split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,base,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite Karuta Meyutu?,favorite karuta meyutu,1.5,0.2727,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,base,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,And in wonderful olives they cumin 1 stone be it...,and in wonderful olives they cumin one stone be it,1.1111,0.7872,0.0,1.1111
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,base,transcript_clean,gold,laundry reminder,laundry reminder,Lawn re-reminder.,lawn re reminder,1.0,0.1875,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,base,transcript_clean,gold,stop playing the mill,stop playing the mill,So stopped playing metなんだ,so stopped playing metなんだ,1.0,0.619,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G03161-G03161S2365,AESRC2020-INDIAN-ACCENT-G03161,3.217,INDIAN,base,transcript_clean,gold,add sajan ghar jaana hai to up next,add sajan ghar jaana hai to up next,Ed Saajan has to go home to the next house.,ed saajan has to go home to the next house,1.0,0.6286,0.25,1.25
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,base,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,,,1.0,1.0,0.0,0.0
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,base,transcript_clean,gold,uninstall choices,uninstall choices,and install choices.,and install choices,1.0,0.1765,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,base,transcript_clean,gold,is de souza resorts adult only,is de souza resorts adult only,"If this is your results, add it only.",if this is your results add it only,1.0,0.5,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,base,transcript_clean,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,has to song one or all one in words.,has to song one or all one in words,0.875,0.4444,0.25,1.125
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,base,transcript_clean,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,What's key week I am enterprise is contact number.,what s key week i am enterprise is contact number,0.8571,0.2,0.5714,1.4286
