model_a,model_b,diff_pp,ci_lo_pp,ci_hi_pp,p_value,p_holm,significant_holm_0.05
tiny,base,1.91,1.35,2.46,0.0002,0.0072,yes
tiny,small,3.38,2.66,4.11,0.0002,0.0072,yes
tiny,medium,4.67,3.99,5.36,0.0002,0.0072,yes
tiny,large,3.5,2.51,4.46,0.0002,0.0072,yes
tiny,large_v3_turbo,1.46,0.23,2.6,0.022,0.22,no
tiny,parakeet,3.84,3.21,4.48,0.0002,0.0072,yes
tiny,parakeet_ctc,2.99,2.42,3.57,0.0002,0.0072,yes
tiny,qwen3,2.77,2.11,3.44,0.0002,0.0072,yes
base,small,1.47,0.76,2.2,0.0004,0.0076,yes
base,medium,2.77,2.11,3.43,0.0002,0.0072,yes
base,large,1.59,0.69,2.46,0.0006,0.0108,yes
base,large_v3_turbo,-0.45,-1.64,0.65,0.4496,1.0,no
base,parakeet,1.93,1.36,2.51,0.0002,0.0072,yes
base,parakeet_ctc,1.08,0.55,1.63,0.0002,0.0072,yes
base,qwen3,0.86,0.29,1.46,0.0048,0.0576,no
small,medium,1.29,0.74,1.89,0.0002,0.0072,yes
small,large,0.12,-0.66,0.86,0.7291,1.0,no
small,large_v3_turbo,-1.92,-3.03,-0.89,0.0002,0.0072,yes
small,parakeet,0.46,-0.15,1.08,0.1412,0.9884,no
small,parakeet_ctc,-0.39,-1.0,0.22,0.2088,1.0,no
small,qwen3,-0.61,-1.28,0.08,0.0858,0.7722,no
medium,large,-1.17,-1.94,-0.46,0.0012,0.0192,yes
medium,large_v3_turbo,-3.22,-4.34,-2.21,0.0002,0.0072,yes
medium,parakeet,-0.84,-1.37,-0.31,0.0022,0.0308,yes
medium,parakeet_ctc,-1.69,-2.22,-1.14,0.0002,0.0072,yes
medium,qwen3,-1.9,-2.49,-1.31,0.0002,0.0072,yes
large,large_v3_turbo,-2.04,-3.25,-0.88,0.0012,0.0192,yes
large,parakeet,0.34,-0.44,1.19,0.4108,1.0,no
large,parakeet_ctc,-0.51,-1.32,0.36,0.2364,1.0,no
large,qwen3,-0.73,-1.56,0.17,0.1072,0.8576,no
large_v3_turbo,parakeet,2.38,1.33,3.55,0.0002,0.0072,yes
large_v3_turbo,parakeet_ctc,1.53,0.5,2.67,0.0024,0.0312,yes
large_v3_turbo,qwen3,1.31,0.27,2.46,0.0124,0.1364,no
parakeet,parakeet_ctc,-0.85,-1.26,-0.43,0.0006,0.0108,yes
parakeet,qwen3,-1.07,-1.62,-0.53,0.0002,0.0072,yes
parakeet_ctc,qwen3,-0.22,-0.68,0.23,0.349,1.0,no
