split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,zz3cEoeWrUo,206,M,FAST,SOUTH,20.53,Engineering,Analysis of Gas Generator and Staged Combustion Cycles and Introduction to Injectors,youtube_aligned,hf_clean,Normalised_Transcript,of the separated flow lingers on and c d decreases it never comes back to this that means even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward and what happens let us let us try to put this down,of the separated flow lingers on and c d decreases it never comes back to this that means even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward and what happens let us let us try to put this down,"very well designed you find the jets of water come like this as laminar streams. If it is not very well designed, you find some drop drops of water coming like this, may be at the same value of velocity. We would like to have an injector which is something like a shower head, but which is able to produce droplets and this is one type of injector. And this type of injector is known as a shower head injector. Let us",very well designed you find the jets of water come like this as laminar streams if it is not very well designed you find some drop drops of water coming like this may be at the same value of velocity we would like to have an injector which is something like a shower head but which is able to produce droplets and this is one type of injector and this type of injector is known as a shower head injector let us,1.3091
test,coLQ8EfZTQI,161,M,SLOW,SOUTH,25.34,Engineering,Dimensional Cutting Stock Problem(Contd),youtube_aligned,hf_clean,Normalised_Transcript,we get theta equal to one hundred and twenty minus five . seventy minus five the forth one is the pattern that leaves so this is the pattern that leaves and this pattern is going to be replaced by the pattern zero one zero two the new basis will now become zero zero zero three which is the last pattern will be replaced by one hundred and twenty minus five . seventy minus five,we get theta equal to one hundred and twenty minus five seventy minus five the forth one is the pattern that leaves so this is the pattern that leaves and this pattern is going to be replaced by the pattern zero one zero two the new basis will now become zero zero zero three which is the last pattern will be replaced by one hundred and twenty minus five seventy minus five,"2; this is 251.49 divided by 2; this is actually 251.5 because this is a recurring 0.83333. So, this will become 251.5 divided by 2 which will give us 125.75. We get theta equal to 125.75. The forth one is the pattern that leaves, so this is the pattern that leaves and this pattern is going to be replaced by the pattern 0 1 0 2. The new basis will now become 0 0 0 3, which is the last pattern, will be replaced",two this is two hundred and fifty one point four nine divided by two this is actually two hundred and fifty one point five because this is a recurring zero point eight three three three three so this will become two hundred and fifty one point five divided by two which will give us one hundred and twenty five point seven five we get theta equal to one hundred and twenty five point seven five the forth one is the pattern that leaves so this is the pattern that leaves and this pattern is going to be replaced by the pattern zero one zero two the new basis will now become zero zero zero three which is the last pattern will be replaced,1.0417
test,K55JYbDa5XE,214,M,FAST,WEST,22.671,Engineering,Hydrodynamic Journal Bearings,youtube_aligned,hf_clean,Normalised_Transcript,lot of purposes one s t extensity is going down lesser than we say that zero . five may be recommended fine but that is increasing maximum pressure larger length is giving lesser pressure compared to sorry smaller length is giving larger pressure smaller pressure compared to larger length,lot of purposes one s t extensity is going down lesser than we say that zero five may be recommended fine but that is increasing maximum pressure larger length is giving lesser pressure compared to sorry smaller length is giving larger pressure smaller pressure compared to larger length,"a 0.0117 while in earlier example this coefficient of friction was a lesser than this 0.0086. So, increasing length is not full filling lot of purposes, first extensity is going down lesser than, we say that 0.5 may be recommended fine, but that is increasing maximum pressure larger length is giving lesser pressure compared to sorry smaller length is giving larger pressure, smaller pressure compared to larger",a zero point zero one one seven while in earlier example this coefficient of friction was a lesser than this zero point zero zero eight six so increasing length is not full filling lot of purposes first extensity is going down lesser than we say that zero point five may be recommended fine but that is increasing maximum pressure larger length is giving lesser pressure compared to sorry smaller length is giving larger pressure smaller pressure compared to larger,0.7917
test,4UFmjCPnhsQ,7,M,SLOW,EAST,21.61,Engineering,Adiabatic Flow in ducts with friction,youtube_aligned,hf_clean,Normalised_Transcript,also additional equation we can use so this is our let us say this we will denote as our five t h equation and coming back this is our equation number one this is equation,also additional equation we can use so this is our let us say this we will denote as our five t h equation and coming back this is our equation number one this is equation,"plus gamma M square by two four f d x by D . So, yet this is our fifth equation also additional equation we can use. So, this is our let us say this we will denote as our fifth equation and coming back well this is our equation number one,",plus gamma m square by two four f d x by d so yet this is our fifth equation also additional equation we can use so this is our let us say this we will denote as our fifth equation and coming back well this is our equation number one,0.7429
test,0UMP-SyxYRk,175,M,SLOW,NORTH,30.0,Non-Engineering,"Fundamental theorems on limits, Bolzano-Weiersstrass Theorem",youtube_aligned,hf_clean,Normalised_Transcript,important result because it shows that every bounded sequence of real it may not be a convergence like minus one to the power is not a convergent but it has a bounded convergent subsequence at least one bounded convergent subsequence may be there the proof is based on the previous result suppose x n is a bounded sequence is a bounded,important result because it shows that every bounded sequence of real it may not be a convergence like minus one to the power is not a convergent but it has a bounded convergent subsequence at least one bounded convergent subsequence may be there the proof is based on the previous result suppose x n is a bounded sequence is a bounded,"which is known as the Bolzano Weierstrass theorem. The Bolzano Weierstrass theorem say that what this is a bounded sequence a bounded sequence a bounded sequence of real numbers has a convergent subsequence. So, that is very important result because it shows that every bounded sequence of real it may not be a convergence like minus 1 to the power is not a convergent, but it has a bounded convergent subsequence, at least one bounded convergent subsequence may be there. The proof is based on the previous result. Suppose, x n",which is known as the bolzano weierstrass theorem the bolzano weierstrass theorem say that what this is a bounded sequence a bounded sequence a bounded sequence of real numbers has a convergent subsequence so that is very important result because it shows that every bounded sequence of real it may not be a convergence like minus one to the power is not a convergent but it has a bounded convergent subsequence at least one bounded convergent subsequence may be there the proof is based on the previous result suppose x n,0.7213
test,Zk7u1iDKhCc,175,M,SLOW,NORTH,26.921,Non-Engineering,Improper Integrals,youtube_aligned,hf_clean,Normalised_Transcript,the range of the integration infinite and two n d be the function is unbounded in the,the range of the integration infinite and two n d be the function is unbounded in the,he has introduced the infinite integrals by taking the range of the integration infinite; and second be the function is unbounded in,he has introduced the infinite integrals by taking the range of the integration infinite and second be the function is unbounded in,0.7059
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,youtube_aligned,hf_clean,Normalised_Transcript,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,"a loss of stagnation pressure. So, in this case also, P02 will be < P01 because of the increase in entropy due to the heat addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",a loss of stagnation pressure so in this case also p02 will be p01 because of the increase in entropy due to the heat addition okay we can actually illustrate this much more clearly when we demonstrate the states graphically okay since the entropy increases p02 cannot be equal to p01 p02 has to be p01 so even if you have heat addition in a reversible process even a reversible heat addition process,0.7
test,994ZNi7rSXo,286,M,AVG,EAST,23.59,Engineering,18 Image Enhancement,youtube_aligned,hf_clean,Normalised_Transcript,just previous image that we have shown so this is something in between and the histogram of this particular image shows that most of the pixels of this image have intensity values which are in the middle range and not only that the spade of the intensity values of,just previous image that we have shown so this is something in between and the histogram of this particular image shows that most of the pixels of this image have intensity values which are in the middle range and not only that the spade of the intensity values of,"you find that the intensity values are higher than the intensity values of the first image that you had shown. It is lower than the intensity values of the just previous image that we have shown. So, this is something in between and the histogram of this particular image shows that most of the pixels of this image have intensity values which are in the middle range and not only that, the spade",you find that the intensity values are higher than the intensity values of the first image that you had shown it is lower than the intensity values of the just previous image that we have shown so this is something in between and the histogram of this particular image shows that most of the pixels of this image have intensity values which are in the middle range and not only that the spade,0.6939
test,5IhMAUDmlaE,201,M,FAST,NORTH,21.549,Engineering,Piezoelectric Material -- II: Applications,youtube_aligned,hf_clean,Normalised_Transcript,"extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more than we can say you know",extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching them the higher electrical fields even more than we can say you know,"the crystal. And this width can be changed with the better we can say you know like in the better than the micro meter precision, making piezo crystal most important tool for positioning object with the extreme accuracy, and thus we can use this as the actuators in that. So, when we are talking about the ceramics there are you know like various layers are there in the ceramics. And using these layers thinner than the 100 microns which allow you see reaching them the higher electrical fields, even more",the crystal and this width can be changed with the better we can say you know like in the better than the micro meter precision making piezo crystal most important tool for positioning object with the extreme accuracy and thus we can use this as the actuators in that so when we are talking about the ceramics there are you know like various layers are there in the ceramics and using these layers thinner than the one hundred microns which allow you see reaching them the higher electrical fields even more,0.6885
test,P0MK7sWfs9k,114,M,SLOW,SOUTH,27.85,Engineering,Introduction to DC-DC converter,youtube_aligned,hf_clean,Normalised_Transcript,switching off in the present of inductive loads in the present of resistive load or capacitive loads next to that one then while discussing on the switch is in order to address the issue of switching transitions turn on and turn off the stress on the devices maximum during the turn on and turn off because,switching off in the present of inductive loads in the present of resistive load or capacitive loads next to that one then while discussing on the switch is in order to address the issue of switching transitions turn on and turn off the stress on the devices maximum during the turn on and turn off because,"is present, and the losses are non-zero. These are called the switching losses. So you need to understand the characteristics of the switch, particular switch, during switching ON and switching OFF in the presence of inductive loads, in the presence of resistive loads or capacitive loads- things like that one. Then while discussing on the switch is-in order to address the issue of switching transitions turn on and turn off, the stress on the device is maximum during turn on and turn off, because",is present and the losses are non zero these are called the switching losses so you need to understand the characteristics of the switch particular switch during switching on and switching off in the presence of inductive loads in the presence of resistive loads or capacitive loads things like that one then while discussing on the switch is in order to address the issue of switching transitions turn on and turn off the stress on the device is maximum during turn on and turn off because,0.6786
test,G_JF6vpBjSM,201,M,FAST,NORTH,13.94,Engineering,of Materials,youtube_aligned,hf_clean,Normalised_Transcript,"y sin 2 theta minus half of tau x y cos of 2 theta, because you see we just want to put the symmetricity. So, in the above expression half is there, so as to keep the consistency with the a stress relation, because we know that actually this tau theta was nothing but, equals to sigma",y sin two theta minus half of tau x y cos of two theta because you see we just want to put the symmetricity so in the above expression half is there so as to keep the consistency with the a stress relation because we know that actually this tau theta was nothing but equals to sigma,"but, equals to half of or we can say just put half; because of the symmetricity half of that the sigma theta is nothing but, equals to half of epsilon x minus epsilon y sin 2 theta minus half of tau x y cos of 2 theta, because you see we just want to put the symmetricity. So, in the above expression half is there, so as to keep the consistency with the a stress relation, because we know that actually this tau theta was",but equals to half of or we can say just put half because of the symmetricity half of that the sigma theta is nothing but equals to half of epsilon x minus epsilon y sin two theta minus half of tau x y cos of two theta because you see we just want to put the symmetricity so in the above expression half is there so as to keep the consistency with the a stress relation because we know that actually this tau theta was,0.6667
test,P-JK4hBPBYI,98,M,FAST,EAST,26.11,Engineering,Analysis of Cryptographic Implementations,youtube_aligned,hf_clean,Normalised_Transcript,function you see that in case of des the attacker knows l sixteen that is an attacker because of final permutation is known to everybody so once you have got the ciphertext you can obtain the value of r sixteen and l sixteen so if you know l sixteen and you know r sixteen you can if and if you guess k sixteen then we can compute the output of f and therefore you can compute,function you see that in case of des the attacker knows l sixteen that is an attacker because of final permutation is known to everybody so once you have got the ciphertext you can obtain the value of r sixteen and l sixteen so if you know l sixteen and you know r sixteen you can if and if you guess k sixteen then we can compute the output of f and therefore you can compute,"you can see that they are n sub ciphertext and each of them has got k points. Now, what we do is that, we consider the selection function. Now, how do you calculate the selection function? You see that, in case of DES, the attacker knows L16 that is an attacker because of final permutation is known to everybody. So, once you have got the ciphertext, you can actually obtain the value of R16 and L16. So, if you know L16 and you know R16, you can if and if you guess K16, then we can compute the output of f and therefore, you can compute",you can see that they are n sub ciphertext and each of them has got k points now what we do is that we consider the selection function now how do you calculate the selection function you see that in case of des the attacker knows l16 that is an attacker because of final permutation is known to everybody so once you have got the ciphertext you can actually obtain the value of r16 and l16 so if you know l16 and you know r16 you can if and if you guess k16 then we can compute the output of f and therefore you can compute,0.6316
test,qQcpnmJNluU,301,M,AVG,EAST,23.96,Engineering,1 Introduction,youtube_aligned,hf_clean,Normalised_Transcript,a real number which has infinite possibilities so english text is an example of a digital source digital signal and however though it is not binary in nature it can still be converted to a binary signal by using some form of binary code for every character so for example,a real number which has infinite possibilities so english text is an example of a digital source digital signal and however though it is not binary in nature it can still be converted to a binary signal by using some form of binary code for every character so for example,"unlike an analog source; where every sample is at every point the value may be one of the infinite number of values. So, for example it may be a real number which has infinite possibilities. So, English text is an example of a digital source, digital signal. And, however though it is not binary in nature it can still be converted to a binary signal by using some form of binary code for every character.",unlike an analog source where every sample is at every point the value may be one of the infinite number of values so for example it may be a real number which has infinite possibilities so english text is an example of a digital source digital signal and however though it is not binary in nature it can still be converted to a binary signal by using some form of binary code for every character,0.62
test,5uybKFkufN4,225,M,AVG,SOUTH,20.42,Engineering,Normal Shock Waves / Rayleigh Flow,youtube_aligned,hf_clean,Normalised_Transcript,but if you look at the way we have been writing the expression notice that on the right hand side we want to involve du over u and m those are the only two quantities we want so we would really not prefer to have something like this so would were the preferred to replace this with a t zero because we have a dt zero here we would prefer to have this with a dt zero and,but if you look at the way we have been writing the expression notice that on the right hand side we want to involve du over u and m those are the only two quantities we want so we would really not prefer to have something like this so would were the preferred to replace this with a t zero because we have a dt zero here we would prefer to have this with a dt zero and,"to dT plus 1 over cp times u du and if a substitute for dT and du from the earlier equation I can write this as dT0 is equal to 1 minus m square times T times du over u. But if you look at the way we have been writing the expression notice that on the right-hand side we want to involve du over u and M those are the only 2 quantities we want. So, we would really not prefer to have something like this so would were the preferred to replace this with a T0 because we have a dT0 here. We would prefer to have this with",to dt plus one over cp times u du and if a substitute for dt and du from the earlier equation i can write this as dt0 is equal to one minus m square times t times du over u but if you look at the way we have been writing the expression notice that on the right hand side we want to involve du over u and m those are the only two quantities we want so we would really not prefer to have something like this so would were the preferred to replace this with a t0 because we have a dt0 here we would prefer to have this with,0.6154
