model,Native_Region,corpus_wer_pct,num_samples
base,EAST,16.81,352
base,NORTH,17.07,202
base,SOUTH,18.44,362
base,WEST,17.34,69
medium,EAST,13.95,352
medium,NORTH,14.74,202
medium,SOUTH,15.34,362
medium,WEST,15.47,69
large,EAST,16.95,352
large,NORTH,15.1,202
large,SOUTH,15.67,362
large,WEST,15.06,69
parakeet,EAST,15.44,352
parakeet,NORTH,16.06,202
parakeet,SOUTH,15.64,362
parakeet,WEST,14.86,69
qwen3,EAST,15.81,352
qwen3,NORTH,16.26,202
qwen3,SOUTH,17.66,362
qwen3,WEST,16.51,69
medium_hf,EAST,14.08,352
medium_hf,NORTH,13.92,202
medium_hf,SOUTH,14.08,362
medium_hf,WEST,18.84,69
medium_ft,EAST,14.66,352
medium_ft,NORTH,13.31,202
medium_ft,SOUTH,13.66,362
medium_ft,WEST,22.53,69
