split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,adjust direction to,adjust direction to,add just a reaction to,add just a reaction to,1.3333,0.2632,0.3333,1.6667
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,will your best no one am stare da,will your best no one am stare da,1.1667,0.4667,0.1667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,uninstall choices,uninstall choices,an install choices,an install choices,1.0,0.1176,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,decrease speed,decrease speed,the cruise speed,the cruise speed,1.0,0.3571,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karutamutu,favorite karutamutu,1.0,0.1364,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G91301-G91301S2352,AESRC2020-INDIAN-ACCENT-G91301,2.665,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,what genre of music is priyadarshini,what genre of music is priyadarshini,one genre of music is free at the same time,one genre of music is free at the same time,1.0,0.5833,0.6667,1.6667
test,AESRC2020-INDIAN-ACCENT-G93639-G93639S2366,AESRC2020-INDIAN-ACCENT-G93639,4.465,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,find gorni kramer music collaborations,find gorni kramer music collaborations,fin gourmet cremeur jib kodoburations,fin gourmet cremeur jib kodoburations,1.0,0.4474,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by bennie dick silver man or duster and car,play songs by bennie dick silver man or duster and car,0.875,0.283,0.5,1.375
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dodge based jambos bada pao center have take away,dodge based jambos bada pao center have take away,0.875,0.2444,0.25,1.125
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,keep the next secret in the sink song,keep the next secret in the sink song,0.8333,0.4286,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehimad dada ria ilahi,play rehimad dada ria ilahi,0.8,0.2593,0.2,1.0
test,AESRC2020-INDIAN-ACCENT-G01722-G01722S1300,AESRC2020-INDIAN-ACCENT-G01722,5.195,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,president clinton displayed no lack of vigor when he began to speak,president clinton displayed no lack of vigor when he began to speak,pressure and clinton the speed no like overrigger when he begin to speed,pressure and clinton the speed no like overrigger when he begin to speed,0.75,0.3731,0.4167,1.0833
test,AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,AESRC2020-INDIAN-ACCENT-G12708,2.307,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,water should be heat,water should be heat,what i should be hit,what i should be hit,0.75,0.25,0.5,1.25
test,AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,AESRC2020-INDIAN-ACCENT-G23656,2.674,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,show me mundiyan lyrics,show me mundiyan lyrics,sauce ne mundiyah lyrics,sauce ne mundiyah lyrics,0.75,0.2609,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G90527-G90527S2355,AESRC2020-INDIAN-ACCENT-G90527,4.361,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,is palmolive hand wash sea minerals bottle a reliable product,is palmolive hand wash sea minerals bottle a reliable product,is palm olyv and was seen in a bottle a reliable product,is palm olyv and was seen in a bottle a reliable product,0.7,0.1967,0.5,1.2
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by maia pati shirirame chandran,play songs by maia pati shirirame chandran,0.6667,0.2308,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,AESRC2020-INDIAN-ACCENT-G01280,3.549,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,when did unni menon first debut,when did unni menon first debut,vand did only men on first debut,vand did only men on first debut,0.6667,0.2581,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G03809-G03809S2372,AESRC2020-INDIAN-ACCENT-G03809,2.793,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,what time does kyoto sushi close,what time does kyoto sushi close,what time does kyo to shu shi close,what time does kyo to shu shi close,0.6667,0.0938,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy three a year become famous,0.6667,0.2286,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,tiny_aesrc_ft_seed43,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did one double a azul this zero hand first debut,when did one double a azul this zero hand first debut,0.6667,0.4043,0.5556,1.2222
