split,ID,Speaker_ID,Speech_Duration_seconds,Accent,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,in accordance to your request i am sending you sample pages of the dictionary,,"In accordance to your request, I am sending you sample pages of the dictionary."
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,i want to listen to joy to the world again,,I want to listen to Joy to the World again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,i want to listen to secret lovers again,,I want to listen to secret lovers again.
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,laundry reminder,,Laundry reminder.
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,the pupil's party have got the election sewn up they are sure to win,,The People's Party have got the election swent up they are sure to win.
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,fill in the chart write names of your favorite band book and movie,,"Fill in the chart, write names of your favorite band, book and movie."
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,how much is stayfree sanitary pad drymax all night,,How much is Staffrey's sanitary pad Drymax all night?
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,replay the song gaal ni kadni,,Replay the song Gal ni kadni
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,in a scramble in front of the goal the ball was kicked in,,"In a scramble in front of the goal, the ball was kicked in."
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,the meeting was a dud as far as new business was concerned,,The meeting was aided as far as new business was concerned.
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,play songs by mynampati sreeram chandra,,Play songs by Mayapati Shiriram Chandra.
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,stop playing the mill,,Stop playing the mill.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,we must put our heads together and decide what to do,,We must put our heads together and decide what to do.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1300,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,the mother set her naughty son over her knee and beat him,,The mother set her naughty son over her knee and beat him.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2353,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,remove the show ogo bodhu sundori from my watch list,,Remove the show Ogo Bodhusundri from my watch list.
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2355,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,what times can i visit akshardham temple,,What times can I visit Akshardham temple?
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S3370,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,it's time to cook,,It's time to cook.
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1298,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,this ocean is much deeper than the water oceans of the earth,,This ocean is much deeper than the water oceans of the earth
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S1299,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,an english idioms is set expression made of two or more words,,In English ideas is said expression made of two or more words
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S2354,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,i want to make a playlist from the song so sincere,,I want to make a playlist from the song So Sincere
test,AESRC2020-INDIAN-ACCENT-G00967-G00967S2355,AESRC2020-INDIAN-ACCENT-G00967,,INDIAN,is there recent news about john kander,,Is there recent news about John Kendor?
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S1299,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,bill wants to go into law when he gets out of school,,Bill wants to go into law when he gets out of school.
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S1300,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,wfm can do for desktops what the snmp standard did for the network,,Wfm can do for desktops what the Snmp standard did for the network.
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S2354,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,add the song we don't care to my favorites,,Add the song We Don't Care to My Favorites
test,AESRC2020-INDIAN-ACCENT-G00997-G00997S2355,AESRC2020-INDIAN-ACCENT-G00997,,INDIAN,where can i buy music by killer mike,,Where can I buy music by Killer Mike?
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S1298,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,do you remember the game of the division in the past it,,Do you remember the game of the division in the past it?
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S1300,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,they had to endure the pain of waiting in line in the airport,,They had to endure the pain of waiting in line in the airport.
test,AESRC2020-INDIAN-ACCENT-G01009-G01009S2352,AESRC2020-INDIAN-ACCENT-G01009,,INDIAN,what are the lyrics to mundiyan,,What are the lyrics to Mundia?
