split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,medium_hf,transcript_raw,gold,in accordance to your request i am sending you sample pages of the dictionary,in accordance to your request i am sending you sample pages of the dictionary,"In accordance to your request, I am sending you sample pages of the dictionary.",in accordance to your request i am sending you sample pages of the dictionary,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,medium_hf,transcript_raw,gold,i want to listen to joy to the world again,i want to listen to joy to the world again,I want to listen to Joy to the World again.,i want to listen to joy to the world again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,medium_hf,transcript_raw,gold,i want to listen to secret lovers again,i want to listen to secret lovers again,I want to listen to Secret Lovers again.,i want to listen to secret lovers again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,medium_hf,transcript_raw,gold,laundry reminder,laundry reminder,laundry reminder,laundry reminder,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,medium_hf,transcript_raw,gold,the pupil's party have got the election sewn up they are sure to win,the pupil s party have got the election sewn up they are sure to win,"The Pupils Party have got the election, so when up, they are sure to win.",the pupils party have got the election so when up they are sure to win,0.2667,0.0735,0.7857,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,medium_hf,transcript_raw,gold,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,"Fill in the chart, write names of your favorite band, book and movie.",fill in the chart write names of your favorite band book and movie,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,medium_hf,transcript_raw,gold,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad drymax all night,How much is Staffree sanitary pad and drymax all night?,how much is staffree sanitary pad and drymax all night,0.2222,0.1,0.8889,1.1111
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,medium_hf,transcript_raw,gold,replay the song gaal ni kadni,replay the song gaal ni kadni,Replay the song Gaal Ni Kadni.,replay the song gaal ni kadni,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,medium_hf,transcript_raw,gold,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,"In a scramble in front of the goal, the ball was kicked in.",in a scramble in front of the goal the ball was kicked in,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,medium_hf,transcript_raw,gold,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,The meeting was a dud as far as new business was concerned.,the meeting was a dud as far as new business was concerned,0.0,0.0,1.0,1.0
