model_a,model_b,diff_pp,ci_lo_pp,ci_hi_pp,p_value,p_holm,significant_holm_0.05
tiny,base,5.15,4.43,5.94,0.0002,0.0072,yes
tiny,small,9.61,8.82,10.45,0.0002,0.0072,yes
tiny,medium,11.83,10.97,12.75,0.0002,0.0072,yes
tiny,large,12.72,11.85,13.65,0.0002,0.0072,yes
tiny,large_v3_turbo,11.76,10.91,12.66,0.0002,0.0072,yes
tiny,parakeet,11.17,10.33,12.09,0.0002,0.0072,yes
tiny,parakeet_ctc,8.34,7.54,9.21,0.0002,0.0072,yes
tiny,qwen3,11.2,10.35,12.13,0.0002,0.0072,yes
base,small,4.47,3.98,4.93,0.0002,0.0072,yes
base,medium,6.68,6.2,7.19,0.0002,0.0072,yes
base,large,7.57,7.06,8.09,0.0002,0.0072,yes
base,large_v3_turbo,6.61,6.13,7.1,0.0002,0.0072,yes
base,parakeet,6.03,5.54,6.53,0.0002,0.0072,yes
base,parakeet_ctc,3.19,2.72,3.67,0.0002,0.0072,yes
base,qwen3,6.05,5.54,6.6,0.0002,0.0072,yes
small,medium,2.22,1.86,2.61,0.0002,0.0072,yes
small,large,3.1,2.71,3.52,0.0002,0.0072,yes
small,large_v3_turbo,2.14,1.77,2.54,0.0002,0.0072,yes
small,parakeet,1.56,1.18,1.98,0.0002,0.0072,yes
small,parakeet_ctc,-1.27,-1.68,-0.85,0.0002,0.0072,yes
small,qwen3,1.59,1.17,2.05,0.0002,0.0072,yes
medium,large,0.88,0.6,1.15,0.0002,0.0072,yes
medium,large_v3_turbo,-0.08,-0.36,0.19,0.5969,1.0,no
medium,parakeet,-0.66,-0.93,-0.38,0.0002,0.0072,yes
medium,parakeet_ctc,-3.49,-3.85,-3.15,0.0002,0.0072,yes
medium,qwen3,-0.63,-0.99,-0.28,0.0004,0.0072,yes
large,large_v3_turbo,-0.96,-1.25,-0.69,0.0002,0.0072,yes
large,parakeet,-1.54,-1.83,-1.25,0.0002,0.0072,yes
large,parakeet_ctc,-4.38,-4.76,-4.0,0.0002,0.0072,yes
large,qwen3,-1.51,-1.87,-1.16,0.0002,0.0072,yes
large_v3_turbo,parakeet,-0.58,-0.85,-0.29,0.0004,0.0072,yes
large_v3_turbo,parakeet_ctc,-3.42,-3.75,-3.08,0.0002,0.0072,yes
large_v3_turbo,qwen3,-0.55,-0.89,-0.2,0.0022,0.0072,yes
parakeet,parakeet_ctc,-2.83,-3.13,-2.55,0.0002,0.0072,yes
parakeet,qwen3,0.03,-0.28,0.32,0.8463,1.0,no
parakeet_ctc,qwen3,2.86,2.52,3.22,0.0002,0.0072,yes
