split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,medium_hf,whisper_norm,gold,five fifty four am,554 am,5 54 a.m.,5 54 a m,2.0,0.3333,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_hf,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,"Favorite, Kairu Tamidhu.",favorite kairu tamidhu,1.0,0.2381,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G33434-G33434S2355,AESRC2020-INDIAN-ACCENT-G33434,4.507,INDIAN,medium_hf,whisper_norm,gold,has the song mwana oyo won any wards,has the song mwana oyo won any wards,"Here's the song, Moana or You Want Any Words.",here is the song moana or you want any words,0.875,0.3333,0.375,1.25
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,medium_hf,whisper_norm,gold,lay the prince ascetic next,lay the prince ascetic next,Lay the prints as static snacks.,lay the prints as static snacks,0.8,0.4074,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,medium_hf,whisper_norm,gold,of it the plot of lioness,of it the plot of lioness,Or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,medium_hf,whisper_norm,gold,adjust direction to,adjust direction to,Adjust direction to look good,adjust direction to look good,0.6667,0.5263,1.0,1.6667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,medium_hf,whisper_norm,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be large.,only play songs while smile be large,0.6667,0.4242,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,medium_hf,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,When did Bandawla Azul Day Zero 1 first debuted?,when did bandawla azul day 0 11st debuted,0.6667,0.3111,0.3333,0.8889
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_hf,whisper_norm,gold,what's kevee keyam enterprises contact number,what is kevee keyam enterprises contact number,What's Kiwi Qayam Enterprise's contact number?,what is kiwi qayam enterprise is contact number,0.5714,0.1739,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_hf,whisper_norm,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,How large is splash top wired? XDisplay Free,how large is splash top wired xdisplay free,0.5556,0.0682,0.625,0.8889
