split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,aGvMubj8NXk,103,17.03,M,SLOW,SOUTH,Engineering,24 Programmed I/O,large_v3_turbo,transcript_clean,gold,"register; we can use them for different purposes. This is the fundamental, basic requirement. So now, you can see assuming the device has prepared the data and then put in the data",register we can use them for different purposes this is the fundamental basic requirement so now you can see assuming the device has prepared the data and then put in the data,"register, we can use for different purpose, just one for example we are seeing now, this is fundamental basic thing anyway requirement. So now you can see assuming the device has prepared the data and then put in the data to move here the data again. 5. So now have the data brackets, transfer at till example, event commands principle and run not double it. So before part, we see we have some different ways from the actual device to take up for content,將 to make it comfortable with you all. The whole device lay there again because of that 3830 just contemporary옵 duasislatives",register we can use for different purpose just one for example we are seeing now this is fundamental basic thing anyway requirement so now you can see assuming the device has prepared the data and then put in the data to move here the data again five so now have the data brackets transfer at till example event commands principle and run not double it so before part we see we have some different ways from the actual device to take up for content 將 to make it comfortable with you all the whole device lay there again because of that three thousand eight hundred and thirty just contemporary옵 duasislatives,2.5938,2.5657,0.9259,3.4375
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,large_v3_turbo,transcript_clean,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"x by, so it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes. So, this is the first one, so it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes.",x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes so this is the first one so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,2.3,2.1209,0.6471,3.0
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,large_v3_turbo,transcript_clean,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I would not say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processors as you need, which means it is valid for single processor to machine of even millions of processors. Yes. Right. So, one is the amount of resources, how much memory I have, how much local versus or shared with the information that's in the entire list, and that this big space can be used. You can credit your loss at additional time. You can credit your loss at enough price to buy or put in more containers and Ecuador at a normal time.",i would not say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processors as you need which means it is valid for single processor to machine of even millions of processors yes right so one is the amount of resources how much memory i have how much local versus or shared with the information that s in the entire list and that this big space can be used you can credit your loss at additional time you can credit your loss at enough price to buy or put in more containers and ecuador at a normal time,2.2286,2.1573,0.9333,3.1429
test,en84VHnVyCU,331,21.859,M,FAST,EAST,Engineering,Future of Aircraft Propulsion,large_v3_turbo,transcript_clean,gold,"stator nozzles as we know essentially, these set of turbines essentially do not use any stator nozzles. They are counter rotating rotors in meshed in each other. And hence, they are stator less configurations. So, this stator less turbine configurations would probably",stator nozzles as we know essentially these set of turbines essentially do not use any stator nozzles they are counter rotating rotors in meshed in each other and hence they are stator less configurations so this stator less turbine configurations would probably,"stator nozzles as we know essentially these sets of turbines essentially do not use any stator nozzles they are counter rotating rotors in meshed in each other and hence they are is statorless configurations. So, these statorless turbine configurations would probably beiden cичес值 per sometimesle ful into tocometer is then pudes of 용, mining mors on the own set of turbines the same thing that relieve l поэтому the steat of boots like this blouse is following the Head of Behavioral调 kommer out of water onto other computers in base into aerm frames at natural power combined with a large time DON",stator nozzles as we know essentially these sets of turbines essentially do not use any stator nozzles they are counter rotating rotors in meshed in each other and hence they are is statorless configurations so these statorless turbine configurations would probably beiden cичес值 per sometimesle ful into tocometer is then pudes of 용 mining mors on the own set of turbines the same thing that relieve l поэтому the steat of boots like this blouse is following the head of behavioral调 kommer out of water onto other computers in base into aerm frames at natural power combined with a large time don,1.5952,1.2977,0.9688,2.4286
test,9Z8NRNi2arU,177,24.63,F,AVG,EAST,Non-Engineering,Multi Objective Decision Making,large_v3_turbo,transcript_clean,gold,"it that means, decision maker is given some preference about the objective function. But, this method is very nice method to apply, but there are certain disadvantages even, because the utility calculation of the utility value or the information about the utility value about the objective functions, rather the importance of the objective functions",it that means decision maker is given some preference about the objective function but this method is very nice method to apply but there are certain disadvantages even because the utility calculation of the utility value or the information about the utility value about the objective functions rather the importance of the objective functions,"it. That means, decision maker is giving some preference about the objective function. But this method is very nice method to apply, but there are certain disadvantages even because the utility calculation of the utility value or the information about the utility value about the objective functions rather the importance of the objective functions and this method is meant to provide any alternative tools for minutos prefentials. It is a code of control and it is going to continue on. And, it is persevering for the benefit of the utility technology theorem, and this is, it can be useful for you in which area is very natural ed sycoph Babay by committee into an income, study of extensible or social media 듯 or communication law firm work, review of extensible or gadgets, atención and promote cœur.",it that means decision maker is giving some preference about the objective function but this method is very nice method to apply but there are certain disadvantages even because the utility calculation of the utility value or the information about the utility value about the objective functions rather the importance of the objective functions and this method is meant to provide any alternative tools for minutos prefentials it is a code of control and it is going to continue on and it is persevering for the benefit of the utility technology theorem and this is it can be useful for you in which area is very natural ed sycoph babay by committee into an income study of extensible or social media 듯 or communication law firm work review of extensible or gadgets atención and promote cœur,1.537,1.309,0.9714,2.5185
test,whuItiXjk5s,277,64.92,M,SLOW,SOUTH,Engineering,Error Budgeting for Thermo Couple Amplifier,large_v3_turbo,transcript_clean,gold,"can make the output goes to 0. So, this kind of adjustment has to be done. By assuming I bias current plus equal to I bias current minus, we can make error due to bias current to 0 by selecting the resistor values. Now, for example, if I have a gain 25, then I can select this R f and I call this is R",can make the output goes to zero so this kind of adjustment has to be done by assuming i bias current plus equal to i bias current minus we can make error due to bias current to zero by selecting the resistor values now for example if i have a gain twenty five then i can select this r f and i call this is r,"can make the output go to 0. So, this kind of adjustment has to be done. So, by assuming, by assuming, assuming, we i i plus i bias current plus equal to i bias current minus, we can we can make error due to error due to bias current to 0, bias current to 0 by adjust by selecting the register values. So, this is the result of the error, we can write the error due to bias current to 0, we can write the error due to bias current to 0 by adjusting the register values. So, if we have to write the error due to bias current to bias current to 0, this is a result. Now, for example, if I want to have a, this is a result of the error due to bias current to bias current to bias current to bias current",can make the output go to zero so this kind of adjustment has to be done so by assuming by assuming assuming we i i plus i bias current plus equal to i bias current minus we can we can make error due to error due to bias current to zero bias current to zero by adjust by selecting the register values so this is the result of the error we can write the error due to bias current to zero we can write the error due to bias current to zero by adjusting the register values so if we have to write the error due to bias current to bias current to zero this is a result now for example if i want to have a this is a result of the error due to bias current to bias current to bias current to bias current,1.5,1.3539,0.7556,2.2273
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,large_v3_turbo,transcript_clean,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen c times n minus 1 minus 2j sorry this is I made a mistake here j2 is 1 but j2 is 2 j2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n minus one minus 2j sorry this is i made a mistake here j2 is one but j2 is two j2 so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.4583,1.3019,0.9412,2.375
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),large_v3_turbo,transcript_clean,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people arrive at the bus stop k is that zero right so I'll put as a substitute k with zero,rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put as a substitute k with zero,1.2292,0.7931,0.1471,1.2708
test,4qWsaupbZY0,136,24.059,M,FAST,WEST,Engineering,of Root Locus,large_v3_turbo,transcript_clean,gold,"Our system parameter like resistance inductance back emf co-efficient, co-efficient of friction, all of them are real numbers. In fact, most of them are chosen the concept is such that they are all positive if I said that a resistance has value minus 20 volts then, you will suspect that there is something wrong either I am talking about the resistance in a different",our system parameter like resistance inductance back emf co efficient co efficient of friction all of them are real numbers in fact most of them are chosen the concept is such that they are all positive if i said that a resistance has value minus twenty volts then you will suspect that there is something wrong either i am talking about the resistance in a different,"system parameter like resistance, inductance, back MF coefficient, coefficient of friction all of them are real numbers. In fact, most of them are chosen the concept is such that they are all positive. If I said that a resistance has value minus 20 ohms then you will suspect that there is something wrong either I am talking about resistance in a different way of focusing on distance Anything you want to make sure you may have the same Kurt removable standard speed which is its effect to make energy the fact that it will be useful Video 방법 based onlamers of resistance phases those have excellent intensity retrogressive and the vibration varsity as this in particular NDF of Airl� of Imperial favorite Hope layerẳng and odd participar using resistance nuances there is guideline loss",system parameter like resistance inductance back mf coefficient coefficient of friction all of them are real numbers in fact most of them are chosen the concept is such that they are all positive if i said that a resistance has value minus twenty ohms then you will suspect that there is something wrong either i am talking about resistance in a different way of focusing on distance anything you want to make sure you may have the same kurt removable standard speed which is its effect to make energy the fact that it will be useful video 방법 based onlamers of resistance phases those have excellent intensity retrogressive and the vibration varsity as this in particular ndf of airl of imperial favorite hope layerẳng and odd participar using resistance nuances there is guideline loss,1.2121,1.1907,0.898,2.0303
test,RHDq17N77Ts,305,24.461,M,SLOW,SOUTH,Non-Engineering,Isothermal gas enclosures,large_v3_turbo,transcript_clean,gold,"combustion. Even if you do that, the efficiency cannot increase; but, to not a very high value. So, even if you increase the emissivity of the gas by 250 percent, the efficiency here goes on only by 7 percent. So, what this shows clearly is that, the efficiency of the power plant furnace is not that sensitive to the emissivity of the gasses. And, hence",combustion even if you do that the efficiency cannot increase but to not a very high value so even if you increase the emissivity of the gas by two hundred and fifty percent the efficiency here goes on only by seven percent so what this shows clearly is that the efficiency of the power plant furnace is not that sensitive to the emissivity of the gasses and hence,"even if we do that, the efficiency cannot increase, but not a very high value. So, even if you increase the emissivity of the gas by 250 percent, the efficiency here goes only by 7 percent. So, what this shows clearly is that the efficiency of the power plant furnace is not that sensitive to the emissivity of the gases. So, allowing those inons to welcome the Stromaeil Cor mue s, I do not stealing that problem presumably with that. However, it is in common. That is sometimes very clarified will take place a single progression using the sound of the ground. Now we are you going to calm the down of the ground. If you stop using the conttake blocs in this argument, it is simply a force on the ground is a power organ.",even if we do that the efficiency cannot increase but not a very high value so even if you increase the emissivity of the gas by two hundred and fifty percent the efficiency here goes only by seven percent so what this shows clearly is that the efficiency of the power plant furnace is not that sensitive to the emissivity of the gases so allowing those inons to welcome the stromaeil cor mue s i do not stealing that problem presumably with that however it is in common that is sometimes very clarified will take place a single progression using the sound of the ground now we are you going to calm the down of the ground if you stop using the conttake blocs in this argument it is simply a force on the ground is a power organ,1.1912,1.1044,0.9302,2.0441
