model,Speech_Class,corpus_wer_pct,num_samples
tiny,AVG,18.18,199
tiny,FAST,18.32,413
tiny,SLOW,21.71,373
base,AVG,15.96,199
base,FAST,16.51,413
base,SLOW,19.87,373
small,AVG,14.8,199
small,FAST,14.53,413
small,SLOW,18.88,373
medium,AVG,13.41,199
medium,FAST,13.54,413
medium,SLOW,17.24,373
large,AVG,16.01,199
large,FAST,13.85,413
large,SLOW,18.72,373
large_v3_turbo,AVG,17.35,199
large_v3_turbo,FAST,16.46,413
large_v3_turbo,SLOW,20.41,373
parakeet,AVG,13.95,199
parakeet,FAST,14.38,413
parakeet,SLOW,18.25,373
parakeet_ctc,AVG,15.38,199
parakeet_ctc,FAST,15.44,413
parakeet_ctc,SLOW,18.47,373
qwen3,AVG,15.69,199
qwen3,FAST,15.63,413
qwen3,SLOW,18.65,373
medium_hf,AVG,14.64,199
medium_hf,FAST,11.91,413
medium_hf,SLOW,17.69,373
medium_ft,AVG,15.75,199
medium_ft,FAST,12.28,413
medium_ft,SLOW,17.1,373
tiny_hf,AVG,20.38,199
tiny_hf,FAST,21.83,413
tiny_hf,SLOW,23.52,373
tiny_ft,AVG,16.82,199
tiny_ft,FAST,17.09,413
tiny_ft,SLOW,23.34,373
small_hf,AVG,18.27,199
small_hf,FAST,12.97,413
small_hf,SLOW,22.84,373
small_ft,AVG,13.8,199
small_ft,FAST,13.66,413
small_ft,SLOW,21.13,373
