split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,jtMZfLViZu8,224,37.02,M,SLOW,NORTH,Engineering,Lecture 1 Finite Element Method,medium_ft_sizematch_s43,whisper_norm,gold,"thetayi, and wi at each of these 4 nodes which have coordinates xi tau, yi tau in this expanded form. How many values we have? We have 12 values; it is a twelfth order, there are terms in this expression. We can write it as, this whole thing wi, w1 thetay1, thetax1, then w2, thetay2, thetax2 up to all the way down to w4, thetay4, thetax4 this is equal to this",thetayi and wi at each of these 4 nodes which have coordinates xi tau yi tau in this expanded form how many values we have we have 12 values it is a 12th order there are terms in this expression we can write it as this whole thing wi w one thetay one thetax one then w 2 thetay 2 thetax 2 up to all the way down to w 4 thetay 4 thetax 4 this is equal to this,"xi theta yi and wi at each of these four nodes which have coordinates xi tau yi tau in this expanded form. How many values now we have? We have twelve values. It is a twelfth order I mean there are twelve terms in this expression. So, now we solve for so we can write it as this whole thing wi w1 theta y1 theta x1 then w1 theta x2 then w1 theta x1 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w1 theta x2 then w 1 theta x 1 then W 2 theta y 2 theta x 2 up to all the way down to",xi theta yi and wi at each of these 4 nodes which have coordinates xi tau yi tau in this expanded form how many values now we have we have 12 values it is a 12th order i mean there are 12 terms in this expression so now we solve for so we can write it as this whole thing wi w one theta y one theta x one then w one theta x 2 then w one theta x one then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x 2 then w one theta x one then w 2 theta y 2 theta x 2 up to all the way down to,4.825,3.5894,0.9216,5.5625
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,medium_ft_sizematch_s43,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,medium_ft_sizematch_s43,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium_ft_sizematch_s43,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"by so it is h square by so it was 3 factorial and that multiplied by 2. So, that it becomes 3. No, that was. No, sir. No, sir. And divided by 2. And divided by 2, yes.",by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 no that was no sir no sir and divided by 2 and divided by 2 yes,1.55,1.3494,0.6471,1.9
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),medium_ft_sizematch_s43,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute ok so that's two and i want to ask the question what is the probability zero people will arrive over the next minute so i'd say on average two people arrive at the bus stop k is that zero right so i'll put i'll substitute k with zero,rate could be something like well 2 people arrive per minute ok so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put i will substitute k with 0,1.25,0.7828,0.1176,1.3125
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,medium_ft_sizematch_s43,whisper_norm,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n +one column is nothing but the b has been moved to n +one that is you have a matrix and then you have b vector instead of putting b here i have put b here,"one thing you do, but numerical methods problem generally we work on shared memory model, but people are working nowadays on cluster machines. Now, the next problem is that you have to tell me how I can do it.",one thing you do but numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,1.0,0.9036,0.2963,1.0
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,medium_ft_sizematch_s43,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,zz3cEoeWrUo,206,20.53,M,FAST,SOUTH,Engineering,Analysis of Gas Generator and Staged Combustion Cycles and Introduction to Injectors,medium_ft_sizematch_s43,whisper_norm,gold,"of the separated flow lingers on and C d decreases it never comes back to this. That means, even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward, and what happens let us let us try to put this down.",of the separated flow lingers on and c d decreases it never comes back to this that means even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward and what happens let us let us try to put this down,of,of,0.9818,0.9926,0.0233,0.0182
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,medium_ft_sizematch_s43,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processors as you need which means it is valid for single processor to machine of even millions of processors. Yes, right. So, one is the amount of resources, how much memory I have, how much local versus outshared",i will not say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processors as you need which means it is valid for single processor to machine of even 1000000s of processors yes right so one is the amount of resources how much memory i have how much local versus outshared,0.9714,0.8708,0.8667,1.8
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),medium_ft_sizematch_s43,whisper_norm,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer. And it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bed manually. So, it is a labor intensive process.",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process,0.9643,0.6939,0.2857,1.1071
