split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976895472_f74_chunk_0.wav,,0.098,Female,30-45,Urdu,large,transcript_raw,gold,Up,up,I'll see you next time.,i ll see you next time,6.0,10.5,0.0,6.0
test,281474976897517_f2194_chunk_4.wav,,0.5996875,Male,30-45,Sindhi,large,transcript_raw,gold,Udaipur,udaipur,we're doing it for free.,we re doing it for free,6.0,2.8571,0.0,6.0
test,281474976885510_f2092_chunk_4.wav,,0.6919375,Male,18-30,Kannada,large,transcript_raw,gold,Chitradurga,chitradurga,history or Usa from the,history or usa from the,5.0,1.6364,0.0,5.0
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,large,transcript_raw,gold,@upi,upi,at the rate of UPI.,at the rate of upi,4.0,5.0,1.0,5.0
test,281474976890748_f2054_chunk_8.wav,,0.99425,Male,18-30,Dogri,large,transcript_raw,gold,Baisakhi,baisakhi,Best of all key,best of all key,4.0,1.5,0.0,4.0
test,281474976895598_f2758_chunk_0.wav,,0.678875,Male,18-30,Kannada,large,transcript_raw,gold,Five,five,ulsive four year contract.,ulsive four year contract,4.0,5.5,0.0,4.0
test,281474976897091_f2875_chunk_0.wav,,0.227875,Male,18-30,Hindi,large,transcript_raw,gold,Three,three,See you next time.,see you next time,4.0,3.0,0.0,4.0
test,281474976901639_f213_chunk_0.wav,,0.7525,Female,45-60,Kannada,large,transcript_raw,gold,Down,down,I am Putana Brando.,i am putana brando,4.0,4.25,0.0,4.0
test,281474976909238_f2866_chunk_1.wav,,4.55175,Female,45-60,Punjabi,large,transcript_raw,gold,377138354339 ?,377138354339,377-138-3543-39,377 138 3543 39,4.0,0.25,0.0,4.0
test,281474976925712_f2835_chunk_0.wav,,0.1640625,Female,18-30,Dogri,large,transcript_raw,gold,Cat,cat,Bye-bye. Bye-bye.,bye bye bye bye,4.0,5.0,0.0,4.0
test,281474976888919_f3231_chunk_13.wav,,10.92,Male,18-30,Nepali,large,transcript_raw,gold,"Merely I have read English newspapers, books, or novels to get some improvement and to get",merely i have read english newspapers books or novels to get some improvement and to get,"Merely I have read English newspapers, books or novels to get some improvement and to get some information on English the謝謝 I got some information on Paraguayan thou I receive Paraguayan God bless I Didis He had some people, which I believe that I heard, that Advwid not just He who Sue him the other day, C noodles Aman is sitcom modes C theatres show",merely i have read english newspapers books or novels to get some improvement and to get some information on english the謝謝 i got some information on paraguayan thou i receive paraguayan god bless i didis he had some people which i believe that i heard that advwid not just he who sue him the other day c noodles aman is sitcom modes c theatres show,3.0625,2.9545,1.0,4.0625
test,281474976884349_f1690_chunk_1.wav,,0.5906875,Female,18-30,Tamil,large,transcript_raw,gold,Chennai,chennai,Didn't they?,didn t they,3.0,1.4286,0.0,3.0
test,281474976884349_f1690_chunk_2.wav,,0.6885,Female,18-30,Tamil,large,transcript_raw,gold,Coimbatore,coimbatore,Go and batur.,go and batur,3.0,0.8,0.0,3.0
test,281474976887069_f2936_chunk_1.wav,,6.1138125,Female,30-45,Gujarati,large,transcript_raw,gold,76486997868,76486997868,7648 6997 868,7648 6997 868,3.0,0.1818,0.0,3.0
test,281474976887155_f2742_chunk_1.wav,,5.0353125,Female,18-30,Malayalam,large,transcript_raw,gold,85740051518,85740051518,857-400-51518,857 400 51518,3.0,0.1818,0.0,3.0
test,281474976888161_f1851_chunk_13.wav,,0.690875,Male,30-45,Maithili,large,transcript_raw,gold,Rasgulla,rasgulla,Rest good luck.,rest good luck,3.0,1.25,0.0,3.0
test,281474976889296_f1847_chunk_1.wav,,0.5288125,Male,18-30,Urdu,large,transcript_raw,gold,Amjad,amjad,I'm Jed.,i m jed,3.0,0.8,0.0,3.0
test,281474976893816_f854_chunk_0.wav,,0.6400625,Female,18-30,Bodo,large,transcript_raw,gold,Forward,forward,for the world.,for the world,3.0,1.0,0.0,3.0
test,281474976895330_f1883_chunk_4.wav,,0.6163125,Male,30-45,Kashmiri,large,transcript_raw,gold,achievements,achievements,It's human.,it s human,3.0,0.8333,0.0,3.0
test,281474976899336_f1803_chunk_0.wav,,3.9230625,Female,30-45,Marathi,large,transcript_raw,gold,1999,1999,Nineteen Ninety-nine,nineteen ninety nine,3.0,5.0,0.0,3.0
