ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.3778,0.1303,32
281474976888909_f3258_chunk_7.wav,7.414,0.56,0.0755,54
281474976894795_f2258_chunk_11.wav,12.681,1.0551,0.0832,124
281474976899564_f2428_chunk_0.wav,0.263,0.2017,0.7661,4
281474976885777_f1381_chunk_0.wav,2.889,0.4271,0.1478,41
281474976893835_f569_chunk_0.wav,0.862,0.2958,0.3432,9
281474976895412_f1595_chunk_0.wav,0.312,0.2449,0.7856,1
281474976901586_f1451_chunk_0.wav,0.678,0.2801,0.4134,4
281474976892134_f1122_chunk_0.wav,3.074,0.3899,0.1268,42
281474976902183_f1898_chunk_0.wav,3.165,0.3857,0.1218,47
281474976889207_f2377_chunk_2.wav,4.053,0.3635,0.0897,12
281474976887817_f1763_chunk_0.wav,8.107,0.7456,0.092,126
281474976895868_f659_chunk_0.wav,0.576,0.2724,0.4733,5
281474976901152_f2107_chunk_3.wav,0.75,0.2376,0.3166,2
281474976906745_f2447_chunk_1.wav,3.633,0.5001,0.1376,44
281474976888218_f2769_chunk_0.wav,6.191,0.4151,0.067,57
281474976884079_f2150_chunk_1.wav,8.867,0.8526,0.0962,117
281474976897522_f1981_chunk_9.wav,1.3,0.2628,0.2022,10
281474976888160_f3202_chunk_5.wav,4.783,0.6203,0.1297,71
281474976894896_f456_chunk_0.wav,4.31,0.6406,0.1486,73
281474976893750_f2373_chunk_0.wav,6.392,0.5345,0.0836,76
281474976893843_f2130_chunk_4.wav,10.617,0.8605,0.081,108
281474976893153_f2820_chunk_0.wav,2.839,0.4119,0.1451,46
281474976893017_f2672_chunk_0.wav,5.479,0.4687,0.0855,77
281474976894273_f3279_chunk_17.wav,8.455,0.7645,0.0904,109
281474976897290_f1204_chunk_0.wav,0.645,0.2784,0.4316,5
281474976897454_f1975_chunk_4.wav,7.72,0.5464,0.0708,73
281474976900333_f1733_chunk_4.wav,0.71,0.2746,0.387,13
281474976887025_f36_chunk_0.wav,3.393,0.4649,0.137,38
281474976901454_f524_chunk_0.wav,0.801,0.2634,0.3289,3
281474976895208_f2923_chunk_0.wav,7.571,0.7469,0.0986,108
281474976884627_f3339_chunk_2.wav,2.811,0.4371,0.1555,39
281474976889221_f3229_chunk_0.wav,5.4,0.6299,0.1166,85
281474976901164_f2275_chunk_6.wav,1.103,0.2839,0.2574,10
281474976899764_f2324_chunk_0.wav,0.205,0.9161,4.4745,10
281474976903187_f2699_chunk_1.wav,2.356,0.2964,0.1258,33
281474976885801_f2235_chunk_21.wav,4.75,0.3864,0.0813,56
281474976884085_f3239_chunk_23.wav,5.48,0.5561,0.1015,62
281474976901153_f1889_chunk_7.wav,2.522,0.417,0.1653,38
281474976893848_f3250_chunk_9.wav,9.65,0.691,0.0716,97
281474976893172_f2123_chunk_3.wav,6.109,0.6247,0.1023,109
281474976885800_f1683_chunk_9.wav,5.519,0.6251,0.1133,104
281474976884044_f1919_chunk_1.wav,3.714,0.3643,0.0981,20
281474976887807_f3177_chunk_0.wav,5.056,0.6537,0.1293,51
281474976894795_f2258_chunk_22.wav,14.101,1.1866,0.0842,137
281474976892193_f1802_chunk_0.wav,0.608,0.2155,0.3542,2
281474976898621_f2032_chunk_0.wav,1.785,0.3315,0.1858,28
281474976894268_f1720_chunk_0.wav,1.26,0.3244,0.2575,27
281474976896999_f1689_chunk_1.wav,2.336,0.3807,0.163,39
281474976886817_f1675_chunk_1.wav,0.62,0.2659,0.4286,9
281474976892333_f3244_chunk_6.wav,4.26,0.4102,0.0963,36
281474976884637_f2218_chunk_6.wav,4.96,0.452,0.0911,47
281474976899581_f1864_chunk_5.wav,2.436,0.3109,0.1276,21
281474976899757_f1404_chunk_0.wav,8.84,0.7116,0.0805,73
281474976893846_f3264_chunk_3.wav,13.0,0.794,0.0611,105
281474976900339_f2186_chunk_1.wav,7.66,0.8771,0.1145,130
281474976893734_f2994_chunk_0.wav,1.732,0.4743,0.2738,32
281474976887640_f478_chunk_0.wav,3.769,0.4857,0.1289,50
281474976884126_f3274_chunk_5.wav,7.408,0.7322,0.0988,82
281474976934186_f3139_chunk_1.wav,6.02,0.5734,0.0953,54
281474976893724_f3273_chunk_4.wav,7.036,0.615,0.0874,94
281474976884131_f3182_chunk_6.wav,10.645,0.5851,0.055,72
281474976885510_f2092_chunk_3.wav,0.663,0.3152,0.4755,7
281474976893915_f2228_chunk_11.wav,5.365,0.6171,0.115,80
281474976899939_f968_chunk_0.wav,0.159,0.2689,1.6937,5
281474976884229_f2757_chunk_0.wav,8.398,0.6946,0.0827,118
281474976894795_f2258_chunk_10.wav,9.13,0.9783,0.1071,114
281474976884478_f2191_chunk_13.wav,2.04,0.3926,0.1925,31
281474976890741_f3144_chunk_0.wav,5.229,0.5825,0.1114,35
281474976888961_f1990_chunk_0.wav,17.474,1.33,0.0761,218
281474976896668_f987_chunk_0.wav,13.922,0.6511,0.0468,70
281474976883938_f1692_chunk_3.wav,0.772,0.2945,0.3815,9
281474976887081_f2283_chunk_5.wav,0.635,0.2485,0.3912,5
281474976903907_f3262_chunk_4.wav,8.997,0.6544,0.0727,82
281474976888919_f3231_chunk_13.wav,10.92,0.816,0.0747,103
281474976885801_f2235_chunk_31.wav,3.833,0.3766,0.0982,29
281474976897079_f2874_chunk_0.wav,1.505,0.2905,0.193,17
281474976900647_f780_chunk_0.wav,0.776,0.2642,0.3406,7
281474976896669_f986_chunk_0.wav,0.459,0.2039,0.4442,5
281474976899969_f3240_chunk_0.wav,7.826,0.6559,0.0838,96
281474976888156_f2040_chunk_8.wav,1.406,0.2462,0.1751,7
281474976883875_f917_chunk_0.wav,1.915,0.3982,0.2079,34
281474976897862_f2802_chunk_1.wav,6.502,0.5094,0.0783,32
281474976886889_f844_chunk_0.wav,6.238,0.6476,0.1038,77
281474976898096_f1469_chunk_0.wav,0.511,0.2753,0.5389,4
281474976888231_f1490_chunk_0.wav,3.776,0.4097,0.1085,39
281474976902188_f2127_chunk_3.wav,1.333,0.3457,0.2593,20
281474976895294_f717_chunk_0.wav,4.078,0.5424,0.133,56
281474976888909_f3258_chunk_23.wav,10.803,0.5742,0.0532,77
281474976884085_f3239_chunk_34.wav,4.88,0.485,0.0994,68
281474976894794_f3270_chunk_8.wav,6.859,0.5618,0.0819,66
281474976887171_f3278_chunk_8.wav,9.48,0.5204,0.0549,80
281474976898109_f1467_chunk_0.wav,0.566,0.298,0.5268,9
281474976887080_f3201_chunk_1.wav,6.12,0.5741,0.0938,80
281474976894271_f3141_chunk_13.wav,1.34,0.4224,0.3152,25
281474976887082_f3312_chunk_0.wav,6.168,0.6192,0.1004,89
281474976884470_f3243_chunk_8.wav,3.16,0.5645,0.1786,37
281474976899792_f1793_chunk_4.wav,1.589,0.3545,0.2231,17
281474976896155_f453_chunk_0.wav,3.969,0.4657,0.1173,39
281474976893848_f3250_chunk_3.wav,9.45,0.9297,0.0984,100
281474976886870_f3336_chunk_0.wav,5.56,0.7187,0.1293,87
281474976893174_f1860_chunk_2.wav,1.69,0.3619,0.2141,28
281474976884085_f3239_chunk_3.wav,2.147,0.3731,0.1738,29
281474976925450_f2431_chunk_0.wav,1.862,0.4936,0.2651,24
281474976887150_f2645_chunk_0.wav,3.185,0.5419,0.1701,51
281474976887660_f3286_chunk_1.wav,7.636,0.7276,0.0953,82
