ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.0797,0.0168,52
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.0797,0.0145,44
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.0789,0.0222,46
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.0846,0.0129,69
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.0809,0.0228,31
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.0823,0.0195,43
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.0823,0.0161,61
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.0847,0.0319,27
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.0813,0.0181,42
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.0815,0.0207,54
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.0822,0.0129,62
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.0857,0.016,48
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.0796,0.0168,60
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.0812,0.0203,41
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.0816,0.0175,46
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.0824,0.0125,66
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.0813,0.018,44
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.084,0.018,63
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.0823,0.0189,44
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.0844,0.0119,61
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.0824,0.0152,65
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.0808,0.0213,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.0819,0.0275,25
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.0817,0.0353,25
AESRC2020-INDIAN-ACCENT-G02323-G02323S1300,5.29,0.0849,0.016,51
AESRC2020-INDIAN-ACCENT-G02359-G02359S1300,6.325,0.0858,0.0136,53
AESRC2020-INDIAN-ACCENT-G02362-G02362S1299,5.005,0.0828,0.0165,65
AESRC2020-INDIAN-ACCENT-G02398-G02398S1300,7.083,0.0831,0.0117,60
AESRC2020-INDIAN-ACCENT-G02440-G02440S2353,2.961,0.083,0.028,30
AESRC2020-INDIAN-ACCENT-G02440-G02440S2355,5.348,0.0818,0.0153,76
AESRC2020-INDIAN-ACCENT-G02523-G02523S3370,2.17,1.0384,0.4785,20
AESRC2020-INDIAN-ACCENT-G02582-G02582S2355,2.621,0.083,0.0317,49
AESRC2020-INDIAN-ACCENT-G02628-G02628S2354,3.837,0.0791,0.0206,58
AESRC2020-INDIAN-ACCENT-G02770-G02770S2354,3.972,0.082,0.0206,45
AESRC2020-INDIAN-ACCENT-G02796-G02796S2355,3.594,0.0843,0.0235,41
AESRC2020-INDIAN-ACCENT-G02801-G02801S2355,3.24,0.0813,0.0251,50
AESRC2020-INDIAN-ACCENT-G02930-G02930S2354,2.74,0.0835,0.0305,39
AESRC2020-INDIAN-ACCENT-G03084-G03084S2363,3.464,0.0832,0.024,39
AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,5.122,0.0796,0.0155,47
AESRC2020-INDIAN-ACCENT-G03133-G03133S1299,3.61,0.0819,0.0227,51
AESRC2020-INDIAN-ACCENT-G03234-G03234S1299,5.492,0.0816,0.0149,67
AESRC2020-INDIAN-ACCENT-G03234-G03234S2366,3.61,0.0787,0.0218,33
AESRC2020-INDIAN-ACCENT-G03294-G03294S1298,4.463,0.083,0.0186,62
AESRC2020-INDIAN-ACCENT-G03334-G03334S2355,2.524,0.0814,0.0323,27
AESRC2020-INDIAN-ACCENT-G03524-G03524S3380,2.072,0.0835,0.0403,19
AESRC2020-INDIAN-ACCENT-G03704-G03704S3376,3.269,0.08,0.0245,26
AESRC2020-INDIAN-ACCENT-G03749-G03749S2372,6.06,0.0841,0.0139,54
AESRC2020-INDIAN-ACCENT-G03804-G03804S2373,3.681,0.082,0.0223,53
AESRC2020-INDIAN-ACCENT-G03809-G03809S2371,3.675,0.081,0.0221,41
AESRC2020-INDIAN-ACCENT-G03841-G03841S3378,2.805,0.0817,0.0291,28
AESRC2020-INDIAN-ACCENT-G03853-G03853S3378,2.625,0.0791,0.0301,26
AESRC2020-INDIAN-ACCENT-G03884-G03884S1299,5.607,0.0868,0.0155,79
AESRC2020-INDIAN-ACCENT-G03899-G03899S3378,3.785,0.1167,0.0308,42
AESRC2020-INDIAN-ACCENT-G03903-G03903S1292,6.355,0.0831,0.0131,81
AESRC2020-INDIAN-ACCENT-G03924-G03924S1300,4.098,0.0849,0.0207,53
AESRC2020-INDIAN-ACCENT-G04008-G04008S2372,4.25,0.0881,0.0207,42
AESRC2020-INDIAN-ACCENT-G04061-G04061S1299,6.183,0.0865,0.014,69
AESRC2020-INDIAN-ACCENT-G04084-G04084S2373,4.025,0.0826,0.0205,32
AESRC2020-INDIAN-ACCENT-G10825-G10825S2354,4.285,0.0847,0.0198,50
AESRC2020-INDIAN-ACCENT-G10825-G10825S2355,2.575,0.082,0.0318,34
AESRC2020-INDIAN-ACCENT-G10839-G10839S2354,3.99,0.0823,0.0206,48
AESRC2020-INDIAN-ACCENT-G10858-G10858S3370,2.462,0.0817,0.0332,22
AESRC2020-INDIAN-ACCENT-G10940-G10940S1300,4.863,0.0852,0.0175,52
AESRC2020-INDIAN-ACCENT-G10965-G10965S1300,4.065,0.0817,0.0201,50
AESRC2020-INDIAN-ACCENT-G10965-G10965S2353,2.774,0.0845,0.0305,32
AESRC2020-INDIAN-ACCENT-G11785-G11785S1299,5.151,0.0892,0.0173,55
