split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,parakeet_ctc,transcript_clean,gold,in accordance to your request i am sending you sample pages of the dictionary,in accordance to your request i am sending you sample pages of the dictionary,in accordance to your request i' am sending you sample pages of the dictionary,in accordance to your request i am sending you sample pages of the dictionary,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,parakeet_ctc,transcript_clean,gold,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,i want to listen to joy to the world again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,parakeet_ctc,transcript_clean,gold,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,i want to listen to secret lovers again,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,,INDIAN,parakeet_ctc,transcript_clean,gold,laundry reminder,laundry reminder,laundry reminder,laundry reminder,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,parakeet_ctc,transcript_clean,gold,the pupil's party have got the election sewn up they are sure to win,the pupil s party have got the election sewn up they are sure to win,the people's party have got the election swun up they're sure to win,the people s party have got the election swun up theyre sure to win,0.2667,0.1176,0.7143,0.9333
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,parakeet_ctc,transcript_clean,gold,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,fill in the chart write names of your favorite band book and movie,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,parakeet_ctc,transcript_clean,gold,how much is stayfree sanitary pad drymax all night,how much is stayfree sanitary pad drymax all night,how much is staffy's sanitary pad dryax all night,how much is staffy s sanitary pad dryax all night,0.3333,0.1,0.7778,1.1111
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,,INDIAN,parakeet_ctc,transcript_clean,gold,replay the song gaal ni kadni,replay the song gaal ni kadni,replay the song galni katni,replay the song galni katni,0.5,0.1034,0.5,0.8333
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,parakeet_ctc,transcript_clean,gold,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,in a scramble in front of the goal the ball was kicked in,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,parakeet_ctc,transcript_clean,gold,the meeting was a dud as far as new business was concerned,the meeting was a dud as far as new business was concerned,the meeting was headed as far as new business was concerned,the meeting was headed as far as new business was concerned,0.1667,0.069,0.8,0.9167
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,parakeet_ctc,transcript_clean,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by mayapati shiriram chandra,play songs by mayapati shiriram chandra,0.3333,0.1795,0.6667,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,,INDIAN,parakeet_ctc,transcript_clean,gold,stop playing the mill,stop playing the mill,stop playing damel,stop playing damel,0.5,0.2857,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,parakeet_ctc,transcript_clean,gold,we must put our heads together and decide what to do,we must put our heads together and decide what to do,we must put our heads together and decide what to do,we must put our heads together and decide what to do,0.0,0.0,1.0,1.0
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S1300,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,parakeet_ctc,transcript_clean,gold,the mother set her naughty son over her knee and beat him,the mother set her naughty son over her knee and beat him,the mother sat her naughty son over her knee and beat him,the mother sat her naughty son over her knee and beat him,0.0833,0.0175,0.9091,1.0
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2353,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,parakeet_ctc,transcript_clean,gold,remove the show ogo bodhu sundori from my watch list,remove the show ogo bodhu sundori from my watch list,remove the show ogo boduundri from my watchist,remove the show ogo boduundri from my watchist,0.4,0.1154,0.6,0.8
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S2355,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,parakeet_ctc,transcript_clean,gold,what times can i visit akshardham temple,what times can i visit akshardham temple,what times can i visit aksharddam temple,what times can i visit aksharddam temple,0.1429,0.025,0.8571,1.0
test,AESRC2020-INDIAN-ACCENT-G00942-G00942S3370,AESRC2020-INDIAN-ACCENT-G00942,,INDIAN,parakeet_ctc,transcript_clean,gold,it's time to cook,it s time to cook,it's time to cook,it s time to cook,0.0,0.0,1.0,1.0
