model,Native_Region,corpus_wer_pct,num_samples
tiny,EAST,18.21,352
tiny,NORTH,19.45,202
tiny,SOUTH,20.6,362
tiny,WEST,18.92,69
base,EAST,16.81,352
base,NORTH,17.07,202
base,SOUTH,18.44,362
base,WEST,17.34,69
small,EAST,15.71,352
small,NORTH,16.22,202
small,SOUTH,16.03,362
small,WEST,17.22,69
medium,EAST,13.95,352
medium,NORTH,14.74,202
medium,SOUTH,15.34,362
medium,WEST,15.47,69
large,EAST,16.95,352
large,NORTH,15.1,202
large,SOUTH,15.67,362
large,WEST,15.06,69
large_v3_turbo,EAST,17.41,352
large_v3_turbo,NORTH,17.84,202
large_v3_turbo,SOUTH,18.53,362
large_v3_turbo,WEST,18.06,69
parakeet,EAST,15.44,352
parakeet,NORTH,16.06,202
parakeet,SOUTH,15.64,362
parakeet,WEST,14.86,69
parakeet_ctc,EAST,15.99,352
parakeet_ctc,NORTH,16.61,202
parakeet_ctc,SOUTH,16.86,362
parakeet_ctc,WEST,15.97,69
qwen3,EAST,15.81,352
qwen3,NORTH,16.26,202
qwen3,SOUTH,17.66,362
qwen3,WEST,16.51,69
medium_hf,EAST,14.08,352
medium_hf,NORTH,13.92,202
medium_hf,SOUTH,14.08,362
medium_hf,WEST,18.84,69
medium_ft,EAST,14.66,352
medium_ft,NORTH,13.31,202
medium_ft,SOUTH,13.66,362
medium_ft,WEST,22.53,69
tiny_hf,EAST,22.83,352
tiny_hf,NORTH,24.07,202
tiny_hf,SOUTH,21.28,362
tiny_hf,WEST,17.76,69
tiny_ft,EAST,20.25,352
tiny_ft,NORTH,18.65,202
tiny_ft,SOUTH,18.73,362
tiny_ft,WEST,17.69,69
small_hf,EAST,18.23,352
small_hf,NORTH,14.8,202
small_hf,SOUTH,15.95,362
small_hf,WEST,27.53,69
small_ft,EAST,16.79,352
small_ft,NORTH,17.48,202
small_ft,SOUTH,15.13,362
small_ft,WEST,15.57,69
