vary,recall_overrun,ratio_overrun,recall_mismatch,min_ref_words,artifact_share_pct
overrun,0.7,1.3,0.4,4,1.1
overrun,0.7,1.4,0.4,4,0.9
overrun,0.7,1.5,0.4,4,0.8
overrun,0.7,1.6,0.4,4,0.6
overrun,0.7,1.7,0.4,4,0.6
overrun,0.75,1.3,0.4,4,1.1
overrun,0.75,1.4,0.4,4,0.9
overrun,0.75,1.5,0.4,4,0.8
overrun,0.75,1.6,0.4,4,0.6
overrun,0.75,1.7,0.4,4,0.6
overrun,0.8,1.3,0.4,4,1.1
overrun,0.8,1.4,0.4,4,0.9
overrun,0.8,1.5,0.4,4,0.8
overrun,0.8,1.6,0.4,4,0.6
overrun,0.8,1.7,0.4,4,0.6
overrun,0.85,1.3,0.4,4,1.0
overrun,0.85,1.4,0.4,4,0.9
overrun,0.85,1.5,0.4,4,0.8
overrun,0.85,1.6,0.4,4,0.6
overrun,0.85,1.7,0.4,4,0.6
overrun,0.9,1.3,0.4,4,1.0
overrun,0.9,1.4,0.4,4,0.8
overrun,0.9,1.5,0.4,4,0.7
overrun,0.9,1.6,0.4,4,0.6
overrun,0.9,1.7,0.4,4,0.5
mismatch,0.8,1.5,0.3,4,0.5
mismatch,0.8,1.5,0.35,4,0.6
mismatch,0.8,1.5,0.4,4,0.8
mismatch,0.8,1.5,0.45,4,1.0
mismatch,0.8,1.5,0.5,4,1.2
min_ref,0.8,1.5,0.4,2,1.4
min_ref,0.8,1.5,0.4,3,0.9
min_ref,0.8,1.5,0.4,4,0.8
min_ref,0.8,1.5,0.4,5,0.7
min_ref,0.8,1.5,0.4,6,0.6
