split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,qwen3,transcript_clean,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,वाप तिर्दित कुछ झुकी पल के कम आउट,व प त र द त क छ झ क पल क कम आउट,1.75,0.8333,0.0,1.75
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,qwen3,transcript_clean,gold,skip apni mitti,skip apni mitti,उसकी अपनी मिट्टी,उसक अपन म ट ट,1.6667,0.8667,0.0,1.6667
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,qwen3,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite Karutha Meethu.,favorite karutha meethu,1.5,0.1818,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,qwen3,transcript_clean,gold,will there be snow in amsterda,will there be snow in amsterda,Belgian businessman in Amsterdam.,belgian businessman in amsterdam,0.8333,0.5667,0.1667,0.6667
test,AESRC2020-INDIAN-ACCENT-G03233-G03233S2365,AESRC2020-INDIAN-ACCENT-G03233,5.467,INDIAN,qwen3,transcript_clean,gold,when will the next series of bhagonwali baante apni taqdeer come out,when will the next series of bhagonwali baante apni taqdeer come out,When will the next series of भागो वाली बांधे अपनी धक्कीर come out?,when will the next series of भ ग व ल ब ध अपन धक क र come out,0.8333,0.3971,0.6667,1.5
test,AESRC2020-INDIAN-ACCENT-G22662-G22662S2354,AESRC2020-INDIAN-ACCENT-G22662,4.005,INDIAN,qwen3,transcript_clean,gold,add the show taarak mehta ka ooltah chashmah to the queue,add the show taarak mehta ka ooltah chashmah to the queue,Eight hundred Tarak Mehta का उल्टा चश्मा to the queue.,eight hundred tarak mehta क उल ट चश म to the queue,0.8182,0.4912,0.4,1.0909
test,AESRC2020-INDIAN-ACCENT-G03453-G03453S2355,AESRC2020-INDIAN-ACCENT-G03453,3.819,INDIAN,qwen3,transcript_clean,gold,add the show jeet jayenge hum to the queue,add the show jeet jayenge hum to the queue,"At the show, जीत जाएंगे हम to the queue.",at the show ज त ज ए ग हम to the queue,0.7778,0.381,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G53371-G53371S2354,AESRC2020-INDIAN-ACCENT-G53371,3.58,INDIAN,qwen3,transcript_clean,gold,restart this episode of rukawat ke liye khed hai,restart this episode of rukawat ke liye khed hai,Restart this episode of Rukavat के लिए खेद है।,restart this episode of rukavat क ल ए ख द ह,0.7778,0.2917,0.4444,1.2222
test,AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,AESRC2020-INDIAN-ACCENT-G90236,3.115,INDIAN,qwen3,transcript_clean,gold,play all episodes of aane wala pal,play all episodes of aane wala pal,Play all episodes of आने वाला पाल.,play all episodes of आन व ल प ल,0.7143,0.3235,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G12416-G12416S2355,AESRC2020-INDIAN-ACCENT-G12416,4.215,INDIAN,qwen3,transcript_clean,gold,how popular is the show rukawat ke liye khed hai,how popular is the show rukawat ke liye khed hai,How popular is the show? Recruitment के लिए खेद है।,how popular is the show recruitment क ल ए ख द ह,0.7,0.4167,0.5,1.2
