split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976899562_f778_chunk_0.wav,,0.359,Female,45-60,Bengali,base,transcript_clean,gold,Help,help,"You two can ask a question because it's going to add a key because again, there's the keyboard any other way. It can now insert the recorder too",you two can ask a question because it s going to add a key because again there s the keyboard any other way it can now insert the recorder too,30.0,35.0,0.0,30.0
test,281474976899792_f1793_chunk_1.wav,,0.5943125,Female,30-45,Odia,base,transcript_clean,gold,Puri,puri,Nobody will not drop out each day. Somebody get up from your computer and will get out another exit.,nobody will not drop out each day somebody get up from your computer and will get out another exit,19.0,23.5,0.0,19.0
test,281474976897497_f143_chunk_0.wav,,0.19425,Male,30-45,Sindhi,base,transcript_clean,gold,Jump,jump,"But you are going to like 사업 kid do. It's a very difficult item. Gin. All right,",but you are going to like 사업 kid do it s a very difficult item gin all right,18.0,18.5,0.0,18.0
test,281474976893653_f697_chunk_0.wav,,0.4196875,Male,60+,Marathi,base,transcript_clean,gold,Disagree,disagree,And so that we're going to begin to start that Bluetooth bridge and you can display,and so that were going to begin to start that bluetooth bridge and you can display,16.0,9.375,0.0,16.0
test,281474976886861_f1932_chunk_1.wav,,0.6966875,Female,18-30,Tamil,base,transcript_clean,gold,Kerala,kerala,Read the number Subscribe Please click on the bell icon and share it with your friends,read the number subscribe please click on the bell icon and share it with your friends,16.0,13.5,0.0,16.0
test,281474976893648_f150_chunk_0.wav,,0.4334375,Male,60+,Marathi,base,transcript_clean,gold,Agree,agree,"Hence I advise you not to search under PrasteClub or instance, make sure that the",hence i advise you not to search under prasteclub or instance make sure that the,15.0,15.2,0.0,15.0
test,281474976901136_f1619_chunk_0.wav,,0.332375,Female,45-60,Maithili,base,transcript_clean,gold,Helped,helped,I have someone named whoa no who said actually I think maybe in young,i have someone named whoa no who said actually i think maybe in young,14.0,10.8333,0.0,14.0
test,281474976897093_f2726_chunk_0.wav,,0.280375,Male,18-30,Hindi,base,transcript_clean,gold,Eight,eight,"Second, it's YouTube primarily for C YouTube News read, which is led to��",second it s youtube primarily for c youtube news read which is led to,14.0,13.0,0.0,14.0
test,281474976896060_f952_chunk_0.wav,,0.2725625,Male,30-45,Kannada,base,transcript_clean,gold,Jump,jump,Be precisely those that you had. A big loudly VaKai Kali..),be precisely those that you had a big loudly vakai kali,11.0,13.5,0.0,11.0
test,281474976894801_f1301_chunk_0.wav,,0.4734375,Female,18-30,Malayalam,base,transcript_clean,gold,Agree,agree,taken care of animals precious life and compassion from soul älvi.,taken care of animals precious life and compassion from soul älvi,11.0,12.2,0.0,11.0
test,281474976897101_f410_chunk_0.wav,,0.4253125,Male,18-30,Hindi,base,transcript_clean,gold,Play,play,Let's go to group name on Live скажs birthday.,let s go to group name on live скажs birthday,10.0,10.25,0.0,10.0
test,281474976896999_f1689_chunk_4.wav,,0.8646875,Male,30-45,Bengali,base,transcript_clean,gold,in West Bengal,in west bengal,"in Hindu and Catholic. Since then, we have sought to be pursuant dubbed in Kingせhitoran. I think whether he is aler wheelchair or of abilities, he resides in Thailand.",in hindu and catholic since then we have sought to be pursuant dubbed in kingせhitoran i think whether he is aler wheelchair or of abilities he resides in thailand,9.3333,10.5714,0.3333,9.6667
test,281474976893988_f2006_chunk_1.wav,,0.55575,Female,45-60,Telugu,base,transcript_clean,gold,Rama,rama,"Oh, I wish I knew everybody lied to you.",oh i wish i knew everybody lied to you,9.0,9.25,0.0,9.0
test,281474976902189_f2172_chunk_3.wav,,0.882875,Female,45-60,Urdu,base,transcript_clean,gold,Sikhism,sikhism,"Otherwise, I'll finish the mistake if I eat it.",otherwise ill finish the mistake if i eat it,9.0,5.5714,0.0,9.0
test,281474976898618_f2270_chunk_1.wav,,1.018375,Male,60+,Bengali,base,transcript_clean,gold,abysmal,abysmal,so it squares alpha cousin I Am afterug i,so it squares alpha cousin i am afterug i,9.0,5.2857,0.0,9.0
test,281474976899552_f2424_chunk_0.wav,,0.5275625,Female,45-60,Bengali,base,transcript_clean,gold,Previous,previous,Keep內存 drugs agreed toward the BaR Fan,keep內存 drugs agreed toward the bar fan,7.0,4.25,0.0,7.0
test,281474976897387_f2253_chunk_2.wav,,0.9724375,Male,18-30,Odia,base,transcript_clean,gold,Gajapati,gajapati,God May All Praise be to Allah,god may all praise be to allah,7.0,3.0,0.0,7.0
test,281474976897634_f275_chunk_0.wav,,0.2164375,Male,30-45,Tamil,base,transcript_clean,gold,Help,help,such! I did not really like their,such i did not really like their,7.0,7.25,0.0,7.0
test,281474976900326_f424_chunk_0.wav,,0.679625,Male,45-60,Kashmiri,base,transcript_clean,gold,Visual,visual,Pick it wrong everything out,pick it wrong everything out,5.0,4.3333,0.0,5.0
test,281474976893764_f1557_chunk_0.wav,,0.5244375,Male,30-45,Punjabi,base,transcript_clean,gold,Play,play,This can be flat here.,this can be flat here,5.0,4.75,0.0,5.0
