dataset,model,mode,reference_source,normalizer,corpus_wer_pct,corpus_cer_pct,mean_wer_pct,median_wer_pct,std_wer_pct,p90_wer_pct,p95_wer_pct,insertion_rate_pct,num_samples,total_ref_words,total_errors
aesrc,tiny,transcript_raw,gold,minimal,13.91,6.57,15.68,10.0,19.93,40.0,50.0,2.06,1731,17562,2442
aesrc,tiny,transcript_clean,gold,custom,13.66,6.24,15.35,9.09,19.76,40.0,50.0,2.16,1731,17447,2384
aesrc,tiny,whisper_norm,gold,whisper,13.21,6.2,15.5,8.33,30.96,40.0,50.0,2.13,1731,17551,2318
aesrc,base,transcript_raw,gold,minimal,10.27,4.66,11.72,7.14,16.73,33.33,42.86,1.18,1731,17562,1803
aesrc,base,transcript_clean,gold,custom,9.96,4.3,11.33,6.67,16.53,33.33,42.86,1.29,1731,17447,1738
aesrc,base,whisper_norm,gold,whisper,9.64,4.32,11.49,0.0,28.76,30.0,42.86,1.24,1731,17551,1692
aesrc,small,transcript_raw,gold,minimal,7.52,3.2,8.67,0.0,15.02,25.0,37.5,0.93,1731,17562,1320
aesrc,small,transcript_clean,gold,custom,7.23,2.87,8.3,0.0,14.81,25.0,36.36,0.99,1731,17447,1261
aesrc,small,whisper_norm,gold,whisper,6.96,2.87,8.56,0.0,28.09,25.0,36.36,1.05,1731,17551,1221
aesrc,medium,transcript_raw,gold,minimal,6.05,2.52,6.94,0.0,12.55,22.22,33.33,0.67,1731,17562,1063
aesrc,medium,transcript_clean,gold,custom,5.73,2.17,6.53,0.0,12.25,22.22,33.33,0.74,1731,17447,1000
aesrc,medium,whisper_norm,gold,whisper,5.41,2.11,6.43,0.0,14.38,21.43,33.33,0.7,1731,17551,950
aesrc,large,transcript_raw,gold,minimal,5.39,2.19,6.22,0.0,12.18,20.0,28.57,0.54,1731,17562,947
aesrc,large,transcript_clean,gold,custom,5.2,1.93,5.95,0.0,12.1,20.0,28.57,0.66,1731,17447,907
aesrc,large,whisper_norm,gold,whisper,4.78,1.81,5.53,0.0,11.22,20.0,28.57,0.53,1731,17551,839
aesrc,large_v3_turbo,transcript_raw,gold,minimal,6.13,2.49,7.0,0.0,12.41,22.22,33.33,0.59,1731,17562,1076
aesrc,large_v3_turbo,transcript_clean,gold,custom,5.81,2.14,6.58,0.0,11.97,21.43,30.0,0.66,1731,17447,1013
aesrc,large_v3_turbo,whisper_norm,gold,whisper,5.56,2.13,6.91,0.0,26.65,20.0,33.33,0.66,1731,17551,975
aesrc,parakeet,transcript_raw,gold,minimal,6.19,2.41,7.3,0.0,12.62,23.08,33.33,0.69,1731,17562,1087
aesrc,parakeet,transcript_clean,gold,custom,6.26,2.4,7.34,0.0,12.56,25.0,33.33,0.72,1731,17447,1092
aesrc,parakeet,whisper_norm,gold,whisper,5.93,2.36,7.04,0.0,12.41,23.08,33.33,0.68,1731,17551,1040
aesrc,parakeet_ctc,transcript_raw,gold,minimal,7.38,2.94,8.66,0.0,13.67,27.27,37.5,0.85,1731,17562,1296
aesrc,parakeet_ctc,transcript_clean,gold,custom,7.5,2.96,8.75,0.0,13.74,27.27,37.5,0.87,1731,17447,1309
aesrc,parakeet_ctc,whisper_norm,gold,whisper,7.13,2.95,8.44,0.0,13.66,27.27,37.5,0.85,1731,17551,1252
aesrc,qwen3,transcript_raw,gold,minimal,5.14,1.97,6.06,0.0,13.32,20.0,28.57,0.62,1731,17562,903
aesrc,qwen3,transcript_clean,gold,custom,5.23,1.99,6.12,0.0,13.35,20.0,28.57,0.66,1731,17447,912
aesrc,qwen3,whisper_norm,gold,whisper,4.89,1.97,5.8,0.0,12.44,20.0,28.57,0.55,1731,17551,858
aesrc,medium_hf,transcript_raw,gold,minimal,5.92,2.5,6.78,0.0,12.11,22.22,30.0,0.6,1731,17562,1040
