ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
AESRC2020-INDIAN-ACCENT-G00942-G00942S1298,4.747,0.5659,0.1192,53
AESRC2020-INDIAN-ACCENT-G01056-G01056S2354,5.48,0.4925,0.0899,45
AESRC2020-INDIAN-ACCENT-G01197-G01197S2355,3.558,0.4541,0.1276,47
AESRC2020-INDIAN-ACCENT-G01218-G01218S1300,6.549,0.6411,0.0979,71
AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,3.549,0.4687,0.132,32
AESRC2020-INDIAN-ACCENT-G01301-G01301S2355,4.216,0.5444,0.1291,44
AESRC2020-INDIAN-ACCENT-G01503-G01503S1299,5.12,0.6307,0.1232,63
AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,2.653,0.4711,0.1776,29
AESRC2020-INDIAN-ACCENT-G01534-G01534S2355,4.5,0.5217,0.1159,43
AESRC2020-INDIAN-ACCENT-G01754-G01754S1298,3.935,0.6011,0.1527,55
AESRC2020-INDIAN-ACCENT-G01784-G01784S1299,6.355,0.6226,0.098,63
AESRC2020-INDIAN-ACCENT-G01784-G01784S1300,5.37,0.5098,0.0949,49
AESRC2020-INDIAN-ACCENT-G01786-G01786S1300,4.74,0.5233,0.1104,62
AESRC2020-INDIAN-ACCENT-G01832-G01832S1300,4.002,0.5018,0.1254,42
AESRC2020-INDIAN-ACCENT-G01832-G01832S2365,4.66,0.5887,0.1263,48
AESRC2020-INDIAN-ACCENT-G01955-G01955S1300,6.57,0.673,0.1024,68
AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,4.525,0.5416,0.1197,46
AESRC2020-INDIAN-ACCENT-G01958-G01958S1300,4.675,0.6599,0.1411,66
AESRC2020-INDIAN-ACCENT-G01960-G01960S1299,4.365,0.4826,0.1106,45
AESRC2020-INDIAN-ACCENT-G02067-G02067S1278,7.1,0.5166,0.0728,62
AESRC2020-INDIAN-ACCENT-G02150-G02150S1300,5.426,0.5936,0.1094,66
AESRC2020-INDIAN-ACCENT-G02287-G02287S1300,3.8,0.4366,0.1149,47
AESRC2020-INDIAN-ACCENT-G02315-G02315S2353,2.976,0.371,0.1247,25
AESRC2020-INDIAN-ACCENT-G02320-G02320S2354,2.316,0.4395,0.1898,27
