split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,tiny,whisper_norm,gold,one nine zero four eight six nine one six three,1904869163,1 9 0 4 8 6 9 1 6 3,one 9 0 4 8 6 9 one 6 3,10.0,1.5,0.0,10.0
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny,whisper_norm,gold,will there be snow in amsterda,will there be snow in amsterda,"So, they are not going to hear the bell now here, I already have a story.",so they are not going to hear the bell now here i already have a story,2.6667,1.7,0.0,2.6667
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,tiny,whisper_norm,gold,five fifty four am,554 am,5 54m.,5 54 m,1.5,0.3333,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,"Please, don't forget to subscribe to my channel.",please do not forget to subscribe to my channel,1.5,0.7949,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13236-G13236S2364,AESRC2020-INDIAN-ACCENT-G13236,3.439,INDIAN,tiny,whisper_norm,gold,who writes seshulatha kosuru music,who writes seshulatha kosuru music,Hooray it's take humour to conceal music.,hooray it is take humor to conceal music,1.4,0.7059,0.2,1.6
test,AESRC2020-INDIAN-ACCENT-G03086-G03086S2364,AESRC2020-INDIAN-ACCENT-G03086,5.122,INDIAN,tiny,whisper_norm,gold,remove shows similar to chakravartin ashoka samrat,remove shows similar to chakravartin ashoka samrat,Remove shoes similar to chakra worth in a shock sun rot,remove shoes similar to chakra worth in a shock sun rot,1.1429,0.26,0.4286,1.5714
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny,whisper_norm,gold,skip apni mitti,skip apni mitti,Okay.,okay,1.0,0.8667,0.0,0.3333
test,AESRC2020-INDIAN-ACCENT-G90236-G90236S2355,AESRC2020-INDIAN-ACCENT-G90236,3.115,INDIAN,tiny,whisper_norm,gold,play all episodes of aane wala pal,play all episodes of aane wala pal,please follow us on NAA imbalaur.,please follow us on naa imbalaur,1.0,0.6471,0.0,0.8571
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,"favourite, car oil",favorite car oil,1.0,0.4762,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The Dutch based jump-up power center have taken away.,the dutch based jump up power center have taken away,1.0,0.5111,0.25,1.25
