split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,parakeet_ctc,hf_raw,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625,1.4057,0.9412,2.5417
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),parakeet_ctc,hf_raw,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,ate could be something like well two people arrive per minute okay so that's two and i want to ask the question what is the probability zero people will arrive over the next minute so i' say on average two people arrive at the bus stop k is that zero right so i put i'll just substitute k with zero,ate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so i say on average two people arrive at the bus stop k is that zero right so i put i ll just substitute k with zero,1.25,0.7862,0.1176,1.2917
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,parakeet_ctc,hf_raw,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,x by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,1.1,0.956,0.6471,1.4
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),parakeet_ctc,hf_raw,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,1.0179,0.7091,0.2571,1.1429
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,parakeet_ctc,hf_raw,alt,considered in problem forty minus five,considered in problem forty minus five,considered in problem forty five ok let us do that,considered in problem forty five ok let us do that,1.0,0.4737,0.8333,1.6667
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,parakeet_ctc,hf_raw,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,by what is the concentration of b and plus in the solution so rn minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b and plus in thel,by what is the concentration of b and plus in the solution so rn minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b and plus in thel,0.9787,0.7082,0.1667,0.8936
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,parakeet_ctc,hf_raw,alt,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,i would not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even millions of process yes right right so one is the amount of resources how much memory i have how much local  or shared,i would not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even millions of process yes right right so one is the amount of resources how much memory i have how much local or shared,0.9714,0.9101,0.9,1.8286
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,parakeet_ctc,hf_raw,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,multiayor numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,multiayor numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,0.9512,0.8276,0.25,0.8537
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,parakeet_ctc,hf_raw,alt,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,ility this will continue in the next,ility this will continue in the next,0.9091,0.879,0.1081,0.1591
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),parakeet_ctc,hf_raw,alt,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much zero fifty minus two twenty minus two thousand and fifty minus nine so eight pi mu s ds dt pi r square h rho g so s ds dt r square h rho g eight mu,in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s ds dt is equal to pi r square h rho g so s d s dt is equal to r square h rho g by h mu,in short time s is much much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so eight pi mu s ds dt is equal to pi r square h rho g so s d s dt is equal to r square h rho g by h mu,0.8837,0.6818,0.68,1.5581
