split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,VVTFxiwiWB8,319,M,SLOW,EAST,61.059,Engineering,Pollution Modelling-Surface Water(Contd...),medium_hf,transcript_clean,gold,"This is say biochemical oxygen demand, biochemical, biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living waste or living organisms. So, we can see this you know waste or living organism, we can observe that in this biochemical oxygen, biological oxygen demand would include",this is say biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that in this biochemical oxygen biological oxygen demand would include,"oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living, waste or living organisms. So, we can see this you know waste or living organism, we can observe that you know this biochemical oxygen, biological oxygen demand would include this",oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that you know this biochemical oxygen biological oxygen demand would include this,4.6207,5.0716,0.9615,5.5517
test,RbuSM2lRW_o,187,F,AVG,WEST,33.69,Non-Engineering,Tutorial 2,medium_hf,transcript_clean,gold,functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square now when we take these 3 functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a 1 a 2 and then we determine,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two and then we determine,"functions f x is equal to 1, f x is equal to x and f x is equal to x square, then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1, f x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 8, a 9, a 10, a 11, a 12, a 13, a 14, a 15, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a",functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two a three a four a five a six a seven a eight a nine a ten a eleven a twelve a thirteen a fourteen a fifteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a,2.8804,3.2956,0.9737,3.837
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,medium_hf,transcript_clean,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen c times n minus 1 minus 2j sorry this is I made a mistake here j2 is 1 but j2 is 2j2 so this should be counted as 2 into 1 that is 2 and j is 5. So f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n minus one minus 2j sorry this is i made a mistake here j2 is one but j2 is 2j2 so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.4167,1.2925,0.9412,2.3333
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),medium_hf,transcript_clean,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive permanent okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people arrive at the bus stop K is that zero right so I'll put substitute K with zero,rate could be something like well two people arrive permanent okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put substitute k with zero,1.1875,0.7759,0.1176,1.2083
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium_hf,transcript_clean,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"by so it is h square by so it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. Yes.",by so it is h square by so it was three factorial and that multiplied by two so that it becomes three and divided by two yes,1.05,0.9341,0.6471,1.35
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,medium_hf,transcript_clean,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of Bn plus in the solution. So, Rn minus Bn plus resin means activity of Bn plus in the resin and Bn plus 1, S means activity of Bn plus in the solution.",by what is the concentration of bn plus in the solution so rn minus bn plus resin means activity of bn plus in the resin and bn plus one s means activity of bn plus in the solution,0.9574,0.7082,0.1667,0.8085
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),medium_hf,transcript_clean,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds. Once the sludge is dried, how can we remove it? We have to remove the sludge from the sludge drying bed manually. So, it is a labor intensive process and",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process and,0.9464,0.697,0.2857,1.125
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,medium_hf,transcript_clean,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. As many number of processors as you need, which means it is valid for a single processor to machine of even millions of processors. Yes. Right. So one is the amount of resources, how much memory I have, how much local versus shared.",i wont say assumption but it is an abstraction well talk about how it affects our analysis as many number of processors as you need which means it is valid for a single processor to machine of even millions of processors yes right so one is the amount of resources how much memory i have how much local versus shared,0.9143,0.8202,0.8,1.7143
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,medium_hf,transcript_clean,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,This we will continue in the next class.,this we will continue in the next class,0.9111,0.8656,0.1053,0.1778
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,medium_hf,transcript_clean,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,Now the next problem is that we have to tell me how I can do it,now the next problem is that we have to tell me how i can do it,0.9024,0.7586,0.2143,0.3902
