ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,0.0933,0.004,222
gS5iH0QkPHg,25.59,0.1055,0.0041,330
D7Zu1-9kSUg,17.211,0.08,0.0046,229
rNdMsEHElc4,27.01,0.1101,0.0041,330
aD_BO4DwxlU,21.94,0.0964,0.0044,261
_A5wRmd2rwI,23.04,0.1031,0.0045,364
fGR_qtyRP_I,33.05,0.7707,0.0233,382
5hscXtk6usE,30.291,0.1148,0.0038,364
J_lm2iJ0l0k,27.43,0.1155,0.0042,360
kPnr_57oii4,29.74,0.1043,0.0035,82
hOoGiaUkKpc,25.28,0.1075,0.0043,355
XbUgxPtJuUg,19.66,0.0844,0.0043,238
GOUowwtdcPU,21.16,0.0875,0.0041,354
H1cq5p2nryw,23.09,0.0913,0.004,275
6lqsHV_2yJc,19.76,0.0768,0.0039,205
f2kikEusCEM,23.459,0.0878,0.0037,307
uTwm3Zv1HfA,25.431,0.0898,0.0035,242
xacD9zJCqZ4,26.68,0.1006,0.0038,346
h47JDhpdYe0,24.081,0.0841,0.0035,181
vNNLvowQqoU,23.769,0.0894,0.0038,248
thF6wrlwdTQ,20.33,0.0717,0.0035,149
whCu4Xl3m98,14.58,0.0614,0.0042,114
P5nwZQe4QYI,19.92,0.0829,0.0042,389
JH9x87yjoEk,26.319,0.0965,0.0037,342
4ZydYE-0994,24.601,0.093,0.0038,364
w_ZPOjcxD8U,33.82,0.7588,0.0224,284
1JGSQQRu4fg,12.321,0.0643,0.0052,178
F2NqTIej98Q,28.819,0.1149,0.004,298
pGu3HxJQF7I,24.49,0.0982,0.004,256
0zceBXshBzA,22.88,0.0966,0.0042,320
6704d9DDwLo,24.379,0.1,0.0041,283
VLv1adcoiWo,25.249,0.1106,0.0044,342
dgyPeFemyL8,23.23,0.0994,0.0043,276
IcN9rLzhV3U,26.53,0.1032,0.0039,247
0AuMdY3IyJ8,27.74,0.1068,0.0039,241
pGT6iJ_z5Vs,26.35,0.1061,0.004,239
Ct2RYsd7blI,24.67,0.1056,0.0043,292
too4A5mo1Pk,22.25,0.1005,0.0045,360
jnQFMdMSRAE,25.319,0.0993,0.0039,251
Z4WvQ152QP8,21.67,0.1013,0.0047,382
fwRFaZnr2WU,24.49,0.1035,0.0042,357
C1XMxZEjP8I,22.65,0.0921,0.0041,222
FXEgxrRFVMQ,17.31,0.0759,0.0044,159
4LgvOdyaJ04,23.82,0.0921,0.0039,370
kVr9gGPuThY,20.959,0.0785,0.0037,190
d7gzALqU95Y,28.34,0.0977,0.0034,360
trHd9k3WKWg,33.63,0.11,0.0033,323
zz3cEoeWrUo,20.53,0.0809,0.0039,309
DzF13C0g40A,24.42,0.0838,0.0034,140
jcds3fbVLg0,27.45,0.0847,0.0031,172
djzzZHbUc80,25.36,0.0906,0.0036,322
gxges_uq5lc,23.58,0.0829,0.0035,260
PcQlvbmHDVY,28.38,0.0969,0.0034,262
aGM0r3QsYYU,35.669,0.7534,0.0211,374
p-JPAGGOvjU,22.07,0.0808,0.0037,220
Y03fkk2zdOE,23.7,0.0848,0.0036,268
pLPQGrvV4_g,29.071,0.0991,0.0034,371
lmr4kETnwi0,22.05,0.0875,0.004,347
7r7rLJqhBBw,19.851,0.086,0.0043,346
JVdBgP5SD14,29.74,0.0954,0.0032,350
rL47ZBWKRd0,19.65,0.0856,0.0044,364
4vl_r79DBKU,24.459,0.0876,0.0036,306
UfS8-eLsxRA,24.41,0.0932,0.0038,353
qXZ11_ZbxOs,26.8,0.0913,0.0034,284
EayOCWaiRkw,27.8,0.0917,0.0033,208
2LyY4t0Gfvs,34.231,0.1194,0.0035,350
Byf8i1KkBiY,20.381,0.0754,0.0037,191
hric4h80PDc,22.6,0.0886,0.0039,310
zVkYmU_CUTs,16.759,0.0783,0.0047,283
LORmHAC_vPo,29.63,0.0877,0.003,147
DPy4x6ffCrw,18.87,0.0793,0.0042,323
OhERfauZmg0,27.86,0.0963,0.0035,309
6aec4K8H9lE,36.23,0.7633,0.0211,305
Rm-APM83TKc,21.98,0.0871,0.004,295
_Bds8lC3Pog,25.27,0.1121,0.0044,366
o3mpbZ_FRd0,5.34,0.0499,0.0093,43
4WM8zLqbEsE,22.081,0.0835,0.0038,281
9xvvXx96_CI,26.29,0.0918,0.0035,276
Ok57xBmSU-o,25.721,0.0954,0.0037,254
x-Gn-sxbIVU,23.6,0.093,0.0039,349
eF5IzBMbQrc,21.29,0.0737,0.0035,159
994ZNi7rSXo,23.59,0.0869,0.0037,308
irudCaBrij0,22.46,0.0854,0.0038,279
DWsJ_XUm23s,18.631,0.0811,0.0044,278
G0cJFabIo7c,21.23,0.0817,0.0038,275
0JJxZ-OSEek,24.23,0.0944,0.0039,378
_h6CSuwWqYg,18.89,0.085,0.0045,327
8v1gUk4Mp2E,29.539,0.1021,0.0035,361
3GANGKHWwL4,22.43,0.0815,0.0036,250
VmnzH3GZiKw,20.709,0.0857,0.0041,366
YbxyPM62bmM,22.57,0.0769,0.0034,154
bkzKVsIEjxk,38.81,0.7753,0.02,369
BEkK73VEjes,29.7,0.0988,0.0033,307
BFBPD4Og4Ts,23.88,0.0881,0.0037,330
pu2OzGhv1HI,29.3,0.0995,0.0034,342
ZIHXB0bF7jI,24.0,0.089,0.0037,352
drt3AtQPQmE,26.901,0.0962,0.0036,312
_HSRZMTQCF4,27.99,0.0885,0.0032,176
_45M-dO99-M,31.5,0.103,0.0033,320
Vpoi5W6a3lo,17.64,0.0779,0.0044,316
gQ3q2G4bWz4,22.42,0.0782,0.0035,215
aCvceLLrE0k,29.62,0.0959,0.0032,279
KYbmJo4gN8c,16.239,0.0744,0.0046,269
M4qSgILzluk,23.92,0.0894,0.0037,254
ID_gk0aSo0Y,23.95,0.0874,0.0036,311
h6PayciBR2U,23.159,0.0862,0.0037,285
qij9U1yUXdk,27.689,0.0945,0.0034,265
tg4fRsBUkt8,28.931,0.0982,0.0034,346
2O7hALzoIBw,37.64,0.1142,0.003,292
5uybKFkufN4,20.42,0.081,0.004,358
TSU2VE38qUI,20.4,0.0821,0.004,346
jtMZfLViZu8,37.02,0.1201,0.0032,382
2eMzsfgLgsE,25.179,0.0878,0.0035,324
L5dDpM_qFw8,24.2,0.0884,0.0037,311
WUCMavXbJo4,23.3,0.092,0.004,354
K9O2HfajDrY,16.21,0.0674,0.0042,182
CCs22FNcCfU,16.229,0.072,0.0044,276
xYs72hkKM1M,27.17,0.0937,0.0034,299
pPOXG7XRKTw,16.829,0.0755,0.0045,270
3iplfAfGzzI,37.9,0.1125,0.003,234
7so_WOmSgGo,25.499,0.0897,0.0035,237
