ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,3.4477,0.1484,229
gS5iH0QkPHg,25.59,3.0581,0.1195,303
D7Zu1-9kSUg,17.211,1.7774,0.1033,226
rNdMsEHElc4,27.01,3.1922,0.1182,334
aD_BO4DwxlU,21.94,2.1801,0.0994,263
_A5wRmd2rwI,23.04,2.5721,0.1116,355
fGR_qtyRP_I,33.05,3.3407,0.1011,368
5hscXtk6usE,30.291,2.8533,0.0942,356
J_lm2iJ0l0k,27.43,2.7602,0.1006,349
kPnr_57oii4,29.74,1.6258,0.0547,113
hOoGiaUkKpc,25.28,2.3822,0.0942,355
XbUgxPtJuUg,19.66,2.1482,0.1093,234
GOUowwtdcPU,21.16,2.7638,0.1306,354
H1cq5p2nryw,23.09,2.6065,0.1129,249
6lqsHV_2yJc,19.76,1.4563,0.0737,173
f2kikEusCEM,23.459,2.5158,0.1072,316
uTwm3Zv1HfA,25.431,2.0916,0.0822,195
xacD9zJCqZ4,26.68,2.6069,0.0977,337
h47JDhpdYe0,24.081,1.7119,0.0711,153
vNNLvowQqoU,23.769,2.4739,0.1041,239
thF6wrlwdTQ,20.33,0.9367,0.0461,105
whCu4Xl3m98,14.58,1.9014,0.1304,161
P5nwZQe4QYI,19.92,2.847,0.1429,363
JH9x87yjoEk,26.319,3.1846,0.121,342
4ZydYE-0994,24.601,2.4384,0.0991,362
w_ZPOjcxD8U,33.82,2.9473,0.0871,287
1JGSQQRu4fg,12.321,1.6349,0.1327,169
F2NqTIej98Q,28.819,3.0858,0.1071,326
pGu3HxJQF7I,24.49,1.8891,0.0771,255
0zceBXshBzA,22.88,2.4922,0.1089,318
6704d9DDwLo,24.379,2.4739,0.1015,285
VLv1adcoiWo,25.249,3.0756,0.1218,328
dgyPeFemyL8,23.23,2.2673,0.0976,269
IcN9rLzhV3U,26.53,2.2203,0.0837,246
0AuMdY3IyJ8,27.74,2.0518,0.074,203
pGT6iJ_z5Vs,26.35,2.3091,0.0876,238
Ct2RYsd7blI,24.67,2.0803,0.0843,272
too4A5mo1Pk,22.25,2.5713,0.1156,363
jnQFMdMSRAE,25.319,2.4322,0.0961,248
Z4WvQ152QP8,21.67,7.7915,0.3596,419
fwRFaZnr2WU,24.49,2.5437,0.1039,350
C1XMxZEjP8I,22.65,2.1407,0.0945,222
