split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,large_v3_turbo,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,"Favorite, Karutha Mewtwo.",favorite karutha mewtwo,1.5,0.2727,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,large_v3_turbo,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,1 9 0 4 8 6 9 1 6 3,1 9 0 4 8 6 9 1 6 3,1.0,0.8085,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,large_v3_turbo,transcript_raw,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while a smile be large.,only play songs while a smile be large,0.8333,0.4545,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,large_v3_turbo,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,"Play, Rehmadda Daria Ilahi",play rehmadda daria ilahi,0.8,0.1852,0.2,0.8
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,large_v3_turbo,transcript_raw,gold,five fifty four am,five fifty four am,5 54 AM.,5 54 am,0.75,0.7778,0.25,0.75
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,large_v3_turbo,transcript_raw,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,When was the show? Here I am a girl girl Kaley made.,when was the show here i am a girl girl kaley made,0.7,0.4082,0.5556,1.2
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,large_v3_turbo,transcript_raw,gold,is de souza resorts adult only,is de souza resorts adult only,Is the zoo or resort adult only?,is the zoo or resort adult only,0.6667,0.2667,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,large_v3_turbo,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,"When did one dollar, Azul, the zero and first debit?",when did one dollar azul the zero and first debit,0.6667,0.3404,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,large_v3_turbo,transcript_raw,gold,skip apni mitti,skip apni mitti,skip,skip,0.6667,0.7333,0.3333,0.3333
test,AESRC2020-INDIAN-ACCENT-G03626-G03626S2365,AESRC2020-INDIAN-ACCENT-G03626,5.64,INDIAN,large_v3_turbo,transcript_raw,gold,what year did kuchh jhuki palkain come out,what year did kuchh jhuki palkain come out,What did it? Kuch juki palke come out.,what did it kuch juki palke come out,0.625,0.2619,0.5,1.0
