split,ID,Speaker_ID,Speech_Duration_seconds,Accent,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S1300,AESRC2020-INDIAN-ACCENT-G00847,4.906,INDIAN,in accordance to your request i am sending you sample pages of the dictionary,,in accordance to our request i am sending you sample pages of the dictionary
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2352,AESRC2020-INDIAN-ACCENT-G00847,3.874,INDIAN,i want to listen to joy to the world again,,i want to listen to joy to the world again
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S2353,AESRC2020-INDIAN-ACCENT-G00847,3.479,INDIAN,i want to listen to secret lovers again,,i want to listen to secret lovers again
test,AESRC2020-INDIAN-ACCENT-G00847-G00847S3370,AESRC2020-INDIAN-ACCENT-G00847,2.268,INDIAN,laundry reminder,,laundry reminder
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1299,AESRC2020-INDIAN-ACCENT-G00859,6.331,INDIAN,the pupil's party have got the election sewn up they are sure to win,,the people's party have got the election swan up they're sure to win
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S1300,AESRC2020-INDIAN-ACCENT-G00859,5.306,INDIAN,fill in the chart write names of your favorite band book and movie,,fill in the chart right names of your favorite band book and movie
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2354,AESRC2020-INDIAN-ACCENT-G00859,5.245,INDIAN,how much is stayfree sanitary pad drymax all night,,how much is stayfree sanitary pad dry max all night
test,AESRC2020-INDIAN-ACCENT-G00859-G00859S2355,AESRC2020-INDIAN-ACCENT-G00859,3.715,INDIAN,replay the song gaal ni kadni,,replay the song gal ni kadni
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1298,AESRC2020-INDIAN-ACCENT-G00891,6.375,INDIAN,in a scramble in front of the goal the ball was kicked in,,in a scramble in front of the goal the ball was kicked in
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S1300,AESRC2020-INDIAN-ACCENT-G00891,7.685,INDIAN,the meeting was a dud as far as new business was concerned,,the meeting was a dud as far as new business was concerned
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,play songs by mynampati sreeram chandra,,play songs by myafati shri ram chandra
