split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,281474976884635_f3269_chunk_0.wav,,8.7595,Female,18-30,Kannada,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,,"Our district Hasanab was the land of the great Hoysala dynasty, who ruled over this region from eleventh to fourteenth century C.E."
test,281474976885801_f2235_chunk_24.wav,,3.1000625,Female,30-45,Kannada,There is a gradual shift in the mentality,,There is a gradual shift in the mentality.
test,281474976925705_f2479_chunk_0.wav,,0.4500625,Female,18-30,Dogri,Wow,,Wow.
test,281474976901104_f2909_chunk_0.wav,,2.721125,Female,45-60,Maithili,Nipah virus belongs to  the,,Nipa virus belongs to the.
test,281474976888137_f2862_chunk_0.wav,,3.6943125,Male,30-45,Maithili,How much money is left in my Arunachal Pradesh Rural Bank account?,,How much money is left in my Arunachal Pradesh Rural Bank account?
test,281474976897257_f2902_chunk_0.wav,,8.5104375,Female,30-45,Bengali,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,,Govinda has received twelve Filmfare Award nominations and four Zee Cine Awards.
test,281474976897459_f2145_chunk_1.wav,,1.7331875,Male,45-60,Bodo,There are many big rivers,,There are many big rivers.
test,281474976893913_f2002_chunk_19.wav,,3.9504375,Male,30-45,Bodo,where it is joined by other branches to form the Brahmaputra,,Where it is joined by other branches to form the Brahmaputra.
test,281474976887171_f3278_chunk_0.wav,,7.96,Female,18-30,Malayalam,There have been many attempts recently to make sure that the people maintain their,,There have been many attempts recently to make sure that the people maintain their.
test,281474976889893_f2012_chunk_0.wav,,3.949,Female,18-30,Dogri,"Jammu, Samba, Kathua, Rajouri, Poonch",,"Jammu, Samba, Katwa, Rajouri, Punch."
test,281474976888630_f3289_chunk_6.wav,,5.48,Male,45-60,Kannada,"Among the poets, I remember William Wordsworth, T.S.",,"Among the poets, I remember William Wordsworth, T.S. Eliot."
test,281474976901801_f1956_chunk_0.wav,,6.1086875,Female,30-45,Assamese,What are the main social welfare and development programs and initiatives in your district?,,What are the main social welfare and development programs and initiatives in your district?
test,281474976884131_f3182_chunk_7.wav,,2.5345625,Female,18-30,Marathi,normal competitions what we have.,,"The normal competitions, what we have."
test,281474976893178_f1746_chunk_2.wav,,3.865125,Female,60+,Odia,what is an usual word and what is unusual words and phrases,,What is an usual word and what is unusual words and phrases.
test,281474976888910_f3173_chunk_1.wav,,11.12,Male,18-30,Nepali,see this track as my professionalism but I used to manage some time in writing as my,,"See, distract as my professionalism, but I used to manage some time in writing as my."
test,281474976891399_f2256_chunk_0.wav,,1.4345,Male,30-45,Malayalam,Can you speak 5 numbers,,Can you speak five numbers?
test,281474976888891_f3059_chunk_0.wav,,3.8423125,Male,18-30,Nepali,Will I be able to pay using UPI apps on Hotstar website?,,Will I be able to pay using UPI apps on Hotstar website?
test,281474976894763_f2870_chunk_0.wav,,0.9681875,Female,30-45,Nepali,Backward,,Backward.
test,281474976891379_f346_chunk_0.wav,,1.8966875,Male,30-45,Malayalam,define the word absolute,,Define the word absolute.
test,281474976883853_f3233_chunk_0.wav,,7.9886875,Male,45-60,Nepali,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,,Meghalaya is one of the less developed or underdeveloped states in northeastern India.
test,281474976888952_f1897_chunk_1.wav,,12.1041875,Female,18-30,Konkani,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",,"Could literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them."
test,281474976893301_f2100_chunk_1.wav,,13.5411875,Female,45-60,Hindi,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,,"It is something which gives you warmth, and the flavors are very different from the kind of food we as North Indians eat."
