split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,tiny_ft,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,aNOkZZjUKoM,270,51.49,M,SLOW,EAST,Non-Engineering,The JWKB Approximation,tiny_ft,whisper_norm,gold,"we choose f of x, such that plus minus i k prime f plus minus 2 i k f prime is equal to 0. So, therefore, plus minus, this cancels out. So, if I take this term on the right hand side, so I will get k 2 k d f by d x. This term is equal to minus 2 k d f by d x will become minus k prime times f. So, I rewrite this. If I divide this, so I",we choose f of x such that +minus i k prime f -2 i k f prime is equal to 0 so therefore +minus this cancels out so if i take this term on the right hand side so i will get k 2 k d f by d x this term is equal to -2 k d f by d x will become minus k prime times f so i rewrite this if i divide this so i,"tools, we choose f of x such that plus minus i k prime f plus minus 2 i k f prime is equal to 0. So, therefore, plus minus this cancels out. So, if I take this term on the right hand side. So, I will get k 2 k d f by d x, this is this term is equal to minus 2 k d f by d x will become minus k prime times f. So, this term is equal to minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus 1 minus by d x will become minus k prime times f. So, I read",tools we choose f of x such that +minus i k prime f -2 i k f prime is equal to 0 so therefore +minus this cancels out so if i take this term on the right hand side so i will get k 2 k d f by d x this is this term is equal to -2 k d f by d x will become minus k prime times f so this term is equal to -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one minus by d x will become minus k prime times f so i read,2.5823,3.2933,0.9487,3.4937
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,tiny_ft,whisper_norm,gold,considered in problem 45.,considered in problem 45,can see that in problem what if I let us do that.,can see that in problem what if i let us do that,2.5,1.375,0.5,3.0
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,tiny_ft,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"f which we have seen c times n minus 1 minus 2 j. Sorry, this is I made a mistake here, j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),tiny_ft,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people that i have permanent okay so that is too and i want to ask the question what is the probability zero people will arrive over the next minute so i would say on average two people arrive at the bus stop k is that zero right so i will put it is a substitute k with zero,rate could be something like well 2 people that i have permanent okay so that is too and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put it is a substitute k with 0,1.2917,0.8,0.1176,1.3542
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),tiny_ft,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time s is much much less than h. So, short time means s is much much less than h. So, the right hand side is approximately pi r square h rho g. So, 8 pi mu s d s d t is equal to pi r square H rho g. So, S d S d t is equal to r square H rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.2286,1.2759,0.7143,1.9714
test,V-kLaH4139o,125,36.741,M,SLOW,EAST,Engineering,Time Signal and System(Contd...),tiny_ft,whisper_norm,gold,"Next question is, could it have been 1 to the power n and minus n to the power n? Let us see. Half of this, what is it give me? 1 then if I put n is equal to 0, n is equal to 0, 1. n is equal to 1, n is equal to 2; again 0, 1, so this will give me a series; 1, 0, 1,",next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to 0 n is equal to 0 one n is equal to one n is equal to 2 again 0 one so this will give me a series one 0 one,"to the power n and minus 1 to the power n. Let us see. How far this? What does it give me? 1. Then if I put n is equal to 0, n is equal to 0, 1, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, n is equal to 0, 1, n is equal to 1, n is equal to 2, again 0 again",to the power n and -one to the power n let us see how far this what does it give me one then if i put n is equal to 0 n is equal to 0 one n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 n is equal to 0 one n is equal to one n is equal to 2 again 0 again,1.1739,0.9091,0.6571,1.6812
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,tiny_ft,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by so it is h square by so it was 3 factorial and that multiplied by 2. So, that it becomes 3. And divided by 2 yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,sCXbZp08jMA,49,24.12,M,FAST,SOUTH,Engineering,6 Soil Mechanics,tiny_ft,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,"z is given by z is equal to n at the z is given by n dash into w by v where w is equal to w by v. So, unit weight of suspension after collapsing time t can be determined at z as gamma z is equal to gamma w in plus n dash w by v into g s minus 1 divided by g s. So, from this",z is given by z is equal to n at the z is given by n dash into w by v where w is equal to w by v so unit weight of suspension after collapsing time t can be determined at z as gamma z is equal to gamma w in plus n dash w by v into g s -one divided by g s so from this,1.0526,0.6954,0.8148,1.8158
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,tiny_ft,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"1, this is a practical 3T code or actually I can give you the IC number if you want to it is 7 4 1 3 8. Does not matter do not have to remember numbers I do not remember numbers always because because in fact I am not even sure it is 1 2 8 or 1 3 8 I think it is 1 3 8 somebody has a book you can have a quick look at it anyway now",one this is a practical 3 t code or actually i can give you the ic number if you want to it is 7 4 one 3 8 does not matter do not have to remember numbers i do not remember numbers always because because in fact i am not even sure it is one 2 8 or one 3 8 i think it is one 3 8 somebody has a book you can have a quick look at it anyway now,1.0208,0.8732,0.7714,1.7083
