split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,transcript_raw,normalised_transcript_raw,hypothesis_raw
test,281474976884635_f3269_chunk_0.wav,,8.7595,Female,18-30,Kannada,Our district Hasana was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.,,Our district Hasena was the land of the great Hoysala dynasty who ruled over this region from 11th to 14th century CE.
test,281474976885801_f2235_chunk_24.wav,,3.1000625,Female,30-45,Kannada,There is a gradual shift in the mentality,,There is a gradual shift in the mentality.
test,281474976925705_f2479_chunk_0.wav,,0.4500625,Female,18-30,Dogri,Wow,,Wow!
test,281474976901104_f2909_chunk_0.wav,,2.721125,Female,45-60,Maithili,Nipah virus belongs to  the,,Nipah virus belongs to the
test,281474976888137_f2862_chunk_0.wav,,3.6943125,Male,30-45,Maithili,How much money is left in my Arunachal Pradesh Rural Bank account?,,How much money is left in my Arunachal Pradesh Rural Bank account?
test,281474976897257_f2902_chunk_0.wav,,8.5104375,Female,30-45,Bengali,Govinda has received 12 Filmfare Award nominations and 4 Zee Cine Awards.,,Govinda has received 12 Filmfare Award nominations and four Zee Cine Awards.
test,281474976897459_f2145_chunk_1.wav,,1.7331875,Male,45-60,Bodo,There are many big rivers,,There are many big rivers.
test,281474976893913_f2002_chunk_19.wav,,3.9504375,Male,30-45,Bodo,where it is joined by other branches to form the Brahmaputra,,where it is joined by other branches to form the Brahmaputra.
test,281474976887171_f3278_chunk_0.wav,,7.96,Female,18-30,Malayalam,There have been many attempts recently to make sure that the people maintain their,,But there have been many attempts recently to make sure that the people maintain their
test,281474976889893_f2012_chunk_0.wav,,3.949,Female,18-30,Dogri,"Jammu, Samba, Kathua, Rajouri, Poonch",,"Jammu, Samba, Kathua, Rajori, Poonch"
test,281474976888630_f3289_chunk_6.wav,,5.48,Male,45-60,Kannada,"Among the poets, I remember William Wordsworth, T.S.",,"Among the poets, I remember William Wordsworth, T.S. Ely,"
test,281474976901801_f1956_chunk_0.wav,,6.1086875,Female,30-45,Assamese,What are the main social welfare and development programs and initiatives in your district?,,What are the main social welfare and development programs and initiatives in your district?
test,281474976884131_f3182_chunk_7.wav,,2.5345625,Female,18-30,Marathi,normal competitions what we have.,,the normal competitions what we have.
test,281474976893178_f1746_chunk_2.wav,,3.865125,Female,60+,Odia,what is an usual word and what is unusual words and phrases,,what is an usual word and what is unusual words and phrases.
test,281474976888910_f3173_chunk_1.wav,,11.12,Male,18-30,Nepali,see this track as my professionalism but I used to manage some time in writing as my,,see and this track as my professionalism but I used to manage some time in writing as my
test,281474976891399_f2256_chunk_0.wav,,1.4345,Male,30-45,Malayalam,Can you speak 5 numbers,,Can you speak five numbers?
test,281474976888891_f3059_chunk_0.wav,,3.8423125,Male,18-30,Nepali,Will I be able to pay using UPI apps on Hotstar website?,,Will I be able to pay using UPI apps on Hotstar website?
test,281474976894763_f2870_chunk_0.wav,,0.9681875,Female,30-45,Nepali,Backward,,backward
test,281474976891379_f346_chunk_0.wav,,1.8966875,Male,30-45,Malayalam,define the word absolute,,Define the word Absolute.
test,281474976883853_f3233_chunk_0.wav,,7.9886875,Male,45-60,Nepali,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,,Meghalaya is one of the less developed or underdeveloped states in Northeastern India.
test,281474976888952_f1897_chunk_1.wav,,12.1041875,Female,18-30,Konkani,"literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through, and I could sympathize with them.",,"I could literally feel how the people live in villages, how difficult their lives are, what all circumstances they go through and I could sympathize with them."
test,281474976893301_f2100_chunk_1.wav,,13.5411875,Female,45-60,Hindi,it is something which gives you warmth and the flavours are very different from the kind of food we as North Indians eat.,,"So, it is something which gives you warmth and the flavors are very different from the kind of food we as North Indians eat."
test,281474976900640_f2173_chunk_4.wav,,25.48975,Male,30-45,Urdu,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,,"It is not only restricted to school books. The school goers are asked by their RSS appointed teachers to attend the RSS shah khas from a young age, thus enabling the Sangh Parivaar to indoctrinate young impressionable minds."
test,281474976898128_f2237_chunk_0.wav,,14.1029375,Female,18-30,Odia,"So, as in our state, the government is launching a lot of programs and schemes for business, dealers and owners to make the traditional way of business into digitalization as it is more easier",,"So as in our state, the government is launching a lot of programs and schemes for business dealers and owners to make the traditional way of business into digitalization as it is more easier."
test,281474976884181_f1862_chunk_1.wav,,12.1811875,Male,60+,Punjabi,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world."
test,281474976888157_f3255_chunk_7.wav,,4.48,Male,30-45,Maithili,So these are some of the features of Mithila cooking.,,"So, these are some of the features of Mithla cooking."
test,281474976887664_f1766_chunk_0.wav,,14.646375,Male,60+,Konkani,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,,English breaks the communication barriers between people of diverse cultural background and it creates a new community where people come together and share their cultures and ideas with broader audience.
test,281474976893764_f1557_chunk_0.wav,,0.5244375,Male,30-45,Punjabi,Play,,play
test,281474976900326_f424_chunk_0.wav,,0.679625,Male,45-60,Kashmiri,Visual,,Visual
test,281474976886877_f3160_chunk_4.wav,,8.0826875,Female,18-30,Tamil,"And also, people speaking English have different accents in different regions.",,and also people speaking English have different accents in different regions.
test,281474976893787_f3214_chunk_1.wav,,7.0,Male,30-45,Punjabi,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",,district education health care poverty reduction women's empowerment
test,281474976893075_f2114_chunk_7.wav,,1.484875,Male,60+,Marathi,source language,,source language
test,281474976896704_f1716_chunk_3.wav,,1.0956875,Female,45-60,Telugu,"trains,",,creams
test,281474976895627_f1138_chunk_0.wav,,0.395,Male,30-45,Assamese,Cat,,again.
test,281474976894265_f3140_chunk_2.wav,,5.0868125,Female,30-45,Kashmiri,"Through poetry, I can put my thoughts on a display more creatively.",,"Through poetry, I can put my thoughts on a display more creatively."
test,281474976883948_f1921_chunk_6.wav,,1.5471875,Female,18-30,Malayalam,The main food of,,The main food of
test,281474976888909_f3258_chunk_4.wav,,10.13425,Male,18-30,Nepali,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,,who is physically challenged or disorder in real life but with the guts and a great contribution in the literature.
test,281474976885520_f1686_chunk_2.wav,,3.9085,Male,18-30,Kannada,our local traditions and beliefs by giving an opportunity,,our local traditions and beliefs by giving an opportunity
test,281474976903872_f1626_chunk_0.wav,,7.0956875,Female,45-60,Nepali,Are there any vaccination centres available in South Goa district for age group 18+ years,,Are there any vaccination centers available in South Goa District for age group 18 plus years?
test,281474976899454_f1985_chunk_1.wav,,9.5431875,Female,30-45,Marathi,hang on the rock. I find it useful and best because it helps me that we climb faster.,,hang on the rock and I find it useful and best because it helped me actually climb fast
test,281474976897558_f1287_chunk_0.wav,,9.697,Female,18-30,Hindi,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,,Can you list all the vaccination centers where first dose of Covaxin is available for age groups 15-17 years?
test,281474976886709_f3213_chunk_5.wav,,5.0,Female,45-60,Telugu,and they went off into the space when earth was burning up or being destroyed,,they went off into the space when earth was burning up or being destroyed
test,281474976886998_f3238_chunk_3.wav,,1.48,Female,45-60,Telugu,that I came here.,,that I came here summer.
test,281474976901435_f1232_chunk_0.wav,,3.3408125,Male,45-60,Urdu,send a complaint to consumer service of this company,,Send a complaint to consumer service of this company.
test,281474976894274_f2214_chunk_12.wav,,6.55,Female,30-45,Kashmiri,"In the university, I learned the technicalities of language since I am a linguistics student.",,"In the university, I learned the technicalities of language since I am a linguistics student."
test,281474976887166_f3220_chunk_4.wav,,11.12,Female,18-30,Malayalam,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",,embroidery and there we used to teach us the basic embroidery patterns like running stitch
test,281474976898577_f1235_chunk_0.wav,,6.8309375,Male,60+,Bengali,Book a HP gas cylinder using my registered contact number 79083174897,,book a HP gas cylinder using my registered contact number 79083174897
test,281474976894274_f2214_chunk_3.wav,,11.43175,Female,30-45,Kashmiri,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.,,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.
test,281474976902188_f2127_chunk_7.wav,,2.89975,Female,45-60,Urdu,the colleges of art literature,,"the colleges of art, literature,"
test,281474976886876_f2174_chunk_2.wav,,8.458125,Female,18-30,Tamil,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift",,the change in season for example it is extremely cold during the winters and is extremely hot during the summer so this shift
test,281474976894291_f2897_chunk_0.wav,,3.0410625,Male,18-30,Bengali,Show my DTH bill readings from the last 6 months.,,Show my DTH bill readings from the last 6 months.
test,281474976883998_f2011_chunk_4.wav,,12.4730625,Male,18-30,Gujarati,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,,and not much is left at the behest of the writer or author and the grammar punctuation is very well structured and written and documented as well
test,281474976884135_f3212_chunk_6.wav,,1.24,Female,18-30,Marathi,to everybody.,,everybody.
