ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.2583,0.0891,32
281474976888909_f3258_chunk_7.wav,7.414,0.5268,0.0711,57
281474976894795_f2258_chunk_11.wav,12.681,0.864,0.0681,117
281474976899564_f2428_chunk_0.wav,0.263,0.1114,0.4232,4
281474976885777_f1381_chunk_0.wav,2.889,0.3233,0.1119,41
281474976893835_f569_chunk_0.wav,0.862,0.1375,0.1596,9
281474976895412_f1595_chunk_0.wav,0.312,0.1062,0.3407,6
281474976901586_f1451_chunk_0.wav,0.678,0.1062,0.1568,4
281474976892134_f1122_chunk_0.wav,3.074,0.2866,0.0932,42
281474976902183_f1898_chunk_0.wav,3.165,0.3167,0.1001,47
281474976889207_f2377_chunk_2.wav,4.053,0.435,0.1073,57
281474976887817_f1763_chunk_0.wav,8.107,0.7368,0.0909,126
281474976895868_f659_chunk_0.wav,0.576,0.1067,0.1853,5
281474976901152_f2107_chunk_3.wav,0.75,0.106,0.1413,7
281474976906745_f2447_chunk_1.wav,3.633,0.3736,0.1028,50
281474976888218_f2769_chunk_0.wav,6.191,0.4263,0.0689,58
281474976884079_f2150_chunk_1.wav,8.867,0.9172,0.1034,123
281474976897522_f1981_chunk_9.wav,1.3,0.1372,0.1055,10
281474976888160_f3202_chunk_5.wav,4.783,0.4662,0.0975,70
281474976894896_f456_chunk_0.wav,4.31,0.5231,0.1214,73
281474976893750_f2373_chunk_0.wav,6.392,0.466,0.0729,76
281474976893843_f2130_chunk_4.wav,10.617,0.7695,0.0725,106
281474976893153_f2820_chunk_0.wav,2.839,0.3151,0.111,46
281474976893017_f2672_chunk_0.wav,5.479,0.4338,0.0792,83
281474976894273_f3279_chunk_17.wav,8.455,0.9668,0.1143,121
281474976897290_f1204_chunk_0.wav,0.645,0.1068,0.1656,5
281474976897454_f1975_chunk_4.wav,7.72,0.5867,0.076,78
281474976900333_f1733_chunk_4.wav,0.71,0.1366,0.1926,6
281474976887025_f36_chunk_0.wav,3.393,0.2855,0.0842,35
281474976901454_f524_chunk_0.wav,0.801,0.1061,0.1325,3
281474976895208_f2923_chunk_0.wav,7.571,0.7044,0.093,108
281474976884627_f3339_chunk_2.wav,2.811,0.3448,0.1226,44
281474976889221_f3229_chunk_0.wav,5.4,0.5226,0.0968,83
281474976901164_f2275_chunk_6.wav,1.103,0.1659,0.1504,10
281474976899764_f2324_chunk_0.wav,0.205,0.1063,0.5193,2
281474976903187_f2699_chunk_1.wav,2.356,0.1966,0.0835,33
281474976885801_f2235_chunk_21.wav,4.75,0.3453,0.0727,57
281474976884085_f3239_chunk_23.wav,5.48,0.4925,0.0899,64
281474976901153_f1889_chunk_7.wav,2.522,0.5395,0.2139,38
281474976893848_f3250_chunk_9.wav,9.65,0.7253,0.0752,100
281474976893172_f2123_chunk_3.wav,6.109,0.6433,0.1053,110
281474976885800_f1683_chunk_9.wav,5.519,0.6714,0.1216,107
281474976884044_f1919_chunk_1.wav,3.714,0.1961,0.0528,20
281474976887807_f3177_chunk_0.wav,5.056,0.643,0.1272,52
281474976894795_f2258_chunk_22.wav,14.101,1.2806,0.0908,142
281474976892193_f1802_chunk_0.wav,0.608,0.1359,0.2235,7
281474976898621_f2032_chunk_0.wav,1.785,0.2556,0.1432,29
281474976894268_f1720_chunk_0.wav,1.26,0.2254,0.1789,27
281474976896999_f1689_chunk_1.wav,2.336,0.2865,0.1226,39
281474976886817_f1675_chunk_1.wav,0.62,0.1065,0.1717,9
281474976892333_f3244_chunk_6.wav,4.26,0.3527,0.0828,46
281474976884637_f2218_chunk_6.wav,4.96,0.3752,0.0756,51
281474976899581_f1864_chunk_5.wav,2.436,0.1669,0.0685,21
281474976899757_f1404_chunk_0.wav,8.84,0.9194,0.104,127
281474976893846_f3264_chunk_3.wav,13.0,0.6509,0.0501,105
281474976900339_f2186_chunk_1.wav,7.66,0.7962,0.104,131
281474976893734_f2994_chunk_0.wav,1.732,0.3146,0.1817,33
281474976887640_f478_chunk_0.wav,3.769,0.4043,0.1073,53
281474976884126_f3274_chunk_5.wav,7.408,0.5863,0.0791,77
281474976934186_f3139_chunk_1.wav,6.02,0.5233,0.0869,54
281474976893724_f3273_chunk_4.wav,7.036,0.5533,0.0786,94
281474976884131_f3182_chunk_6.wav,10.645,0.5887,0.0553,86
281474976885510_f2092_chunk_3.wav,0.663,0.1363,0.2056,6
281474976893915_f2228_chunk_11.wav,5.365,0.5538,0.1032,83
281474976899939_f968_chunk_0.wav,0.159,0.1059,0.6668,5
281474976884229_f2757_chunk_0.wav,8.398,0.6475,0.0771,118
281474976894795_f2258_chunk_10.wav,9.13,1.0377,0.1137,117
281474976884478_f2191_chunk_13.wav,2.04,0.2561,0.1255,31
281474976890741_f3144_chunk_0.wav,5.229,0.4935,0.0944,34
281474976888961_f1990_chunk_0.wav,17.474,1.2794,0.0732,218
281474976896668_f987_chunk_0.wav,13.922,0.7679,0.0552,109
281474976883938_f1692_chunk_3.wav,0.772,0.1357,0.1759,8
281474976887081_f2283_chunk_5.wav,0.635,0.1358,0.2138,6
281474976903907_f3262_chunk_4.wav,8.997,0.6171,0.0686,83
281474976888919_f3231_chunk_13.wav,10.92,0.7974,0.073,100
281474976885801_f2235_chunk_31.wav,3.833,0.2851,0.0744,31
281474976897079_f2874_chunk_0.wav,1.505,0.196,0.1302,18
281474976900647_f780_chunk_0.wav,0.776,0.1061,0.1368,7
281474976896669_f986_chunk_0.wav,0.459,0.1061,0.2312,5
281474976899969_f3240_chunk_0.wav,7.826,0.6154,0.0786,97
281474976888156_f2040_chunk_8.wav,1.406,0.1073,0.0764,8
281474976883875_f917_chunk_0.wav,1.915,0.2557,0.1335,34
281474976897862_f2802_chunk_1.wav,6.502,0.494,0.076,70
281474976886889_f844_chunk_0.wav,6.238,0.644,0.1032,78
281474976898096_f1469_chunk_0.wav,0.511,0.1061,0.2078,4
281474976888231_f1490_chunk_0.wav,3.776,0.3145,0.0833,40
281474976902188_f2127_chunk_3.wav,1.333,0.2848,0.2136,19
281474976895294_f717_chunk_0.wav,4.078,0.522,0.128,81
281474976888909_f3258_chunk_23.wav,10.803,0.5881,0.0544,76
281474976884085_f3239_chunk_34.wav,4.88,0.4344,0.089,67
281474976894794_f3270_chunk_8.wav,6.859,0.494,0.072,67
281474976887171_f3278_chunk_8.wav,9.48,0.6475,0.0683,91
281474976898109_f1467_chunk_0.wav,0.566,0.1067,0.1886,9
281474976887080_f3201_chunk_1.wav,6.12,0.6715,0.1097,84
281474976894271_f3141_chunk_13.wav,1.34,0.1967,0.1468,25
281474976887082_f3312_chunk_0.wav,6.168,0.5247,0.0851,89
281474976884470_f3243_chunk_8.wav,3.16,0.4181,0.1323,39
281474976899792_f1793_chunk_4.wav,1.589,0.2019,0.1271,17
281474976896155_f453_chunk_0.wav,3.969,0.3456,0.0871,41
281474976893848_f3250_chunk_3.wav,9.45,0.8584,0.0908,99
281474976886870_f3336_chunk_0.wav,5.56,0.6125,0.1102,88
281474976893174_f1860_chunk_2.wav,1.69,0.2266,0.1341,29
281474976884085_f3239_chunk_3.wav,2.147,0.1982,0.0923,30
281474976925450_f2431_chunk_0.wav,1.862,0.2573,0.1382,24
281474976887150_f2645_chunk_0.wav,3.185,0.3512,0.1103,51
281474976887660_f3286_chunk_1.wav,7.636,0.6459,0.0846,82
281474976894332_f3200_chunk_1.wav,9.997,0.8296,0.083,138
281474976893063_f159_chunk_0.wav,12.016,0.9189,0.0765,165
281474976906767_f2453_chunk_0.wav,0.521,0.1358,0.2606,5
281474976883946_f1999_chunk_9.wav,9.473,0.7678,0.0811,129
281474976897115_f3174_chunk_0.wav,5.11,0.5536,0.1083,83
281474976888873_f2272_chunk_22.wav,3.875,0.434,0.112,36
281474976895434_f1887_chunk_2.wav,4.969,0.4044,0.0814,73
281474976893060_f1738_chunk_2.wav,1.58,0.1973,0.1249,17
281474976903869_f1624_chunk_0.wav,4.898,0.4347,0.0887,50
281474976893915_f2228_chunk_1.wav,4.137,0.6121,0.148,66
281474976897387_f2253_chunk_1.wav,1.116,0.1959,0.1755,12
281474976885804_f1685_chunk_10.wav,3.3,0.4038,0.1224,42
281474976888919_f3231_chunk_9.wav,7.58,0.5848,0.0772,82
281474976886852_f238_chunk_0.wav,8.452,0.765,0.0905,115
281474976886874_f1933_chunk_0.wav,9.883,0.9208,0.0932,153
281474976898393_f3128_chunk_0.wav,7.12,0.5546,0.0779,93
281474976888866_f2195_chunk_7.wav,13.952,1.1864,0.085,159
281474976893909_f2140_chunk_4.wav,7.975,0.6464,0.081,85
281474976901593_f1446_chunk_0.wav,0.684,0.1362,0.1989,6
281474976897000_f2147_chunk_3.wav,2.3,0.256,0.1113,32
281474976894895_f747_chunk_0.wav,4.537,0.4619,0.1018,63
281474976896751_f2714_chunk_0.wav,0.38,0.1062,0.2795,5
281474976897307_f3234_chunk_0.wav,3.44,0.3147,0.0915,45
281474976893696_f2692_chunk_0.wav,0.564,0.1062,0.1883,6
281474976895429_f2104_chunk_8.wav,9.199,0.6778,0.0737,99
281474976915903_f3188_chunk_1.wav,8.07,0.5874,0.0728,88
281474976899798_f2095_chunk_3.wav,6.846,0.8817,0.1288,118
281474976886793_f1328_chunk_1.wav,2.08,0.3174,0.1526,42
281474976890723_f2836_chunk_0.wav,2.743,0.3157,0.1151,46
281474976888161_f1851_chunk_9.wav,1.162,0.1369,0.1178,9
