split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,YOi4ONq4Zsk,125,37.18,M,SLOW,EAST,Engineering,of Difference Equation,small_ft,whisper_norm,gold,"be 1. What will be y 1? 0.8, it will be now y 0 which is 1 plus x at 1 is 0, so that will be 0.8. What will be y at 2? It will be 0.8 into again 0.8 plus 0. So, 0.64, so it will continue to give you output which will be gradually diminishing in magnitude but it",be one what will be y one 0.8 it will be now y 0 which is one plus x at one is 0 so that will be 0.8 what will be y at 2 it will be 0.8 into again 0.8 +0 so 0.64 so it will continue to give you output which will be gradually diminishing in magnitude but it,"be 1. What will be y 1, 0.8 it will be now y 0 which is 1 plus x at 1 is 0. So that will be 0.8. What will be y at 2, it will be 0.8 into again 0.8 plus 0, 0.64. So if you will continue to give you output, 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again",be one what will be y one 0.8 it will be now y 0 which is one plus x at one is 0 so that will be 0.8 what will be y at 2 it will be 0.8 into again 0.8 +0 0.64 so if you will continue to give you output 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again 0.6 into again,4.1311,4.7734,0.8387,4.9344
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,small_ft,whisper_norm,gold,..,.,can be written as.,can be written as,4.0,17.0,0.0,4.0
test,jtMZfLViZu8,224,37.02,M,SLOW,NORTH,Engineering,Lecture 1 Finite Element Method,small_ft,whisper_norm,gold,"thetayi, and wi at each of these 4 nodes which have coordinates xi tau, yi tau in this expanded form. How many values we have? We have 12 values; it is a twelfth order, there are terms in this expression. We can write it as, this whole thing wi, w1 thetay1, thetax1, then w2, thetay2, thetax2 up to all the way down to w4, thetay4, thetax4 this is equal to this",thetayi and wi at each of these 4 nodes which have coordinates xi tau yi tau in this expanded form how many values we have we have 12 values it is a 12th order there are terms in this expression we can write it as this whole thing wi w one thetay one thetax one then w 2 thetay 2 thetax 2 up to all the way down to w 4 thetay 4 thetax 4 this is equal to this,"x i, theta y i and w i at each of these four nodes which have coordinates x i tau y i tau in this expanded form. How many values now we have? We have 12 values, there are 12 terms in this expression. Now, we solve for, we can write it as this whole thing w i, w 1, theta y 1, theta x 1, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i, then w i y1 theta x1 then w2 theta y2 theta x2 up to all the way down to",x i theta y i and w i at each of these 4 nodes which have coordinates x i tau y i tau in this expanded form how many values now we have we have 12 values there are 12 terms in this expression now we solve for we can write it as this whole thing w i w one theta y one theta x one then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i then w i y one theta x one then w 2 theta y 2 theta x 2 up to all the way down to,3.9375,2.4246,0.7843,4.4625
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,small_ft,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"which we have seen, c times n minus 1 minus 2 j. Sorry, I made a mistake here. j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1, that is 2, and j is 5. So, f is c into 4 minus 2 into 5, which is 2.",which we have seen c times n -one -2 j sorry i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8095,1.726,0.9375,2.619
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),small_ft,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,"rate could be something like, well, 2 people arrive per minute. So, that is 2. And, I want to ask the question, what is the probability 0 people will arrive over the next minute? So, I would say, on average 2 people arrive at the bus stop, k is that 0. So, I will substitute k with 0.",rate could be something like well 2 people arrive per minute so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 so i will substitute k with 0,1.1667,0.7621,0.1176,1.2083
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,small_ft,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by so it is h square by so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,small_ft,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"This is a practical 3-2-8 decoder. Actually, I can give you the IC number if you want. It is 7, 4, 1, 3, 8. It does not matter. Do not have to remember numbers. I do not remember numbers. You can always look up the decoder. In fact, I am not even sure if it is 1-2-8 or 1-3-8. I think it is 1-3-8. If somebody has a book, you can have a quick look at it.",this is a practical 3 2 8 decoder actually i can give you the ic number if you want it is 7 4 one 3 8 it does not matter do not have to remember numbers i do not remember numbers you can always look up the decoder in fact i am not even sure if it is one 2 8 or one 3 8 i think it is one 3 8 if somebody has a book you can have a quick look at it,1.0833,0.9122,0.8,1.7708
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),small_ft,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time s is much much less than h. So short time means s is much much less than h. So the right hand side is approximately pi r square h rho g. So 8 pi mu s ds dt is equal to pi r square h rho g. So, s ds d t is equal to r square h rho g by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s ds dt is equal to pi r square h rho g so s ds d t is equal to r square h rho g by 8 mu,1.0571,1.25,0.8095,1.8857
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,small_ft,whisper_norm,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n +one column is nothing but the b has been moved to n +one that is you have a matrix and then you have b vector instead of putting b here i have put b here,thing in a new monetary methods problem generally we work on shared memory model but people are working now a days on class time exchange now the next problem is that you have to tell me how i can do it,thing in a new monetary methods problem generally we work on shared memory model but people are working now a days on class time exchange now the next problem is that you have to tell me how i can do it,1.0513,0.8916,0.3333,1.0513
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,small_ft,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
