split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,tiny,transcript_raw,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n minus 1 minus 2 j so f is 3 into 4 minus 2 into 5 which,f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5. So f is c into 4 minus 2 into 5 which is 2.,f which we have seen c times n minus 1 minus 2 j sorry this is i made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.625,1.4884,0.9412,2.5417
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),tiny,transcript_raw,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people that I've permanent okay so that's too and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people that I've at the bus stop k is that zero right so I'll put it's a substitute k would zero,rate could be something like well two people that i ve permanent okay so that s too and i want to ask the question what is the probability zero people will arrive over the next minute so i d say on average two people that i ve at the bus stop k is that zero right so i ll put it s a substitute k would zero,1.3542,0.8069,0.1176,1.3958
test,4XulH3TfbT0,203,52.541,M,SLOW,EAST,Engineering,Surface Tension Driven Flows (Contd.),tiny,transcript_raw,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 00 52 22 059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"in short time S is much much less than H. So, short time means S is much much less than H. So, the right hand side is approximately pi r square H rho G. So, 8 pi mu S d S d T is equal to pi r square H rho G. So, S d S d T is equal to r square H rho G by 8 mu.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s d s d t is equal to pi r square h rho g so s d s d t is equal to r square h rho g by 8 mu,1.1944,1.2542,0.6818,1.9167
test,g1vBAfoGvSI,42,21.28,M,SLOW,NORTH,Non-Engineering,Cycloaddition Reactions - II,tiny,transcript_raw,gold,"dienes for diels alder reaction, but if you take this type of cases like these are S cis",dienes for diels alder reaction but if you take this type of cases like these are s cis,times for the other reaction. But if you take this type of cases like this other When you are at it with your thoughts complex possible external thoughts other than if you treat,times for the other reaction but if you take this type of cases like this other when you are at it with your thoughts complex possible external thoughts other than if you treat,1.1667,1.1839,0.6667,1.8333
test,l8kIWLWfbZ8,195,15.83,M,FAST,SOUTH,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,tiny,transcript_raw,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,"In fact, it is not if you throw it, it will be throw a friend at all. A is equal to 3 and the magnitude, 5 epsilon are epsilon 0.",in fact it is not if you throw it it will be throw a friend at all a is equal to 3 and the magnitude 5 epsilon are epsilon 0,1.1667,0.7209,0.4615,1.6667
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,tiny,transcript_raw,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by. So, it is h square by. So, it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. Yes.",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes,1.1,0.988,0.6471,1.4
test,-2aOCNaOiLs,222,4.989,M,SLOW,SOUTH,Engineering,Conduction- Cylindrical and Spherical geometries,tiny,transcript_raw,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,tiny,transcript_raw,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"this is a practical 3T code. Actually, I can give you the IC number if you want to it is 7 4 1 3 8. Doesn't matter, do not have to remember numbers, I do not remember numbers. I always become in fact, I am not even sure it is 1 2 8 or 1 3 8, I think it is 1 3 8. Somebody has a book and have a quick look at it. Anyway, now.",this is a practical 3t code actually i can give you the ic number if you want to it is 7 4 1 3 8 doesn t matter do not have to remember numbers i do not remember numbers i always become in fact i am not even sure it is 1 2 8 or 1 3 8 i think it is 1 3 8 somebody has a book and have a quick look at it anyway now,1.0,0.7659,0.7714,1.625
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,tiny,transcript_raw,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. So, as many number of processors as you need, which means it is valid for a single processor to machine of even million. Yes. Right. Right. Right. The one is the amount of resources. How much memory I have, how much local versus auto shared.",i won t say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even million yes right right right the one is the amount of resources how much memory i have how much local versus auto shared,0.9714,0.8483,0.8667,1.8286
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,tiny,transcript_raw,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B and plus in the solution. So, r and minus B and plus resin means activity of B and plus in the resin and B and plus 1 yes means activity of B and plus in the solution.",by what is the concentration of b and plus in the solution so r and minus b and plus resin means activity of b and plus in the resin and b and plus 1 yes means activity of b and plus in the solution,0.9574,0.7082,0.1667,0.9362
