split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,V-kLaH4139o,125,36.741,M,SLOW,EAST,Engineering,Time Signal and System(Contd...),small_hf,whisper_norm,gold,"Next question is, could it have been 1 to the power n and minus n to the power n? Let us see. Half of this, what is it give me? 1 then if I put n is equal to 0, n is equal to 0, 1. n is equal to 1, n is equal to 2; again 0, 1, so this will give me a series; 1, 0, 1,",next question is could it have been one to the power n and minus n to the power n let us see half of this what is it give me one then if i put n is equal to 0 n is equal to 0 one n is equal to one n is equal to 2 again 0 one so this will give me a series one 0 one,"question is, could it have been 1 to the power n and minus 1 to the power n? Let us see, half of this, what does it give me? 1, then if I put n is equal to 0, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, 1, n is equal to 0, n is equal to 0, 1, n is equal to 1, n is equal to 2, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again 0, again",question is could it have been one to the power n and -one to the power n let us see half of this what does it give me one then if i put n is equal to 0 n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 one n is equal to 0 n is equal to 0 one n is equal to one n is equal to 2 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again 0 again,8.3478,7.8636,0.8286,9.1304
test,rbE6EuQLZbY,189,49.48,M,AVG,SOUTH,Non-Engineering,Removable Singularities,small_hf,whisper_norm,gold,"So, I will first define a removal similarity. If function f is said to be, is said to have a removable similarity at a point a, if f is analytic in B prime a r for some r positive. And if there is a function there is an analytic function  g on the whole of B a r which means it it",so i will 1st define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r +and if there is a function there is an analytic function g on the whole of b a r which means it it,"So, I will first define a removable singularity, f function f is said to be, is said to have a removable singularity at a point a, if f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic, f is analytic in B prime A R for some R positive and if there is a function, there is an analytic function,",so i will 1st define a removable singularity f function f is said to be is said to have a removable singularity at a point a if f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic f is analytic in b prime a r for some r +and if there is a function there is an analytic function,5.2787,5.4356,0.7297,5.8197
test,JmyxDMTpQ4o,302,33.389,M,SLOW,WEST,Engineering,Vector Quantization,small_hf,whisper_norm,gold,"vectors given by C 1 0 equal to 1 plus epsilon C 1 start and C 2 0 equal to 1 minus epsilon C 1 start. For our discussion we will read this quantities as C i 0 C i star or C N plus i 0. Now, we have two initial code vectors in this code book therefore, a size of the code book has increased to 2. So, N is equal to 2. Now,",vectors given by c one 0 equal to one plus epsilon c one start and c 2 0 equal to one minus epsilon c one start for our discussion we will read this quantities as c i 0 c i star or c n plus i 0 now we have 2 initial code vectors in this code book therefore a size of the code book has increased to 2 so n is equal to 2 now,"given by c 1 0 equal to 1 plus epsilon c 1 star and c 2 0 equal to 1 minus epsilon c 1 star. For our discussion, we will read this quantities as c i 0 c i star or c n plus i 0. Now, we have two initial code vectors in this code book. Therefore, the size of the code book has increased to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So, n is equal to 2. So,",given by c one 0 equal to one plus epsilon c one star and c 2 0 equal to one minus epsilon c one star for our discussion we will read this quantities as c i 0 c i star or c n plus i 0 now we have 2 initial code vectors in this code book therefore the size of the code book has increased to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so n is equal to 2 so,4.0921,3.0497,0.9524,5.0132
test,zk1lXf7Ceiw,176,1.0,M,SLOW,SOUTH,Non-Engineering,Higher Order BVPs,small_hf,whisper_norm,gold,..,.,can be written as.,can be written as,4.0,17.0,0.0,4.0
test,RbuSM2lRW_o,187,33.69,F,AVG,WEST,Non-Engineering,Tutorial 2,small_hf,whisper_norm,gold,functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square now when we take these 3 functions f x is equal to 1 f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a 1 a 2 and then we determine,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a one x plus a 2 x square now when we take these 3 functions f x is equal to one f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a one a 2 and then we determine,"x square, then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1, f x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a 7, a",x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a one x plus a 2 x square now when we take these 3 functions f x is equal to one f x is equal to x and f x is equal to x square we will get 3 equations in 3 unknowns a 0 a one a 2 a 3 a 4 a 5 a 6 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a 7 a,3.087,1.6158,0.9737,3.6304
test,ifQZgKgZoOQ,125,53.801,M,SLOW,EAST,Engineering,30 Tutorial (Contd.),small_hf,whisper_norm,gold,"minus 2 minus 1 minus 2 minus 1 then 1, 2, 3 up to n minus 2 and that will give me plus n into see I get minus 1, minus 2, n minus 2, so factorial n divided by factorial n minus 2 into factorial 2, A 3 and what is this you can identify this as nc 2, A 3 similarly will be factorial n divided by minus 3, minus 2, minus 1 then 1, 2, 3 up to n minus 3. So I",-2 -one -2 -one then one 2 3 up to n -2 and that will give me plus n into see i get -one -2 n -2 so factorial n divided by factorial n -2 into factorial 2 a 3 and what is this you can identify this as nc 2 a 3 similarly will be factorial n divided by -3 -2 -one then one 2 3 up to n -3 so i,"minus 1, minus 2, minus 1, then 1, 2, 3 up to n minus 2 and that will give me plus n into, see I get minus 1, minus 2, n minus 2. So, factorial n divided by minus 1, minus 2, minus 1, minus 2, minus 1, minus 2, minus 1, minus 2, minus 1, minus 1, minus 1, minus 2, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 1, minus 2, so factorial n divided by factorial n minus 2 into factorial 2, a 3 and what is this? You can identify this as n c 2, a 3 similarly will be factorial N divided by minus 3, minus 2, minus 1.",-one -2 -one then one 2 3 up to n -2 and that will give me plus n into see i get -one -2 n -2 so factorial n divided by -one -2 -one -2 -one -2 -one -2 -one -one -one -2 -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -one -2 so factorial n divided by factorial n -2 into factorial 2 a 3 and what is this you can identify this as n c 2 a 3 similarly will be factorial n divided by -3 -2 -one,2.0548,2.4379,0.9714,2.7397
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,small_hf,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1, but j 2 is 2 j 2. So, this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),small_hf,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute. Okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute. So I'd say on average two people arrive at the bus stop K is that zero right so I'll put I'll substitute K with zero,rate could be something like well 2 people arrive per minute okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put i will substitute k with 0,1.25,0.7862,0.1176,1.3125
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,small_hf,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"by, so it is h square by, so it was 3 factorial and that multiplied by 2. So, that it becomes 3 and divided by 2. And divided by 2, yes.",by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 and divided by 2 yes,1.2,1.1084,0.6471,1.55
test,RZQTTfU9TNA,284,29.08,M,FAST,SOUTH,Engineering,Encoders and Decoders,small_hf,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"This is a practical 3 to 8 decoder. Actually, I can give you the IC number if you want to. It is 7, 4, 1, 3, 8. It does not matter. Do not have to remember numbers. I do not remember numbers. You can always look up the data. In fact, I am not even sure if it is 1, 2, 8 or 1, 3, 8. I think it is 1, 3, 8. If somebody has a book, you can have a quick look at it. Anyway, now,",this is a practical 3 to 8 decoder actually i can give you the ic number if you want to it is 7 4 one 3 8 it does not matter do not have to remember numbers i do not remember numbers you can always look up the data in fact i am not even sure if it is one 2 8 or one 3 8 i think it is one 3 8 if somebody has a book you can have a quick look at it anyway now,1.0833,0.9317,0.8,1.8333
