split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_hf,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,Favorite Karutham Yudhu,favorite karutham yudhu,1.5,0.1818,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,small_hf,transcript_raw,gold,will there be snow in amsterda,will there be snow in amsterda,We'll just be snowing and I'm straddle,we ll just be snowing and i m straddle,1.3333,0.6667,0.1667,1.5
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,small_hf,transcript_raw,gold,adjust direction to,adjust direction to,Add just direction to look.,add just direction to look,1.0,0.3684,0.6667,1.6667
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,small_hf,transcript_raw,gold,one nine zero four eight six nine one six three,one nine zero four eight six nine one six three,"1, 9, 0, 4, 8, 6, 9, 1, 6, 3.",1 9 0 4 8 6 9 1 6 3,1.0,0.8085,0.0,1.0
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,small_hf,transcript_raw,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,"Vinvalda Show, here I play homemade.",vinvalda show here i play homemade,0.9,0.6122,0.1111,0.6
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5400,AESRC2020-INDIAN-ACCENT-G13915,2.826,INDIAN,small_hf,transcript_raw,gold,five fifty four am,five fifty four am,5.54 am.,5 54 am,0.75,0.7778,0.25,0.75
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_hf,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The best Jumbobada Power Center have take away.,the best jumbobada power center have take away,0.75,0.2222,0.375,1.0
test,AESRC2020-INDIAN-ACCENT-G11837-G11837S2365,AESRC2020-INDIAN-ACCENT-G11837,2.649,INDIAN,small_hf,transcript_raw,gold,what are harrdy sandhu top ten songs,what are harrdy sandhu top ten songs,"Voter Hardys, Andhu Top 10 Songs",voter hardys andhu top 10 songs,0.7143,0.3333,0.2857,0.8571
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_hf,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,Play Songs by Maya Pathy Shri Ram Chandra,play songs by maya pathy shri ram chandra,0.6667,0.2051,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,small_hf,transcript_raw,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small_hf,transcript_raw,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be loved.,only play songs while smile be loved,0.6667,0.3939,0.5,1.1667
